,RRM2 (6241)
ACH-000004,-1.549279425012725
ACH-000005,-1.9687780613170405
ACH-000007,-1.455743604343111
ACH-000009,-1.5863237301335098
ACH-000011,-1.6512894267724525
ACH-000012,-1.3341498338399918
ACH-000013,-1.3905484467790616
ACH-000014,-1.4393138225872684
ACH-000015,-1.2444302928501243
ACH-000017,-1.5625328963276195
ACH-000018,-1.3162970776491232
ACH-000019,-1.5317007266875555
ACH-000021,-1.5036839435628686
ACH-000022,-1.6679718650543516
ACH-000025,-1.5132677498499678
ACH-000028,-1.430278966277882
ACH-000030,-1.664518883914292
ACH-000035,-1.4788620852866423
ACH-000036,-1.3852737751565658
ACH-000037,-1.4955234921507243
ACH-000039,-1.7564367922854067
ACH-000040,-1.5993586404905866
ACH-000041,-1.6224704818253166
ACH-000042,-1.4319798641051449
ACH-000045,-1.6648443029533189
ACH-000047,-1.4119646748967156
ACH-000052,-1.3485957204949215
ACH-000053,-1.2754018267462952
ACH-000054,-1.4755757811439938
ACH-000055,-1.5607080448092419
ACH-000060,-1.4452473678742048
ACH-000067,-1.4620907955176166
ACH-000070,-1.6083425469820027
ACH-000075,-1.4459256671077243
ACH-000078,-1.4993558897007548
ACH-000082,-1.3393368878188223
ACH-000085,-1.5415946588332814
ACH-000086,-1.0472555170912372
ACH-000087,-1.530190347788296
ACH-000092,-1.4452031694202885
ACH-000095,-1.5951581540194475
ACH-000097,-1.3615054308694887
ACH-000098,-1.2759001513598751
ACH-000099,-1.5815175438558635
ACH-000108,-1.2528219568156598
ACH-000113,-1.6888071392373611
ACH-000116,-1.5677841547508118
ACH-000118,-1.4816893414863614
ACH-000120,-1.5875943473100398
ACH-000123,-1.6179546215983265
ACH-000127,-1.5744943958162212
ACH-000128,-1.8849862579559555
ACH-000132,-1.3237063434481426
ACH-000133,-1.4607138574329388
ACH-000137,-1.2127015530989464
ACH-000138,-1.6113292637692571
ACH-000142,-1.6771402692812643
ACH-000143,-1.46912634393209
ACH-000146,-2.1152337975658253
ACH-000148,-1.3887134197670712
ACH-000150,-1.3864617823867134
ACH-000152,-1.5071840291422582
ACH-000153,-1.025409562997537
ACH-000159,-1.378298516402773
ACH-000160,-1.5607407676391094
ACH-000163,-1.3333612190905928
ACH-000167,-2.6682200650095247
ACH-000168,-1.98646329783225
ACH-000169,-1.6426961519230459
ACH-000178,-1.4799088672104703
ACH-000183,-1.6497380161444946
ACH-000188,-1.6672544731549992
ACH-000189,-1.4059808970292669
ACH-000190,-1.6155831442970705
ACH-000198,-1.480007222800232
ACH-000203,-1.5019908764907104
ACH-000204,-1.2864231661818073
ACH-000206,-1.936164588188436
ACH-000207,-2.1925880805121283
ACH-000208,-1.238695058162706
ACH-000210,-1.1985641814443455
ACH-000211,-1.4879381255297328
ACH-000215,-1.4356994159534222
ACH-000221,-1.4048920736264243
ACH-000222,-1.6727146585793582
ACH-000223,-1.6146843620595115
ACH-000226,-1.4110887820077689
ACH-000227,-1.7395946361007533
ACH-000228,-1.704582213792717
ACH-000231,-1.4364917543414744
ACH-000232,-1.4718208571699227
ACH-000233,-1.5303848572826269
ACH-000234,-1.37254777465572
ACH-000235,-1.4404680339441605
ACH-000237,-1.5059501874513237
ACH-000238,-1.2599922156344932
ACH-000242,-1.3004056529183416
ACH-000243,-1.7451768506989518
ACH-000244,-1.2643605311378965
ACH-000246,-1.3877863434299382
ACH-000248,-1.2661606914679628
ACH-000250,-1.4489929188493909
ACH-000251,-2.0238506107728536
ACH-000252,-1.4065573348759852
ACH-000253,-1.43089813788293
ACH-000255,-1.394092432670561
ACH-000256,-1.5879074983006238
ACH-000257,-1.4248552166710964
ACH-000258,-1.1823985939061816
ACH-000259,-1.7462203601425819
ACH-000260,-1.5476174452579068
ACH-000261,-1.5349819342504798
ACH-000262,-1.6739804466302368
ACH-000263,-1.598557313755267
ACH-000264,-1.4261021838957662
ACH-000265,-1.357293515032564
ACH-000266,-1.3788884184263053
ACH-000272,-1.4329093128698034
ACH-000274,-1.349048330633243
ACH-000277,-1.3601280875976478
ACH-000278,-1.5233241241315978
ACH-000279,-1.4993801825844746
ACH-000280,-1.4474820554388417
ACH-000281,-1.3830221782475098
ACH-000288,-1.4730938540273242
ACH-000291,-1.4196840515784843
ACH-000293,-1.8267358521959765
ACH-000294,-1.92680753552618
ACH-000295,-1.373397126441083
ACH-000296,-1.7149097032970757
ACH-000302,-1.6520902762269678
ACH-000304,-2.3395536823237872
ACH-000307,-1.442222739572521
ACH-000308,-1.6797279873605706
ACH-000310,-1.579869367112915
ACH-000311,-1.4488633952404588
ACH-000312,-1.4072645326748634
ACH-000315,-1.6822020159909243
ACH-000316,-1.5645513499099732
ACH-000317,-1.7825300322156945
ACH-000318,-1.8304837725901972
ACH-000319,-1.2982847224853675
ACH-000320,-1.5704852504660731
ACH-000322,-1.4204273052286769
ACH-000323,-1.406987066202302
ACH-000324,-1.5977997422153356
ACH-000329,-1.5743217844178468
ACH-000330,-1.2486857781525391
ACH-000331,-1.4150069165809516
ACH-000332,-1.5262335065545451
ACH-000334,-2.0372064895193502
ACH-000335,-1.3701937386586742
ACH-000336,-1.230942669825164
ACH-000337,-0.8632749754516815
ACH-000338,-1.1581906404886677
ACH-000339,-1.5081635409353238
ACH-000341,-2.061704240315249
ACH-000348,-1.8289348394132143
ACH-000350,-1.4766535987099056
ACH-000352,-1.0715111027710076
ACH-000356,-1.5700311751157732
ACH-000361,-1.3300984787540209
ACH-000362,-1.8194359495884136
ACH-000363,-1.544036617042931
ACH-000364,-1.0762658233577074
ACH-000365,-1.3984977113260229
ACH-000366,-1.6028606292861582
ACH-000368,-0.8490206872603858
ACH-000374,-1.6283545338031138
ACH-000375,-1.4779291022761167
ACH-000376,-1.653842220596599
ACH-000381,-1.560367272272262
ACH-000383,-1.5034997302958215
ACH-000387,-2.1557909178154886
ACH-000389,-1.5756060118596076
ACH-000390,-1.3431540288580677
ACH-000393,-1.6295137229715448
ACH-000395,-1.5406544984028905
ACH-000396,-1.6591612072699191
ACH-000397,-1.6618555779586663
ACH-000401,-1.5204874436629057
ACH-000402,-1.5697488307963403
ACH-000403,-1.6405032903535894
ACH-000404,-1.1698522104934783
ACH-000406,-1.6200716159257085
ACH-000407,-1.3040800950651916
ACH-000408,-1.3334798062729156
ACH-000410,-1.3166125143558205
ACH-000411,-1.3631483225268304
ACH-000414,-1.664278193013508
ACH-000415,-1.5300914434505448
ACH-000416,-1.4073779351000142
ACH-000420,-1.2125529831350241
ACH-000421,-1.3746445781530725
ACH-000424,-1.2298390772636545
ACH-000425,-1.4785820634829536
ACH-000426,-2.2220964900685978
ACH-000427,-1.6675515986350709
ACH-000433,-1.2035628379427568
ACH-000435,-2.037461596531045
ACH-000436,-1.5767747319735868
ACH-000444,-1.0633530000433542
ACH-000445,-1.2854931111302559
ACH-000448,-1.2991040008122998
ACH-000450,-1.3037419703874191
ACH-000452,-1.3288170736134235
ACH-000454,-1.4028401497446814
ACH-000458,-1.3697830591505777
ACH-000459,-1.843901105727808
ACH-000460,-1.4198641071724551
ACH-000461,-1.6052264608281384
ACH-000463,-1.4992261249716892
ACH-000464,-1.8549574296526803
ACH-000466,-1.7093550664907855
ACH-000467,-1.4426570667944294
ACH-000468,-1.5016869833291178
ACH-000469,-1.6682306746118083
ACH-000470,-1.3971637414508151
ACH-000471,-1.453625106062031
ACH-000472,-1.4657782912102388
ACH-000473,-1.6058149338330976
ACH-000475,-1.5184317473533482
ACH-000476,-1.5052611657830244
ACH-000477,-1.9904681444047585
ACH-000479,-1.8824689299758224
ACH-000480,-1.3604831800310366
ACH-000481,-1.5141169963533392
ACH-000483,-1.3843410034513002
ACH-000484,-1.4025079185168197
ACH-000485,-1.4269276165702192
ACH-000486,-1.3840367768942343
ACH-000487,-1.6625474895725507
ACH-000488,-1.3138697683450768
ACH-000490,-1.492359583121215
ACH-000491,-1.639070250299004
ACH-000495,-1.8415459109006036
ACH-000496,-1.5285476565284708
ACH-000499,-1.4777307348950637
ACH-000500,-1.5629443948075334
ACH-000502,-1.4730449107794408
ACH-000503,-1.4123958781904769
ACH-000505,-1.3425016247037158
ACH-000507,-1.371551850485923
