,TOX4 (9878)
ACH-000004,-0.1226567218447536
ACH-000005,-0.22193416009536432
ACH-000007,-0.3777693803621993
ACH-000009,-0.2502923459164684
ACH-000011,-0.18277738590949424
ACH-000012,-0.2989435746929638
ACH-000013,-0.10932869786128648
ACH-000014,-0.28086585913142403
ACH-000015,-0.17275992010435054
ACH-000017,-0.2972500969285904
ACH-000018,-0.1659386389779746
ACH-000019,-0.15068799948455927
ACH-000021,-0.253786642744184
ACH-000022,-0.3085463912077427
ACH-000025,-0.2557949063419042
ACH-000028,-0.3955784048418376
ACH-000030,-0.2930026912262676
ACH-000035,-0.4564429500576298
ACH-000036,-0.35620939919434713
ACH-000037,-0.37307436479086736
ACH-000039,-0.3926725684061877
ACH-000040,-0.1837512635639716
ACH-000041,-0.4170305253212169
ACH-000042,-0.2533764176596744
ACH-000045,-0.2647095172745373
ACH-000047,-0.2779622160108865
ACH-000052,-0.4229790861870264
ACH-000053,-0.3370388490399893
ACH-000054,-0.2632167905331769
ACH-000055,-0.44939479356271
ACH-000060,-0.4764767727861826
ACH-000067,-0.08194765984849639
ACH-000070,-0.4686321339248544
ACH-000075,-0.4362487682620298
ACH-000078,-0.04282925678430362
ACH-000082,-0.18167059252513626
ACH-000085,-0.3856917399832511
ACH-000086,-0.41242624773645054
ACH-000087,-0.3620185433617342
ACH-000092,-0.5381306491288209
ACH-000095,-0.2953255896126044
ACH-000097,-0.5172792203309448
ACH-000098,-0.2987729489583556
ACH-000099,-0.054388065014717456
ACH-000108,-0.5158178674290487
ACH-000113,-0.2967106266095729
ACH-000116,-0.10480103950383828
ACH-000118,-0.4336595036622682
ACH-000120,-0.5869822027846066
ACH-000123,-0.4026316387583789
ACH-000127,-0.03657661285568478
ACH-000128,-0.3968347829837819
ACH-000132,-0.27807119847233625
ACH-000133,-0.4416546869338655
ACH-000137,-0.2972131300111479
ACH-000138,-0.21240028379972672
ACH-000142,-0.3013294341390889
ACH-000143,-0.6403967616748711
ACH-000146,-0.3164029509947852
ACH-000148,-0.32251800046204354
ACH-000150,-0.03199441898280358
ACH-000152,-0.41148460977441337
ACH-000153,-0.4326635578768845
ACH-000159,-0.3750736896688932
ACH-000160,-0.3239097009154908
ACH-000163,-0.20732282830604148
ACH-000167,-0.4115805041789734
ACH-000168,-0.2962730747014372
ACH-000169,-0.25318215256126353
ACH-000178,-0.4861226976845911
ACH-000183,-0.22096655488224864
ACH-000188,-0.2635327447267832
ACH-000189,-0.3706641485816888
ACH-000190,-0.4610432006891994
ACH-000198,-0.5092017634156524
ACH-000203,-0.5779464423394459
ACH-000204,-0.2999917945796433
ACH-000206,-0.454564135880375
ACH-000207,-0.2682856310892526
ACH-000208,-0.524323587157677
ACH-000210,-0.30657641408220865
ACH-000211,-0.3921034848137497
ACH-000215,-0.07960793845589732
ACH-000221,-0.3537930925233875
ACH-000222,-0.4751352996932194
ACH-000223,-0.38306470216854216
ACH-000226,-0.31462146467644986
ACH-000227,-0.08611995340588409
ACH-000228,-0.24058270227008302
ACH-000231,-0.3958328527256494
ACH-000232,-0.3398137843767773
ACH-000233,-0.2517402822918223
ACH-000234,-0.2382047306779741
ACH-000235,-0.2743902777169413
ACH-000237,-0.15737804778222347
ACH-000238,-0.2759845278883223
ACH-000242,-0.22051117682677568
ACH-000243,-0.4203874390273257
ACH-000244,-0.5032063445821651
ACH-000246,-0.1443027990742709
ACH-000248,-0.31618043999839657
ACH-000250,-0.2538212642725146
ACH-000251,-0.2770391727465599
ACH-000252,-0.483145826101277
ACH-000253,-0.32806790666754426
ACH-000255,-0.2737996788062962
ACH-000256,-0.09209660489014684
ACH-000257,-0.42602195026578543
ACH-000258,-0.4165510131908899
ACH-000259,-0.3122860638933484
ACH-000260,-0.3621608413515327
ACH-000261,-0.5264757846717182
ACH-000262,-0.25583088254198805
ACH-000263,-0.17840347579790114
ACH-000264,-0.3604213809237432
ACH-000265,-0.3334517009657188
ACH-000266,-0.3358180609440041
ACH-000272,-0.2335927349838641
ACH-000274,-0.13843954811987433
ACH-000277,-0.07608220866312561
ACH-000278,-0.4043471302403901
ACH-000279,-0.2143621838223436
ACH-000280,-0.4350337664251274
ACH-000281,-0.40421108332948463
ACH-000288,-0.19459066373493905
ACH-000291,-0.15391401135986618
ACH-000293,-0.15408142937886765
ACH-000294,-0.018199169264484075
ACH-000295,-0.25069592763592424
ACH-000296,-0.34535224469813913
ACH-000302,-0.2441555422516708
ACH-000304,-0.2640749298022228
ACH-000307,-0.31505242721273186
ACH-000308,-0.1684678251348323
ACH-000310,-0.10076513032826943
ACH-000311,-0.6377133444735752
ACH-000312,-0.1000322967070498
ACH-000315,-0.2320460365815041
ACH-000316,-0.5714279996048994
ACH-000317,-0.4381855427889961
ACH-000318,-0.19127805862037006
ACH-000319,-0.2494306470467484
ACH-000320,-0.05377483124839712
ACH-000322,-0.4312164745179841
ACH-000323,-0.26224040008718313
ACH-000324,-0.25237991247554875
ACH-000329,-0.2314591817830225
ACH-000330,-0.2865565277771234
ACH-000331,0.07382957441690884
ACH-000332,-0.2604735847805698
ACH-000334,-0.4231295578230144
ACH-000335,-0.35578071232917546
ACH-000336,-0.775474447843952
ACH-000337,-0.4895742244754453
ACH-000338,-0.30022383860674834
ACH-000339,-0.2473361243808983
ACH-000341,-0.20280066178984887
ACH-000348,-0.2674037971713689
ACH-000350,-0.02102030240700762
ACH-000352,-0.5546940427029055
ACH-000356,-0.2509458725799969
ACH-000361,-0.1369291383439704
ACH-000362,-0.4602691318304736
ACH-000363,-0.2711813421856937
ACH-000364,-0.34084112706406433
ACH-000365,-0.3566965280048928
ACH-000366,-0.26696188995287345
ACH-000368,-0.3522317363452105
ACH-000374,-0.35373838842451866
ACH-000375,-0.37191397078777305
ACH-000376,-0.298423034475591
ACH-000381,-0.4138751853523047
ACH-000383,-0.2990505398143513
ACH-000387,-0.2056718135271268
ACH-000389,0.046448537128459935
ACH-000390,-0.2409075372664416
ACH-000393,-0.4314446578165052
ACH-000395,-0.1629627632661942
ACH-000396,-0.4982964434330258
ACH-000397,-0.4935367401361013
ACH-000401,-0.2800589811786149
ACH-000402,-0.14000612427666878
ACH-000403,-0.3475353514339793
ACH-000404,-0.4795382416263978
ACH-000406,-0.41345137460857057
ACH-000407,-0.28001723309049914
ACH-000408,-0.3706793193736928
ACH-000410,-0.3181679661912485
ACH-000411,-0.2177416301496844
ACH-000414,-0.14454594742054694
ACH-000415,-0.388711716598558
ACH-000416,-0.13107792771724824
ACH-000420,-0.2558236049426617
ACH-000421,-0.4439840338965589
ACH-000424,-0.15815233842583634
ACH-000425,-0.263175650801509
ACH-000426,0.05067388108207487
ACH-000427,-0.28708075050292664
ACH-000433,-0.2649497814223151
ACH-000435,-0.1337322795522939
ACH-000436,-0.33838956235036777
ACH-000444,-0.33227005490536937
ACH-000445,-0.3895615108049829
ACH-000448,-0.3991880786968613
ACH-000450,-0.3426734462218909
ACH-000452,-0.418919049585968
ACH-000454,-0.1338050309702857
ACH-000458,-0.3124135298749342
ACH-000459,-0.3839099382371573
ACH-000460,-0.4355599330223476
ACH-000461,-0.18758709707699148
ACH-000463,-0.3140508664742924
ACH-000464,-0.06533476510236723
ACH-000466,-0.11684171084057265
ACH-000467,-0.5131480818536003
ACH-000468,-0.23814050679552864
ACH-000469,-0.2768564699456929
ACH-000470,-0.3709416528570916
ACH-000471,-0.5169196224676109
ACH-000472,-0.40430750329426574
ACH-000473,-0.17291515525876885
ACH-000475,-0.230061632079571
ACH-000476,-0.2271234619976201
ACH-000477,-0.21954833986237748
ACH-000479,-0.5677552173664132
ACH-000480,-0.16313617960066135
ACH-000481,-0.21984865573756293
ACH-000483,-0.3133325469000554
ACH-000484,-0.2468708269410655
ACH-000485,-0.5599456541064143
ACH-000486,-0.24605044986826874
ACH-000487,-0.07311909869526084
ACH-000488,-0.3438397362166444
ACH-000490,-0.4772034350301835
ACH-000491,-0.1726199250860863
ACH-000495,-0.6827586056438971
ACH-000496,-0.2684591146385448
ACH-000499,-0.3217435073002832
ACH-000500,-0.4853455195885509
ACH-000502,-0.18029823953858745
ACH-000503,-0.7830469155801205
ACH-000505,-0.18820857257328394
ACH-000507,-0.22717060689506466
ACH-000510,-0.3363418437130429
ACH-000511,-0.2101929191368131
ACH-000512,-0.303548832108234
ACH-000516,-0.2648152710550504
ACH-000517,-0.32792665461678955
ACH-000518,-0.3533999317064243
ACH-000520,-0.12438736270651385
ACH-000521,-0.17974326123163298
ACH-000522,-0.411574933829654
ACH-000524,-0.17879757660674284
ACH-000527,-0.2362582912871177
ACH-000528,-0.2935505219872412
ACH-000537,-0.3513162001606161
ACH-000541,-0.3199188982034431
ACH-000542,-0.17918107668276176
ACH-000544,-0.2657562587179079
ACH-000545,-0.2687057668994368
ACH-000547,-0.2410275570029901
ACH-000548,-0.2670758451670813
ACH-000549,-0.28924277629456896
ACH-000550,-0.5211042992642233
ACH-000552,-0.4764048182147258
ACH-000556,-0.1690279203943952
ACH-000557,-0.4215349646451572
ACH-000569,-0.3081430810724504
ACH-000570,-0.33481696664112576
ACH-000571,-0.3456688060638914
ACH-000573,-0.2732673599518164
ACH-000576,-0.3669402761350958
ACH-000579,-0.1685884088334024
ACH-000580,-0.4252787291279311
ACH-000584,-0.2956822670002509
ACH-000585,-0.3911026609778169
ACH-000588,-0.5500045948159437
ACH-000589,-0.37398185095736813
ACH-000591,-0.2910838010297461
ACH-000593,-0.30961205740162
ACH-000600,-0.12181021238455192
ACH-000601,-0.2409341848057354
ACH-000605,-0.21176827274832372
ACH-000606,-0.2297087899430561
ACH-000608,-0.32099328830371177
ACH-000614,-0.11767280194325914
ACH-000616,-0.3560374064483815
ACH-000618,-0.308838721352713
ACH-000619,-0.3720227848749993
ACH-000620,-0.3494261244930661
ACH-000621,-0.3759672708517654
ACH-000622,-0.3652279693806487
ACH-000623,-0.3087769651983999
ACH-000624,-0.2257682125938201
ACH-000627,-0.1497559042229424
ACH-000630,-0.1278669726725429
ACH-000631,0.035910733007733585
ACH-000632,-0.249603024067671
ACH-000633,-0.21335497515795165
ACH-000637,-0.34579642369576963
ACH-000638,-0.3011617238593927
ACH-000646,-0.4234758141166105
ACH-000647,-0.22290829251490965
ACH-000648,-0.22030586674727612
ACH-000649,-0.19485992991766907
