,ARID3A (1820)
ACH-000004,-0.4227023872964013
ACH-000005,-0.4588822378990166
ACH-000007,-0.3350008589932022
ACH-000009,-0.4383589925590447
ACH-000011,-0.15003647502656914
ACH-000012,-0.34626784904518154
ACH-000013,-0.2898284146781438
ACH-000014,-0.3469878543198801
ACH-000015,-0.052513805637394564
ACH-000017,-0.3792669335059086
ACH-000018,-0.16526392765793313
ACH-000019,-0.4342841491755602
ACH-000021,-0.4046232815268215
ACH-000022,-0.2858135159240709
ACH-000025,-0.4067033686998108
ACH-000028,-0.3143864108324957
ACH-000030,-0.4151118146399667
ACH-000035,-0.4351832578808161
ACH-000036,-0.4265467588204209
ACH-000037,-0.28352024459415176
ACH-000039,-0.3228686228437016
ACH-000040,-0.3367811489452188
ACH-000041,-0.3800676227172163
ACH-000042,-0.3943670489389097
ACH-000045,-0.3212847145149525
ACH-000047,-0.2756749658530458
ACH-000052,-0.14215879998443706
ACH-000053,-0.168754062950947
ACH-000054,-0.42668786195085184
ACH-000055,-0.3345894371620659
ACH-000060,-0.3058464697222569
ACH-000067,-0.3932523927968863
ACH-000070,-0.3311263371107182
ACH-000075,-0.35863518025467284
ACH-000078,-0.3595314502673463
ACH-000082,-0.4237710826072056
ACH-000085,-0.4969749050525346
ACH-000086,-0.4159422669630548
ACH-000087,-0.31655052635336617
ACH-000092,-0.4333523247145967
ACH-000095,-0.3912627406909461
ACH-000097,-0.38661735621468
ACH-000098,-0.33113551654181816
ACH-000099,-0.4047013406019437
ACH-000108,-0.3304590543436466
ACH-000113,-0.5987946080401864
ACH-000116,-0.2913474598634885
ACH-000118,-0.2798883993317457
ACH-000120,-0.2745239005038265
ACH-000123,-0.2773083501720283
ACH-000127,-0.43997745708513386
ACH-000128,-0.31116547660958205
ACH-000132,-0.65930099179318
ACH-000133,-0.3625547691096915
ACH-000137,-0.3920258615412342
ACH-000138,-0.28396536056386235
ACH-000142,-0.2993939230083796
ACH-000143,-0.24899464743259506
ACH-000146,-0.21162820348746555
ACH-000148,-0.3886535715510104
ACH-000150,-0.32572097055881505
ACH-000152,-0.3176915107312054
ACH-000153,-0.3105169142168152
ACH-000159,-0.4426505528139811
ACH-000160,-0.22367703337317868
ACH-000163,-0.2757457933435385
ACH-000167,-0.25128479308020163
ACH-000168,-0.37294053823536905
ACH-000169,-0.3229456275838393
ACH-000178,-0.39655454440791743
ACH-000183,-0.5643148165712176
ACH-000188,-0.3448692236752632
ACH-000189,-0.43770344234698255
ACH-000190,-0.012143584284338298
ACH-000198,-0.5923140272898381
ACH-000203,-0.40458407966856
ACH-000204,-0.3206083951720946
ACH-000206,-0.448510345449769
ACH-000207,-0.5650425534762964
ACH-000208,-0.4352405073367011
ACH-000210,-0.6040311432907296
ACH-000211,-0.4160422988119379
ACH-000215,-0.4107844602994723
ACH-000221,-0.3445144842989664
ACH-000222,-0.2406946425675685
ACH-000223,-0.4669499156980348
ACH-000226,-0.09546830972927724
ACH-000227,-0.5562870181322728
ACH-000228,-0.21243226947284055
ACH-000231,-0.4100231579026646
ACH-000232,-0.3260792649192786
ACH-000233,-0.30542546231715023
ACH-000234,-0.4810750147711458
ACH-000235,-0.42763709588714494
ACH-000237,-0.3425446361353961
ACH-000238,-0.5023116784168762
ACH-000242,0.04592649880904605
ACH-000243,-0.3173877000540004
ACH-000244,-0.4511257516378722
ACH-000246,-0.2916713582275671
ACH-000248,-0.2659622827633871
ACH-000250,-0.4746701145701209
ACH-000251,-0.4128953564443393
ACH-000252,-0.3773665442341257
ACH-000253,-0.4129443916824943
ACH-000255,-0.40422293606763177
ACH-000256,-0.31827583444149593
ACH-000257,-0.6772047609396785
ACH-000258,-0.3785189635061945
ACH-000259,-0.2473318088150656
ACH-000260,-0.39853173633422906
ACH-000261,-0.3966078943242666
ACH-000262,-0.4874989374431462
ACH-000263,-0.2464385398658889
ACH-000264,-0.29704360589318185
ACH-000265,-0.2666332906074018
ACH-000266,-0.40607678638748335
ACH-000272,-0.290356706447939
ACH-000274,-0.5157901360727694
ACH-000277,-0.3604490634007495
ACH-000278,-0.3080723768081484
ACH-000279,-0.4522737413803172
ACH-000280,-0.5010783894279903
ACH-000281,-0.265536849547008
ACH-000288,-0.34882664177266426
ACH-000291,-0.11160313555179867
ACH-000293,-0.3850196631185624
ACH-000294,-0.3520583447280771
ACH-000295,-0.5482300374630835
ACH-000296,-0.5168782859896967
ACH-000302,-0.2841819837346196
ACH-000304,-0.4022052236305166
ACH-000307,-0.34015762997761495
ACH-000308,-0.4532446070083482
ACH-000310,-0.5734341922951146
ACH-000311,-0.5103865827040871
ACH-000312,-0.3614195243962691
ACH-000315,-0.2389792649341765
ACH-000316,-0.19837811863858573
ACH-000317,-0.26112320265524697
ACH-000318,-0.3884313681709512
ACH-000319,-0.2472436690178981
ACH-000320,-0.43854608017836455
ACH-000322,-0.289851971771759
ACH-000323,-0.2315404034754495
ACH-000324,-0.4479339694224429
ACH-000329,-0.3752751108040301
ACH-000330,-0.4082108992027508
ACH-000331,-0.356831073767455
ACH-000332,-0.3785270380154596
ACH-000334,-0.3463636151589671
ACH-000335,-0.1912124123001611
ACH-000336,-0.4357251160007738
ACH-000337,-0.29524508084145834
ACH-000338,-0.18720776308444406
ACH-000339,-0.467473593886831
ACH-000341,-0.3255281217377935
ACH-000348,-0.3402558672019181
ACH-000350,-0.3783003564811988
ACH-000352,-0.22071134854375432
ACH-000356,-0.2334227110056081
ACH-000361,-0.35949351062282625
ACH-000362,-0.3495687805160398
ACH-000363,-0.3455047285314453
ACH-000364,-0.4936124365052034
ACH-000365,-0.32540541209561985
ACH-000366,-0.4205679254765176
ACH-000368,-0.496601911996993
ACH-000374,-0.6368370678079883
ACH-000375,-0.1872641846161261
ACH-000376,-0.4207784058786778
ACH-000381,-0.2785344909410874
ACH-000383,-0.3511717881161637
ACH-000387,-0.3167800778032033
ACH-000389,-0.26390148651957124
ACH-000390,-0.32182175964893994
ACH-000393,-0.4660303474362618
ACH-000395,-0.17575122330040036
ACH-000396,-0.2855268875020163
ACH-000397,-0.3231140562338541
ACH-000401,-0.2805023179792007
ACH-000402,-0.3923603171813759
ACH-000403,-0.4104915311319688
ACH-000404,-0.037198213545247015
ACH-000406,-0.24824695278324824
ACH-000407,-0.3986670004241128
ACH-000408,-0.3700761789523814
ACH-000410,-0.28424600131347033
ACH-000411,-0.3791847233681164
ACH-000414,-0.4929769062339114
ACH-000415,-0.5453117157007318
ACH-000416,-0.34552817526009744
ACH-000420,-0.5367232115939844
ACH-000421,-0.3635514614439563
ACH-000424,-0.3691223822738272
ACH-000425,-0.2570619317028397
ACH-000426,-0.5618131367979201
ACH-000427,-0.5707245036780624
ACH-000433,-0.2356893183606597
ACH-000435,-0.4943800093349793
ACH-000436,-0.5790237097157432
ACH-000444,-0.3240192623544406
ACH-000445,-0.32392992519456865
ACH-000448,-0.3048335567363695
ACH-000450,-0.18032011882357346
ACH-000452,-0.2586186092618842
ACH-000454,-0.31841671863529164
ACH-000458,-0.3285985239133484
ACH-000459,-0.2582294101330417
ACH-000460,-0.25079411451302475
ACH-000461,-0.3931048091271918
ACH-000463,-0.3561846813073193
ACH-000464,-0.3852855110839017
ACH-000466,-0.3820970222722343
ACH-000467,-0.2495697920867657
ACH-000468,-0.36942729923414414
ACH-000469,-0.5212607466127169
ACH-000470,-0.23238347040480525
ACH-000471,-0.26540887952205056
ACH-000472,-0.3904524454083528
ACH-000473,-0.3500197945354388
ACH-000475,-0.5568045551479981
ACH-000476,-0.4322611146842968
ACH-000477,-0.2640212339133907
ACH-000479,-0.5283843471736013
ACH-000480,-0.3553414943183673
ACH-000481,-0.37087007194927
ACH-000483,-0.3315672430933438
ACH-000484,-0.3779183210727939
ACH-000485,-0.4705522971454427
ACH-000486,-0.3217001380041762
ACH-000487,-0.4507207656850727
ACH-000488,-0.3725798635297975
ACH-000490,-0.3425459823052667
ACH-000491,-0.4208579830540782
ACH-000495,-0.4812285823397407
ACH-000496,-0.2965687688592021
ACH-000499,-0.31245006369265377
ACH-000500,-0.495772164999216
ACH-000502,-0.3496719336422136
ACH-000503,-0.2435564383013881
ACH-000505,-0.3680922127402133
ACH-000507,-0.20508388039546832
ACH-000510,-0.22493969527264976
ACH-000511,-0.4723409971420798
ACH-000512,-0.455805925815137
ACH-000516,-0.4324223558145423
ACH-000517,-0.4776771852291023
ACH-000518,-0.33686659308914124
ACH-000520,-0.4692826680082023
ACH-000521,-0.3803290889862303
ACH-000522,-0.4304947388066992
ACH-000524,-0.27309118210284394
ACH-000527,-0.4544612102828348
ACH-000528,-0.2775190298384264
ACH-000537,-0.3438750428764857
ACH-000541,-0.09261227266729796
ACH-000542,-0.3209807789865444
ACH-000544,-0.4201380755283667
ACH-000545,-0.3935330997247005
ACH-000547,-0.29436054141599033
ACH-000548,-0.4956168042747762
ACH-000549,-0.4817449583465778
ACH-000550,-0.4351855945627167
ACH-000552,-0.4511589995971066
ACH-000556,-0.5430453137128994
ACH-000557,-0.5296189157218677
ACH-000569,-0.497783899152964
ACH-000570,-0.1878528189707907
ACH-000571,-0.22855586555309826
ACH-000573,-0.33188077201259675
ACH-000576,-0.4533438458394812
ACH-000579,-0.21073596672389347
ACH-000580,-0.22280298424192985
ACH-000584,-0.3511096447831152
ACH-000585,-0.4347493237264837
ACH-000588,-0.4754379163876921
ACH-000589,-0.2717822199904913
ACH-000591,-0.3588927418014988
ACH-000593,-0.4732914857004539
ACH-000600,-0.5855232479267872
ACH-000601,-0.3884016820097424
ACH-000605,-0.2751866638757157
ACH-000606,-0.2852399813536493
ACH-000608,-0.39479541393525175
ACH-000614,-0.1646176103588512
ACH-000616,-0.30782052929414977
ACH-000618,-0.343799161400073
ACH-000619,-0.3423192101045361
ACH-000620,-0.480378605006955
ACH-000621,-0.2319103270196415
ACH-000622,-0.3540467178331221
ACH-000623,-0.3915509461094637
ACH-000624,-0.3211007794983942
ACH-000627,-0.3540521112067565
ACH-000630,-0.5548007412643081
