,AKTIP (64400)
ACH-000004,-0.053152862726460436
ACH-000005,-0.4927371479637687
ACH-000007,-0.12691289730001346
ACH-000009,-0.1410384250158005
ACH-000011,-0.021685620498489516
ACH-000012,-0.11286651189278853
ACH-000013,-0.10857476153758236
ACH-000014,-0.2137737409185332
ACH-000015,-0.06653933385173108
ACH-000017,-0.08946218933549724
ACH-000018,-0.2551323756049866
ACH-000019,-0.05372350520062046
ACH-000021,0.056086592461417145
ACH-000022,-0.08130896991115164
ACH-000025,-0.094381843106763
ACH-000028,0.04901761365149182
ACH-000030,-0.047634037658097886
ACH-000035,-0.1617937762257537
ACH-000036,-0.00367656342039429
ACH-000037,-0.04396022377087755
ACH-000039,-0.13329320933139338
ACH-000040,0.012968634482291444
ACH-000041,0.027481248630011897
ACH-000042,-0.0425572134511974
ACH-000045,-0.05627151989359647
ACH-000047,-0.1702860693123928
ACH-000052,-0.009709805996874604
ACH-000053,-0.14456774087354776
ACH-000054,-0.09749595755896112
ACH-000055,-0.015187547074051512
ACH-000060,-0.03924426937829882
ACH-000067,-0.009797848547069592
ACH-000070,0.019320008371724512
ACH-000075,-0.11275521218110195
ACH-000078,0.026276476026625226
ACH-000082,-0.20024493128929047
ACH-000085,-0.2959732798908806
ACH-000086,-0.06485994875154913
ACH-000087,-0.03067910200571755
ACH-000092,-0.13676608057339795
ACH-000095,-0.1118488283352272
ACH-000097,0.0019969307926781584
ACH-000098,-0.12590906418609346
ACH-000099,-0.11806191777851699
ACH-000108,0.04933209304147894
ACH-000113,-0.09842930484888003
ACH-000116,-0.2238405849368424
ACH-000118,-0.12964291760828345
ACH-000120,-0.3369457935398796
ACH-000123,-0.06627957145193009
ACH-000127,-0.13335465065804053
ACH-000128,-0.020860349551664204
ACH-000132,-0.15890396253677105
ACH-000133,-0.15586159697435548
ACH-000137,-0.254422880633755
ACH-000138,-0.06777984286384874
ACH-000142,-0.106853812080795
ACH-000143,0.00979500023946666
ACH-000146,-0.1875934036338776
ACH-000148,-0.20562611543215512
ACH-000150,0.12067867156172055
ACH-000152,-0.026648834889445423
ACH-000153,-0.21869469758911367
ACH-000159,-0.06558069444746988
ACH-000160,-0.09600627978659927
ACH-000163,-0.056016417778676386
ACH-000167,-0.6700109239760486
