,IL17RD (54756)
ACH-000004,0.026781886696182224
ACH-000005,0.1529971899957329
ACH-000007,0.08971572610764596
ACH-000009,-0.04047777598082748
ACH-000011,0.06417540951967704
ACH-000012,-0.005907971603716814
ACH-000013,0.025212967752115286
ACH-000014,0.1050531624500132
ACH-000015,0.02695735457962084
ACH-000017,-0.01164788070608
ACH-000018,0.04015852808777723
ACH-000019,0.11879791689027452
ACH-000021,0.05646052885430242
ACH-000022,-0.003846431856970712
ACH-000025,0.009813073879646859
ACH-000028,-0.01942807376857706
ACH-000030,0.02166819260452949
ACH-000035,0.13332324011779914
ACH-000036,0.07484995851877176
ACH-000037,-0.05534323339916848
ACH-000039,0.08011371555312899
ACH-000040,0.0013553820177783485
ACH-000041,-0.03604300717933282
ACH-000042,-0.06990295658854152
ACH-000045,-0.13255251677954102
ACH-000047,0.04564162566548355
ACH-000052,0.1082910309075472
ACH-000053,-0.06693309019256627
ACH-000054,-0.016220046052566158
ACH-000055,0.04304770193137972
ACH-000060,-0.030986556403492207
ACH-000067,-0.03924489187571096
ACH-000070,-0.028189485019605377
ACH-000075,-0.042432610305798035
ACH-000078,0.028668813294075324
ACH-000082,0.11506616960516405
ACH-000085,-0.11802503121074978
ACH-000086,-0.016730872651624276
ACH-000087,0.1651355626947046
ACH-000092,0.057083625652302024
ACH-000095,0.060993440089567814
ACH-000097,0.0018581954126285281
ACH-000098,0.0027891150958326465
ACH-000099,0.1154237112659887
ACH-000108,0.07696400036195662
ACH-000113,-0.01943506198441406
ACH-000116,-0.043416183755264064
ACH-000118,-0.09511280754605883
ACH-000120,-0.07275035890078876
ACH-000123,-0.024069699863373848
ACH-000127,0.017806641379557484
ACH-000128,-0.07536877530901565
ACH-000132,-0.02291653966121576
ACH-000133,-0.06628421926362664
ACH-000137,-0.015146787333647774
ACH-000138,-0.052234981490937714
ACH-000142,0.12377021876390112
ACH-000143,0.13371350728957482
ACH-000146,-0.013144714753105016
ACH-000148,-0.01416056595106666
ACH-000150,-0.14075876246738556
ACH-000152,0.12413467837281608
ACH-000153,-0.03974890067277945
ACH-000159,0.04614236213337471
ACH-000160,-0.04479265546344687
ACH-000163,0.04838190887817018
ACH-000167,-0.028772512154112712
ACH-000168,0.035112650312970534
ACH-000169,-0.02406919406885324
ACH-000178,0.04973254109304753
ACH-000183,-0.03858590713517119
ACH-000188,-0.13339771440397882
ACH-000189,-0.22619109126628345
ACH-000190,0.04134052233624251
ACH-000198,-0.09856858705758134
ACH-000203,0.3353430734682042
ACH-000204,0.02831734191078075
