,UGCG (7357)
ACH-000004,-0.10036793813028873
ACH-000005,-0.2314425636225066
ACH-000007,-0.045980373061273325
ACH-000009,-0.17199874607478707
ACH-000011,-0.4768963401466523
ACH-000012,-0.12023590661397375
ACH-000013,-0.04855180012681303
ACH-000014,0.1681600294923001
ACH-000015,-0.27537920638158364
ACH-000017,-0.034260423165043366
ACH-000018,0.014086642182328912
ACH-000019,-0.008351748727175616
ACH-000021,-0.14233399391150742
ACH-000022,-0.08640015634991645
ACH-000025,-0.1612413503932701
ACH-000028,-0.1232520403759676
ACH-000030,-0.4364298608640152
ACH-000035,-0.4495533928005835
ACH-000036,-0.4259705956838646
ACH-000037,0.1009559569670706
ACH-000039,-0.4578538642686441
ACH-000040,-0.11591672065718875
ACH-000041,-0.2725956144697262
ACH-000042,-0.3995660649634215
ACH-000045,-0.4887720386692582
ACH-000047,0.02291904670427893
ACH-000052,-0.6300924536689376
ACH-000053,-0.1142869010309705
ACH-000054,-0.07909125959766053
ACH-000055,-0.22604636568357886
ACH-000060,-0.35722879059823376
ACH-000067,-0.060764116795661176
ACH-000070,0.01658277774396243
ACH-000075,-0.3548907337103405
ACH-000078,-0.23156268490251036
ACH-000082,-0.06825103175494274
ACH-000085,-0.09164858631395742
ACH-000086,-0.09076964116736573
ACH-000087,-0.2656148695813344
ACH-000092,0.0374784455520488
ACH-000095,-0.13188090202400907
ACH-000097,-0.16451316141786013
ACH-000098,-0.2558993069756957
ACH-000099,-0.1339416307202665
ACH-000108,-0.18054866688795104
ACH-000113,-0.17362285211982734
ACH-000116,-0.2990899633654095
ACH-000118,-0.18209245071610167
ACH-000120,0.00040431791683625125
ACH-000123,-0.1712488035345036
ACH-000127,-0.07329754759449991
ACH-000128,-0.07548102226795511
ACH-000132,-0.2995398251305099
ACH-000133,-0.23852213978744174
ACH-000137,-0.14442049848106275
ACH-000138,-0.1574335282284897
ACH-000142,-0.6952591668143113
ACH-000143,-0.04165101955899248
ACH-000146,-0.18949053534171906
ACH-000148,-0.04788964488103439
ACH-000150,-0.03977108838561515
ACH-000152,-0.2454319665115276
