,VILL (50853)
ACH-000004,0.07906333189900927
ACH-000005,-0.1460161704279917
ACH-000007,-0.042300152407724605
ACH-000009,-0.044053643982635164
ACH-000011,-0.10948161870650412
ACH-000012,-0.08500707246169534
ACH-000013,-0.04724811534558613
ACH-000014,-0.02185487902510209
ACH-000015,-0.2012503263786117
ACH-000017,-0.01300050341613688
ACH-000018,0.19393434619827887
ACH-000019,0.0654117068152898
ACH-000021,-0.02594792118221928
ACH-000022,-0.022433707119866884
ACH-000025,-0.02306714902045875
ACH-000028,0.00684032124146774
ACH-000030,0.0006278621599625245
ACH-000035,0.13549722079217028
ACH-000036,-0.09102358468173599
ACH-000037,0.02722682052213036
ACH-000039,-0.029032276849150693
ACH-000040,-0.05119401970521833
ACH-000041,0.08925505453144633
ACH-000042,-0.041427331154413535
ACH-000045,-0.04735050649820942
ACH-000047,-0.07067778066319233
ACH-000052,-0.25726391126714343
ACH-000053,-0.0968533659454819
ACH-000054,-0.07282365869361207
ACH-000055,-0.13414841986180107
ACH-000060,-0.08586224130565702
ACH-000067,-0.09160046388226846
ACH-000070,-0.19565304841317924
ACH-000075,-0.020852982783249797
ACH-000078,-0.002134897325072
ACH-000082,-0.033992539540124364
ACH-000085,-0.05714884602094076
ACH-000086,0.03728690905806352
ACH-000087,0.07232823231908822
ACH-000092,-0.04748390513653722
ACH-000095,0.017163676104730533
ACH-000097,0.01879990526101804
ACH-000098,-0.1474940684162072
ACH-000099,-0.05653073820685325
ACH-000108,-0.03154962298879705
ACH-000113,-0.03717217551426321
ACH-000116,-0.09461687321215696
ACH-000118,-0.09037081363209404
ACH-000120,0.02210564810847116
ACH-000123,-0.08893564815990249
ACH-000127,-0.049201466465513134
ACH-000128,-0.15136938472631545
ACH-000132,-0.047608664294283606
ACH-000133,0.009708986968813152
ACH-000137,0.11208030720918392
ACH-000138,0.0753484393658949
ACH-000142,-0.045385438852524
ACH-000143,-0.20831250965186776
ACH-000146,0.0359712043500382
ACH-000148,-0.06326996747208194
ACH-000150,-0.11622256625979285
ACH-000152,-0.11963150868758175
ACH-000153,-0.16302849097601638
ACH-000159,-0.022628171219808108
ACH-000160,0.018180209064107725
ACH-000163,-0.17711592832399906
ACH-000167,0.0659611573969925
ACH-000168,0.0653406868569978
ACH-000169,-0.08693747978754891
ACH-000178,-0.09049946824612896
ACH-000183,-0.3030964586860924
ACH-000188,-0.09349074863125624
ACH-000189,-0.2659767858315702
ACH-000190,0.10323640264150703
ACH-000198,-0.04264473330095582
