,SHC4 (399694)
ACH-000317,-0.17261229630093838
ACH-000318,-0.18182903697854266
ACH-000319,-0.1470430759357619
ACH-000320,-0.16647727193929968
ACH-000322,-0.12027500287739132
ACH-000323,-0.033903501570185963
ACH-000324,-0.03909625775390501
ACH-000329,-0.07032147360662898
ACH-000330,-0.03939185163062592
ACH-000331,-0.12457195553795028
ACH-000332,-0.0371756745933234
ACH-000334,-0.1473998341555012
ACH-000335,-0.031194633530545475
ACH-000336,-0.2942011074012286
ACH-000337,-0.03600655627139012
ACH-000338,-0.3544394765187021
ACH-000339,-0.1349428778814208
ACH-000341,-0.010892155973340218
ACH-000348,-0.22616249311692546
ACH-000350,-0.11351590745594095
ACH-000352,-0.09445684264189468
ACH-000356,-0.1794882184896717
ACH-000361,0.05248476285858631
ACH-000362,-0.11963876554529852
ACH-000363,-0.19046489714714251
ACH-000364,-0.13769184171145396
ACH-000365,-0.15923464605813584
ACH-000366,-0.04817792464311296
ACH-000368,-0.16423893299842682
ACH-000374,0.0270296905708145
ACH-000375,-0.19114875929441236
ACH-000376,-0.18809006383495905
ACH-000381,-0.10547156788823908
ACH-000383,-0.14263043068819284
ACH-000387,-0.2637889639446244
ACH-000389,-0.1116830384594224
ACH-000390,-0.17802381837575748
ACH-000393,-0.1668759615435389
ACH-000395,-0.17608448291268636
ACH-000396,-0.11883638558466687
ACH-000397,-0.11057600753825414
ACH-000401,-0.1544856584254662
ACH-000402,-0.3521507642019747
ACH-000403,-0.10554483645600912
ACH-000404,-0.2658699984709506
ACH-000406,-0.08491199108001074
ACH-000407,-0.1987572384776184
ACH-000408,-0.2263122799941949
ACH-000410,-0.19272844184721888
ACH-000411,-0.09693467696822357
ACH-000414,-0.039768289554041485
ACH-000415,-0.10090551541401756
ACH-000416,-0.13003545735604505
ACH-000420,-0.0965287825819434
ACH-000421,-0.11032003505492884
ACH-000424,-0.08014080932238772
ACH-000425,-0.11143166697684
ACH-000426,-0.08342558437471245
ACH-000427,-0.11109918394197164
ACH-000433,-0.08098208914544666
ACH-000435,-0.2230466360077804
ACH-000436,-0.10735070150087188
ACH-000444,-0.03220757051620427
ACH-000445,-0.10252138242130317
ACH-000448,-0.09404503031014846
ACH-000450,-0.1443572790083165
ACH-000452,-0.09153322141605184
ACH-000454,-0.12899801215391812
ACH-000458,-0.11989005556257158
ACH-000459,-0.03643491108273232
ACH-000460,0.07429779053884558
ACH-000461,-0.09184699874034846
ACH-000463,-0.1198986629335163
ACH-000464,-0.1602003370923223
ACH-000466,-0.04128883416316533
ACH-000467,-0.018909724367949788
ACH-000468,-0.08798653803618844
ACH-000469,-0.07518649335002306
ACH-000470,-0.004328229626188896
ACH-000471,-0.12781402191666733
ACH-000472,-0.02030743195384313
ACH-000473,-0.0788410645890591
ACH-000475,-0.004494878041802652
ACH-000476,-0.009290318503694866
ACH-000477,-0.3854774545059293
ACH-000479,-0.09256990977071523
ACH-000480,0.048973298066689167
ACH-000481,-0.006266982992936405
ACH-000483,-0.18739262247106567
ACH-000484,-0.05048219598321788
ACH-000485,-0.15612748980641736
ACH-000486,-0.17156970898477902
ACH-000487,-0.2627739441201587
ACH-000488,-0.0701983955844748
