,SSSCA1 (10534)
ACH-000004,-0.2834622293371307
ACH-000005,-0.17563875511272065
ACH-000007,-0.05487218993673361
ACH-000009,-0.26107727728775376
ACH-000011,-0.06146073238223612
ACH-000012,-0.3713769583458042
ACH-000013,-0.2539518399113189
ACH-000014,-0.20773967743563812
ACH-000015,-0.14810106814327187
ACH-000017,-0.2775251530998992
ACH-000018,-0.2214406548336747
ACH-000019,-0.15341552508664705
ACH-000021,-0.2303625288039692
ACH-000022,-0.2351058798518589
ACH-000025,-0.2808689213055537
ACH-000028,-0.14515254313795878
ACH-000030,-0.2732067980400595
ACH-000035,-0.3146684726791951
ACH-000036,-0.6546289699914598
ACH-000037,-0.21109549806436564
ACH-000039,-0.19419923422274693
ACH-000040,-0.30907450224757954
ACH-000041,0.041632350423637665
ACH-000042,-0.22441471152223186
ACH-000045,-0.1872220870998932
ACH-000047,-0.10571781922838833
ACH-000052,-0.1436171656723494
ACH-000053,-0.2198440864297096
ACH-000054,-0.11730887310492505
ACH-000055,-0.1726004395197814
ACH-000060,-0.24311723422008785
ACH-000067,-0.22422167404864696
ACH-000070,-0.2762009656403709
ACH-000075,-0.6555441903499628
ACH-000078,-0.08409576361237185
ACH-000082,-0.20420131371634329
ACH-000085,-0.2484023666384591
ACH-000086,-0.4378625178681485
ACH-000087,-0.13898181586570493
ACH-000092,-0.21791111208604025
ACH-000095,-0.2167828167420157
ACH-000097,-0.06564315804761545
ACH-000098,-0.2557969941941501
ACH-000099,-0.15752745595473489
ACH-000108,-0.2624337248353298
ACH-000113,-0.2775462911439642
ACH-000116,-0.2221728425990732
ACH-000118,-0.3970058251560518
ACH-000120,-0.3215911377327702
ACH-000123,-0.20909147744184045
ACH-000127,-0.2156031952584689
ACH-000128,-0.3929127025148389
ACH-000132,-0.2813623584068144
ACH-000133,-0.27428914489497075
ACH-000137,-0.4009617848484153
ACH-000138,-0.2901916898348433
ACH-000142,-0.3115444368678728
ACH-000143,-0.3644705799269485
ACH-000146,-0.2085525745652352
ACH-000148,-0.2967357166684075
ACH-000150,-0.38742316545523264
ACH-000152,-0.20633469846199712
ACH-000153,-0.4400279301056964
ACH-000159,-0.1861511578123139
ACH-000160,-0.2993605426637111
ACH-000163,-0.17910765951799626
ACH-000167,-0.35795205272471114
ACH-000168,-0.20083600970682214
ACH-000169,-0.10827857851524617
ACH-000178,-0.21533495532835825
ACH-000183,-0.6560084622530478
ACH-000188,-0.3623470746576532
ACH-000189,-0.18687983356810292
ACH-000190,-0.21585317990108124
ACH-000198,-0.31120796989967153
ACH-000203,-0.4733368014553529
ACH-000204,-0.34060610906031064
ACH-000206,-0.09192666531794733
ACH-000207,-0.4712364618852181
ACH-000208,-0.2639266039057834
ACH-000210,0.051042187858758144
ACH-000211,-0.6040353385555992
ACH-000215,-0.342600142687923
ACH-000221,-0.08525820200808251
ACH-000222,-0.2519438473765297
ACH-000223,-0.15888697901360369
ACH-000226,-0.3234841426324308
ACH-000227,-0.22003995102900176
ACH-000228,-0.3248390675580527
ACH-000231,-0.2688431438186509
ACH-000232,-0.10367523491717533
ACH-000233,-0.25123722034864937
ACH-000234,-0.2340889044911476
ACH-000235,-0.23043625504120235
ACH-000237,-0.2816953924496107
ACH-000238,-0.18807756352874067
ACH-000242,-0.26996462264398297
