,SMIM5 (643008)
ACH-000004,-0.2652720669693083
ACH-000005,-0.4751129815215291
ACH-000007,-0.2079533410696129
ACH-000009,-0.313083078275029
ACH-000011,-0.16793110299341332
ACH-000012,-0.21707136054673493
ACH-000013,-0.03406365969151618
ACH-000014,-0.06535376426321025
ACH-000015,-0.2461925379857676
ACH-000017,-0.20192324842215786
ACH-000018,-0.21006880377112
ACH-000019,-0.6957318019684483
ACH-000021,-0.06587340738093668
ACH-000022,-0.17343870799271469
ACH-000025,-0.06525005698890245
ACH-000028,-0.3089095345446332
ACH-000030,-0.07787120752726523
ACH-000035,-0.08573709410346869
ACH-000036,-0.061436339206995226
ACH-000037,-0.09974174355661818
ACH-000039,-0.013893016590913524
ACH-000040,-0.1050480654584794
ACH-000041,-0.0820543661186494
ACH-000042,-0.07829381636727023
ACH-000045,-0.1705489863412436
ACH-000047,-0.1366002285334935
ACH-000052,-0.09801192913799102
ACH-000053,-0.17705577617292595
ACH-000054,-0.13571743332910718
ACH-000055,-0.2580369560874749
ACH-000060,-0.2206276822784392
ACH-000067,-0.12389467956879678
ACH-000070,0.037667060885822994
ACH-000075,-0.3381843644398185
ACH-000078,-0.20110021998335825
ACH-000082,-0.20572781327404666
ACH-000085,-0.059320149486541025
ACH-000086,-0.2026387501557306
ACH-000087,-0.1965165877131253
ACH-000092,-0.16780780168119433
ACH-000095,-0.09294603221373088
ACH-000097,-0.16473943532510554
ACH-000098,-0.14687771772591598
ACH-000099,-0.3409736079300743
ACH-000108,-0.10219740190140204
ACH-000113,-0.2135561335132841
ACH-000116,-0.09033571408405902
ACH-000118,-0.16699960724730614
ACH-000120,-0.3495538283287308
ACH-000123,-0.16920081979653384
ACH-000127,-0.21675145388018824
ACH-000128,-0.17255325959028436
ACH-000132,-0.21535806627116674
ACH-000133,-0.056181247294833085
ACH-000137,-0.11474517527654834
ACH-000138,-0.11649905076599652
ACH-000142,-0.2333893380382727
ACH-000143,-0.30070299326746525
ACH-000146,-0.19151475836735785
ACH-000148,-0.11107428590296027
ACH-000150,-0.1840824938948905
ACH-000152,-0.08596493953105573
ACH-000153,-0.026658541408948255
ACH-000159,-0.0922311789939796
ACH-000160,-0.041186500642566334
ACH-000163,-0.11767411264600484
ACH-000167,-0.10960269032060464
ACH-000168,-0.5049003996954058
ACH-000169,-0.2259458184717517
ACH-000178,-0.13817148431697893
ACH-000183,-0.12509892535137354
ACH-000188,-0.2023379715306276
ACH-000189,-0.11098152505553384
ACH-000190,-0.06640812747998373
ACH-000198,-0.2620367927555324
ACH-000203,-0.2895604967931839
ACH-000204,-0.3429099135068738
ACH-000206,-0.17345290727545026
ACH-000207,-0.14255094039883953
ACH-000208,0.05565905349172178
ACH-000210,-0.07547729857546183
ACH-000211,-0.20348124796354414
ACH-000215,-0.14987284592813638
ACH-000221,-0.06847836806751831
ACH-000222,-0.1204364884114455
ACH-000223,-0.08681468392122044
ACH-000226,-0.13409018281975998
ACH-000227,-0.027314904080483364
ACH-000228,-0.15556729670096495
ACH-000231,-0.16231422028203005
ACH-000232,-0.03459591705668726
ACH-000233,-0.04712822792230332
ACH-000234,-0.10876810768410074
ACH-000235,-0.12875361655843115
ACH-000237,-0.12160388517041178
ACH-000238,-0.3477201698797463
ACH-000242,-0.015248133839775056
ACH-000243,-0.1966422860421424
ACH-000244,-0.22060148326837672
ACH-000246,-0.05944563411593669
ACH-000248,-0.2473171090505434
ACH-000250,-0.23159923665053486
ACH-000251,-0.17686333078841562
ACH-000252,-0.05345440935842967
ACH-000253,-0.29510393283792274
ACH-000255,-0.20992570433021585
ACH-000256,-0.13432955816038336
ACH-000257,-0.15467792143450965
ACH-000258,-0.07950630111619822
ACH-000259,-0.1751532405588644
ACH-000260,-0.20952335522494864
ACH-000261,-0.17736527548011427
ACH-000262,-0.050068606657745984
ACH-000263,-0.3444199714012606
ACH-000264,-0.2410192314662453
ACH-000265,-0.10012154661066848
ACH-000266,-0.14345575365478966
ACH-000272,-0.11777239806190695
ACH-000274,-0.1659545203044061
ACH-000277,-0.1975879650114128
ACH-000278,-0.11205940118493347
ACH-000279,-0.20646387805706376
ACH-000280,-0.27704568582031225
ACH-000281,-0.0033517608972231626
ACH-000288,-0.18142506278570975
ACH-000291,-0.15327978974359865
ACH-000293,-0.01868470770892599
ACH-000294,-0.07782482299196933
ACH-000295,-0.2372652620967321
ACH-000296,-0.35641196856134943
ACH-000302,-0.14262411571320524
ACH-000304,0.008882211285320261
ACH-000307,-0.06755428882237015
ACH-000308,-0.1511628785237707
ACH-000310,-0.3256969069165516
ACH-000311,-0.09742401326906552
ACH-000312,-0.20329947993743072
ACH-000315,-0.0456573689663116
ACH-000316,-0.2129604327040938
ACH-000317,0.02257505728401074
ACH-000318,-0.06871620428832
ACH-000319,-0.2674213209745278
ACH-000320,-0.22506967426373475
ACH-000322,-0.11483499462048713
ACH-000323,-0.17691074447037192
ACH-000324,-0.07365850795548197
ACH-000329,-0.2260064313371929
ACH-000330,-0.008113999050256532
ACH-000331,-0.07562598050461815
ACH-000332,-0.06817040039823698
ACH-000334,-0.12479735331608648
ACH-000335,-0.11125176792950983
