,SNRPB (6628)
ACH-000004,-1.7780889442751018
ACH-000005,-1.7602005095363524
ACH-000007,-1.4399142622484429
ACH-000009,-1.2918438260079428
ACH-000011,-1.3653875155775663
ACH-000012,-1.2807638165201116
ACH-000013,-1.71800535568663
ACH-000014,-1.6841914986297326
ACH-000015,-1.462928182042214
ACH-000017,-1.3691461260029043
ACH-000018,-1.1681284733643442
ACH-000019,-1.0530534324843168
ACH-000021,-1.266087169114687
ACH-000022,-1.4514534501633305
ACH-000025,-1.4564569632345488
ACH-000028,-1.4017583475070785
ACH-000030,-1.475120332056042
ACH-000035,-1.474098579095709
ACH-000036,-1.0990144598509572
ACH-000037,-1.0260318715037644
ACH-000039,-1.5034857635084464
ACH-000040,-1.2702497861680686
ACH-000041,-1.4118732028626002
ACH-000042,-1.251427304186418
ACH-000045,-1.5011619847263746
ACH-000047,-1.3463935053747005
ACH-000052,-1.0684843366287875
ACH-000053,-1.1948576441068297
ACH-000054,-1.2761866510760334
ACH-000055,-1.357236219694688
ACH-000060,-1.4080537326959015
ACH-000067,-1.4326526628108804
ACH-000070,-1.4637496680357127
ACH-000075,-1.4507011948675816
ACH-000078,-1.4876890470932418
ACH-000082,-1.375352899422758
ACH-000085,-1.227204439364644
ACH-000086,-1.3758929318444495
ACH-000087,-1.3540823599579292
ACH-000092,-1.407273258907504
ACH-000095,-1.4217992729132936
ACH-000097,-1.615816770535088
ACH-000098,-1.2239761095410482
ACH-000099,-1.1015295363009758
ACH-000108,-1.4396939173294716
ACH-000113,-1.294808768572172
ACH-000116,-1.0097226000109354
ACH-000118,-1.3508316693113165
ACH-000120,-1.4035530773950609
ACH-000123,-1.4939605289200333
ACH-000127,-1.3031601675217352
ACH-000128,-1.5372715017828629
ACH-000132,-1.2100231896173248
ACH-000133,-1.4130400950584932
ACH-000137,-1.4183149710093066
ACH-000138,-1.3219178093822006
ACH-000142,-1.3099775690789834
ACH-000143,-1.5991286399467743
ACH-000146,-1.8317630964210203
ACH-000148,-1.6244172073388317
ACH-000150,-1.4929150733993808
ACH-000152,-1.2193711933167666
ACH-000153,-1.1547022983885782
ACH-000159,-1.1300588545700292
ACH-000160,-1.2699775185805777
ACH-000163,-1.456092162803759
ACH-000167,-2.3463119041473357
ACH-000168,-1.4219942055009012
ACH-000169,-1.4944151630710285
ACH-000178,-1.363613553489441
ACH-000183,-1.3077837666381975
ACH-000188,-1.4107220648288097
ACH-000189,-1.0909791255799357
ACH-000190,-1.0608721337540803
ACH-000198,-1.420758106947814
ACH-000203,-1.5736843400788283
ACH-000204,-1.0976732826710585
ACH-000206,-1.8667818446035505
ACH-000207,-1.8639422534713057
ACH-000208,-1.2827975893110677
ACH-000210,-1.4686125254519071
ACH-000211,-1.1939398825125584
ACH-000215,-1.3640182807171042
ACH-000221,-1.552497217087179
ACH-000222,-1.2406125268881407
ACH-000223,-1.2971870472664526
ACH-000226,-1.3039916289477167
ACH-000227,-1.5554893788279325
ACH-000228,-1.571315623902263
ACH-000231,-1.4135330522091831
ACH-000232,-1.541108831505296
ACH-000233,-1.2487872429803004
ACH-000234,-1.396693110280255
ACH-000235,-1.3291737831149029
ACH-000237,-1.2677831578786645
ACH-000238,-1.2793839078622822
ACH-000242,-0.9710041065562496
ACH-000243,-1.3501368182971665
ACH-000244,-1.2184961045482865
ACH-000246,-1.333893461487495
ACH-000248,-1.1089441921816576
ACH-000250,-1.3903843102832476
ACH-000251,-1.4419735099424316
ACH-000252,-1.152189516202852
ACH-000253,-1.280731081715001
ACH-000255,-1.2726531684786413
ACH-000256,-1.1742530818504742
ACH-000257,-1.2641367618740171
ACH-000258,-1.2532148283300093
ACH-000259,-1.5079772304192451
ACH-000260,-1.3957244928187111
ACH-000261,-1.2596135389425618
ACH-000262,-1.0764294755311474
ACH-000263,-0.9744101953465772
ACH-000264,-1.3564226091751352
ACH-000265,-1.5246050194891416
ACH-000266,-1.3538642026035903
ACH-000272,-1.243332251885438
ACH-000274,-1.3712741613682158
ACH-000277,-1.5857956166830398
ACH-000278,-1.440751293658458
ACH-000279,-1.3533468902209096
ACH-000280,-1.5556309996462152
ACH-000281,-1.1279338233998757
ACH-000288,-1.3542160801173175
ACH-000291,-1.2582622664703762
ACH-000293,-1.5430963653312373
ACH-000294,-1.6040897640035796
ACH-000295,-1.334463561169922
ACH-000296,-1.3552040866680084
ACH-000302,-1.5398603811648273
ACH-000304,-1.453870893717251
ACH-000307,-1.3240330597343255
ACH-000308,-1.4502265617018242
ACH-000310,-1.4142251335880809
ACH-000311,-1.3424491031125223
ACH-000312,-1.2512768509316543
ACH-000315,-1.4602252068149613
ACH-000316,-1.4665601242005883
ACH-000317,-1.5649016589461082
ACH-000318,-1.7434827119665943
ACH-000319,-1.1526243320705578
ACH-000320,-1.313731191025697
ACH-000322,-1.3129485511581478
ACH-000323,-1.333820524051411
ACH-000324,-1.5047379395132567
ACH-000329,-1.3493244928148822
ACH-000330,-1.4365952325702556
ACH-000331,-1.3245642741405517
ACH-000332,-1.31777569761651
ACH-000334,-1.7047700452817076
ACH-000335,-1.4147626198713623
ACH-000336,-1.0200532817388166
ACH-000337,-1.4327145480219527
ACH-000338,-1.058952521266826
ACH-000339,-1.2840440778510362
ACH-000341,-1.7270668087582768
ACH-000348,-1.5714099065857214
ACH-000350,-1.50144777097045
ACH-000352,-1.6673353786708045
ACH-000356,-1.4241778392176232
ACH-000361,-1.1623676111348415
ACH-000362,-1.4742879399886608
ACH-000363,-1.309288903001045
ACH-000364,-1.439951327465811
ACH-000365,-1.5444166706096358
ACH-000366,-1.3400917657972964
ACH-000368,-1.2404637980527953
