,DMPK (1760)
ACH-000004,-0.1241327938114124
ACH-000005,-0.1873591738761948
ACH-000007,0.07873856157466583
ACH-000009,0.06037152312707656
ACH-000011,0.1310759846331354
ACH-000012,-0.17441969066157442
ACH-000013,-0.0780807158796953
ACH-000014,0.031351855433421734
ACH-000015,-0.1647098493584254
ACH-000017,0.09225644420414056
ACH-000018,-0.07279880665492984
ACH-000019,-0.07232874814886002
ACH-000021,-0.1239078708436263
ACH-000022,-0.001878544154981897
ACH-000025,0.20302364903239126
ACH-000028,0.02506916452291059
ACH-000030,-0.109965748227739
ACH-000035,-0.0069445903070073966
ACH-000036,-0.017644997190210843
ACH-000037,0.12453220779772907
ACH-000039,-0.05866808790367306
ACH-000040,-0.046434832733818286
ACH-000041,0.03580928742097072
ACH-000042,0.054601823478441835
ACH-000045,-0.13131249614183174
ACH-000047,0.01440152258662651
ACH-000052,-0.060774428135998815
ACH-000053,-0.2965713906342437
ACH-000054,-0.07146183080588119
ACH-000055,-0.009272766473489605
ACH-000060,0.16660827509961684
ACH-000067,0.05253051574566378
ACH-000070,-0.1061720620664335
ACH-000075,-0.0052831496624739065
ACH-000078,-0.0578185461720287
ACH-000082,-0.02583715845634581
ACH-000085,-0.15597663488446778
ACH-000086,-0.1290051877485942
ACH-000087,-0.04085060253894185
ACH-000092,-0.006657201782083522
ACH-000095,0.0706536049278622
ACH-000097,0.005586361267266118
ACH-000098,-0.06402029625990578
ACH-000099,0.01965509392442953
ACH-000108,-0.12826994779878956
ACH-000113,-0.1259753761697316
ACH-000116,-0.003438893330440805
ACH-000118,-0.0072163228521957765
ACH-000120,0.015847383966775902
ACH-000123,-0.11569647761807958
ACH-000127,-0.002912120252870959
ACH-000128,0.14482396007791448
ACH-000132,-0.032355105185329434
ACH-000133,-0.0235465370326474
ACH-000137,-0.2015363953790149
ACH-000138,-0.027315675220195058
ACH-000142,0.03378312589567399
ACH-000143,0.18307244817455265
ACH-000146,-0.1283082110267338
ACH-000148,-0.05256999958589049
ACH-000150,-0.04193923160055511
ACH-000152,-0.1287372867135989
ACH-000153,0.12573013050977627
ACH-000159,0.021048088667450383
ACH-000160,0.0024578076692187657
ACH-000163,-0.014849106110288118
