,IL11RA (3590)
ACH-000316,-0.16406751087433086
ACH-000317,0.005792421533663117
ACH-000318,-0.027923449343921016
ACH-000319,-0.018995109662356832
ACH-000320,-0.12141575508154262
ACH-000322,-0.026912917353202108
ACH-000323,0.0015793718739661325
ACH-000324,-0.034574304792798695
ACH-000329,-0.013469055319364726
ACH-000330,0.02880915037758495
ACH-000331,-0.17601003242268978
ACH-000332,-0.08399091665872176
ACH-000334,0.14771224156629795
ACH-000335,-0.126536792461403
ACH-000336,-0.14253087944561535
ACH-000337,-0.2220671631740278
ACH-000338,0.16197386088690294
ACH-000339,-0.06028961249878745
ACH-000341,-0.3408437624709416
ACH-000348,-0.04385949045685278
ACH-000350,-0.005624726927394907
ACH-000352,0.014866541581084063
ACH-000356,-0.246191775065544
ACH-000361,-0.12115672928872047
ACH-000362,0.02587891497270986
ACH-000363,-0.016487818852509745
ACH-000364,-0.12176626858212795
ACH-000365,-0.2784714072339505
ACH-000366,-0.08691896678458719
ACH-000368,-0.012720462428588129
ACH-000374,-0.08988407275900183
ACH-000375,-0.12426876907805855
ACH-000376,-0.16792894955233575
ACH-000381,0.032385016573826954
ACH-000383,-0.007278592161406706
ACH-000387,-0.11456902867296755
ACH-000389,-0.11470535810740215
ACH-000390,-0.08478216511938723
ACH-000393,-0.07500990705444033
ACH-000395,-0.1431813882702922
ACH-000396,-0.2727481956632752
ACH-000397,-0.13425021780982038
ACH-000401,-0.15568666854215424
ACH-000402,-0.1513765995515941
ACH-000403,-0.06695674659417708
ACH-000404,0.12738328036662305
ACH-000406,-0.01894842925374109
ACH-000407,0.08028440281149271
ACH-000408,-0.3186022787099164
ACH-000410,0.01478248104560951
ACH-000411,-0.07059755735862328
ACH-000414,-0.12816808237029492
ACH-000415,-3.158132722865169e-05
ACH-000416,-0.092270605304047
ACH-000420,0.047045922917124165
ACH-000421,-0.11266880639573693
ACH-000424,-0.15106133508558015
ACH-000425,0.018815428776781072
ACH-000426,-0.18804305009577316
ACH-000427,-0.04417864993126699
ACH-000433,-0.19042624715869064
ACH-000435,0.026769995617578948
ACH-000436,-0.11940796256733735
ACH-000444,-0.022678028023495958
ACH-000445,-0.06185577254539215
ACH-000448,0.019094665459619308
