,HIRA (7290)
ACH-000004,-0.4781034597896573
ACH-000005,-0.7911570349203492
ACH-000007,-0.7691488418014882
ACH-000009,-0.6150279054604569
ACH-000011,-0.7561534376272326
ACH-000012,-0.8257032681626726
ACH-000013,-0.4704151036805199
ACH-000014,-0.8725188470814228
ACH-000015,-1.079829741289905
ACH-000017,-0.5044988179235658
ACH-000018,-1.2494503337186862
ACH-000019,-0.8838938864903941
ACH-000021,-0.25198200831456324
ACH-000022,-0.6283369536455722
ACH-000025,-0.7801753967028704
ACH-000028,-0.877520964646614
ACH-000030,-0.7810226183570504
ACH-000035,-1.1919237373960705
ACH-000036,-0.441449760992112
ACH-000037,-0.5560594696520418
ACH-000039,-0.5059010396879966
ACH-000040,-1.0536417471244466
ACH-000041,-0.5531750664949686
ACH-000042,-0.5827771956508526
ACH-000045,-0.6002682303634929
ACH-000047,-0.8837405567600509
ACH-000052,-0.6556904346902419
ACH-000053,-0.5534948615890761
ACH-000054,-0.5822501635412213
ACH-000055,-0.6377370195473016
ACH-000060,-0.9932974774338934
ACH-000067,-0.991658526625566
ACH-000070,-0.7445516488447865
ACH-000075,-0.5206059632694855
ACH-000078,-0.7854381669276651
ACH-000082,-0.8640647955691744
ACH-000085,-0.7635010421287902
ACH-000086,-0.8181822828547439
ACH-000087,-0.6576674625506703
ACH-000092,-0.4566627885924878
ACH-000095,-0.4640760465969962
ACH-000097,-0.8385758707161393
ACH-000098,-0.8058310050043972
ACH-000099,-0.8219225019157415
ACH-000108,-0.5045858648356074
ACH-000113,-0.7696016399022345
ACH-000116,-0.6954619841327169
ACH-000118,-0.6621903552591681
ACH-000120,-1.0621799938051737
ACH-000123,-1.0010463274977994
ACH-000127,-0.4187054338874208
ACH-000128,-0.913223741538596
ACH-000132,-0.4116375400133044
ACH-000133,-0.8666684351127999
ACH-000137,-0.6839527781584389
ACH-000138,-0.6487956816861257
ACH-000142,-0.5166547582560532
ACH-000143,-0.5497398792678289
ACH-000146,-0.9037158757401368
ACH-000148,-1.0711568287953963
ACH-000150,-0.7918309276946038
ACH-000152,-0.5609472194731897
ACH-000153,-0.8758936544263368
ACH-000159,-0.8774076816239921
ACH-000160,-0.2536803459797696
ACH-000163,-0.7519927278810054
ACH-000167,-0.009885330961576632
ACH-000168,-0.43898545548563217
ACH-000169,-0.4836809002378492
ACH-000178,-1.0688139728079822
ACH-000183,-0.9573968821446428
ACH-000188,-0.6965385517792231
ACH-000189,-0.5558705231561011
ACH-000190,-0.3250216378324145
ACH-000198,-0.8902405805718995
ACH-000203,-0.491200866939785
ACH-000204,-0.767616122802722
ACH-000206,-0.4981373247014516
ACH-000207,-0.7614996852833925
ACH-000208,-0.7074797114279671
ACH-000210,-0.8463270709676133
ACH-000211,-0.7761501001659372
ACH-000215,-0.838125584988951
ACH-000221,-0.9723701055592
ACH-000222,-0.647296022858702
ACH-000223,-0.8218601694404882
ACH-000226,-0.5539706675303113
ACH-000227,-0.7248222505093986
ACH-000228,-1.005780145261909
ACH-000231,-0.6551667530780456
ACH-000232,-1.0924871939366303
ACH-000233,-0.14870948189685915
ACH-000234,-0.5873252362516287
ACH-000235,-0.6612971724863664
ACH-000237,-0.8640561653318386
ACH-000238,-0.6524685262835396
ACH-000242,-0.6967335112999218
ACH-000243,-0.9700060985580009
ACH-000244,-0.4762077237223163
ACH-000246,-0.22255492584523
ACH-000248,-0.6454866977446589
ACH-000250,-0.8850553269450663
ACH-000251,-0.9644274464932464
ACH-000252,-0.22555316795375546
ACH-000253,-0.8933846556455585
ACH-000255,-0.32669431251288644
ACH-000256,-0.7284119905976538
ACH-000257,-0.6201355045722672
ACH-000258,-1.0193450736160656
ACH-000259,-0.8805698836297078
ACH-000260,-0.9507718431442604
ACH-000261,-0.7670932536219716
ACH-000262,-0.9126307413977768
ACH-000263,-0.29120258940779475
ACH-000264,-0.8314484766959115
ACH-000265,-0.914040453881236
ACH-000266,-0.772586480485888
ACH-000272,-0.4046284879373735
ACH-000274,-0.5980266254170458
ACH-000277,-0.8604299269235011
ACH-000278,-0.8072172122293018
ACH-000279,-0.6789175472740628
ACH-000280,-0.6035017794413851
ACH-000281,-0.8875704992639769
ACH-000288,-0.5136198192226907
ACH-000291,-0.4311646867875064
ACH-000293,-0.9943110812193062
ACH-000294,-0.5642039048249985
ACH-000295,-0.5685039874250971
ACH-000296,-1.1199920930271159
ACH-000302,-0.8790814543243752
ACH-000304,-0.8441291968673071
ACH-000307,-0.5681914667474827
ACH-000308,-0.6811250617599741
ACH-000310,-0.374450487562752
ACH-000311,-0.5263690729518417
ACH-000312,-0.7077086307538538
ACH-000315,-1.1665922585685748
ACH-000316,-1.107528150583372
ACH-000317,-0.4614760720807149
ACH-000318,-0.5965316793045244
ACH-000319,-0.9669101732660066
ACH-000320,-0.3875511422916486
ACH-000322,-0.838820779077373
ACH-000323,-0.9399705465999946
ACH-000324,-0.815607011622745
ACH-000329,-0.4953817092180562
ACH-000330,-0.9879356201299488
ACH-000331,-0.8318011740030273
ACH-000332,-0.572327428764279
ACH-000334,-0.873326118591865
ACH-000335,-0.6994118042499026
ACH-000336,-0.7809663519163994
ACH-000337,-0.5647849872185252
ACH-000338,-0.9548263597891541
ACH-000339,-0.4423692504501666
ACH-000341,-0.4429412696015811
ACH-000348,-0.5323377426479604
ACH-000350,-0.6416415321197781
ACH-000352,-1.2945719034046188
ACH-000356,-0.9814602153375428
ACH-000361,-0.7491122680811834
ACH-000362,-0.8631993477609307
ACH-000363,-0.6522239998862419
ACH-000364,-1.05975606137113
ACH-000365,-0.5066688808469482
ACH-000366,-0.6088916527041904
ACH-000368,-0.9192294248820841
ACH-000374,-0.9026466523176676
ACH-000375,-0.7987233934642018
ACH-000376,-0.7625476166366385
ACH-000381,-0.5656144340534861
ACH-000383,-0.6599402905058153
