,NFKBIE (4794)
ACH-000004,-0.3322278049475082
ACH-000005,-0.5258913017372021
ACH-000007,-0.3360035413742298
ACH-000009,-0.4364795830239364
ACH-000011,-0.4255954718859839
ACH-000012,-0.4343147989994744
ACH-000013,-0.4613774478812654
ACH-000014,-0.21599762754169816
ACH-000015,-0.2928337161396015
ACH-000017,-0.6231925975322469
ACH-000018,-0.4995774417867501
ACH-000019,-0.39410568326552814
ACH-000021,-0.5165434361757144
ACH-000022,-0.487414344177908
ACH-000025,-0.5563120730684712
ACH-000028,-0.37532794431817984
ACH-000030,-0.3051018674538934
ACH-000035,-0.3826355115866679
ACH-000036,-0.6311264876739194
ACH-000037,-0.4579707958595709
ACH-000039,-0.3664504713424929
ACH-000040,-0.5097996866342565
ACH-000041,-0.2963500761979861
ACH-000042,-0.35618945104456023
ACH-000045,-0.5307967126616469
ACH-000047,-0.5035631168148763
ACH-000052,-0.4010647811317728
ACH-000053,-0.3920468377024523
ACH-000054,-0.4839191363253916
ACH-000055,-0.5858033474691792
ACH-000060,-0.3091298695188281
ACH-000067,-0.6698959622745131
ACH-000070,-0.4930716061189212
ACH-000075,-0.07957423768763418
ACH-000078,-0.5617129346813816
ACH-000082,-0.5420442505526487
ACH-000085,-0.5105439041441153
ACH-000086,-0.5395296115203899
ACH-000087,-0.43813615530786104
ACH-000092,-0.5159526751651263
ACH-000095,-0.3937220185940237
ACH-000097,-0.576797996732344
ACH-000098,-0.2776811459278053
ACH-000099,-0.5166808745277183
ACH-000108,-0.3812882789181412
ACH-000113,-0.2806858312329575
ACH-000116,-0.42407461510230376
ACH-000118,-0.4121780974106453
ACH-000120,-0.4639463203123706
ACH-000123,-0.3504516121646951
ACH-000127,-0.4127626733948184
ACH-000128,-0.5744114729876285
ACH-000132,-0.3389979491279233
ACH-000133,-0.4121097898033101
ACH-000137,-0.449753175879802
ACH-000138,-0.2876637704298732
ACH-000142,-0.5115801956864559
ACH-000143,-0.12515056999056906
