,URM1 (81605)
ACH-000004,-0.7497708232743151
ACH-000005,-0.7768671082250922
ACH-000007,-0.6700685536050518
ACH-000009,-0.8068020088254526
ACH-000011,-0.8523160163324861
ACH-000012,-0.7827781888235547
ACH-000013,-0.828633817874977
ACH-000014,-0.9419045415243921
ACH-000015,-0.7810548124302307
ACH-000017,-0.8810358768712951
ACH-000018,-0.8566028420812061
ACH-000019,-0.556776109707105
ACH-000021,-0.8916666688940429
ACH-000022,-0.5862655319237936
ACH-000025,-0.9780461632359331
ACH-000028,-0.7401811735974144
ACH-000030,-0.9692200964972316
ACH-000035,-0.5920530673154483
ACH-000036,-0.9068676287500248
ACH-000037,-0.5031934947789263
ACH-000039,-0.6413870523670056
ACH-000040,-0.8498938077379805
ACH-000041,-1.0632828028674075
ACH-000042,-0.7439213033471822
ACH-000045,-0.7837017834733159
ACH-000047,-0.5617235678851866
ACH-000052,-0.6236054621324847
ACH-000053,-0.7797505847463215
ACH-000054,-0.7472169577666493
ACH-000055,-0.8660108826186097
ACH-000060,-0.7028824035333332
ACH-000067,-0.6562666411274755
ACH-000070,-0.7025547320748508
ACH-000075,-0.8389276835969541
ACH-000078,-0.5101031683289526
ACH-000082,-0.6163939747531026
ACH-000085,-0.6732055239403673
ACH-000086,-1.0574856317052503
ACH-000087,-1.105622775254474
ACH-000092,-0.9147346264420959
ACH-000095,-0.8926200326410221
ACH-000097,-0.4229609558135121
ACH-000098,-0.8594511557872778
ACH-000099,-0.678972681216755
ACH-000108,-0.8981552548215034
ACH-000113,-0.5570504341723141
ACH-000116,-0.6206555538695369
ACH-000118,-0.4878374815789809
ACH-000120,-0.8785603408907028
ACH-000123,-0.7765711078365333
ACH-000127,-0.8829459756510752
ACH-000128,-0.6139442039091964
ACH-000132,-1.1514187077178897
ACH-000133,-0.9402654911110749
ACH-000137,-0.6915116056725
ACH-000138,-0.8114053385039419
ACH-000142,-0.8207410321398237
ACH-000143,-0.6885825725394863
ACH-000146,-0.3924066506841667
ACH-000148,-0.7721170616696179
ACH-000150,-0.5992798873742219
ACH-000152,-0.5355591296274065
ACH-000153,-0.6969584604872251
ACH-000159,-0.7394028515611087
ACH-000160,-0.6382239506379649
ACH-000163,-0.9778761222939624
ACH-000167,-0.6569902302094874
ACH-000168,-0.9244406214461088
ACH-000169,-0.7564830843340166
ACH-000178,-0.8116610961363269
ACH-000183,-0.91965685712769
ACH-000188,-0.6501937754017548
ACH-000189,-0.9594464159665116
ACH-000190,-0.9231411394425146
ACH-000198,-0.7990286236513381
ACH-000203,-1.1536106691638486
ACH-000204,-0.6250152007887708
ACH-000206,-0.6640117019035081
ACH-000207,-0.6874038777392503
ACH-000208,-0.5773345543306908
ACH-000210,-0.5592036219520239
ACH-000211,-0.9344574041487084
ACH-000215,-0.9552932430774628
ACH-000221,-0.8362606593854979
ACH-000222,-0.7726008704005828
ACH-000223,-0.5068962057523678
ACH-000226,-0.4804661507568944
ACH-000227,-0.6509370950730804
ACH-000228,-0.9515662100380148
ACH-000231,-0.8651741863423196
ACH-000232,-0.6702962868390702
ACH-000233,-0.6345756948545617
ACH-000234,-0.8400662996584694
ACH-000235,-0.6498768127434865
ACH-000237,-0.6864995462575976
ACH-000238,-0.8650243904032829
ACH-000242,-0.8970685697681526
ACH-000243,-0.7518683316266641
ACH-000244,-0.7100979474092989
ACH-000246,-0.7787354581588825
ACH-000248,-1.0064937457756933
ACH-000250,-0.7511938517952215
ACH-000251,-0.7860284211790088
ACH-000252,-0.9894544361860858
ACH-000253,-0.6009534161216136
ACH-000255,-0.9090034289198262
ACH-000256,-0.702496040832662
ACH-000257,-0.7126185270206107
ACH-000258,-0.7133970035611403
ACH-000259,-0.9294949727272768
ACH-000260,-1.027884271453943
ACH-000261,-0.6683522328292292
ACH-000262,-0.8882444161225728
ACH-000263,-0.8077033674415458
ACH-000264,-0.9600143934321852
ACH-000265,-0.8604719264682549
ACH-000266,-0.6163165931150317
ACH-000272,-0.6774200646414487
ACH-000274,-0.941122586728072
ACH-000277,-0.9371480535433964
ACH-000278,-0.7155616838561089
ACH-000279,-0.9690511056666972
ACH-000280,-0.8329490865207071
ACH-000281,-0.8859495637876549
ACH-000288,-0.9724720748533014
ACH-000291,-0.6023279224464158
ACH-000293,-0.9603422015330332
ACH-000294,-0.7589974460312142
ACH-000295,-0.7579672924604979
ACH-000296,-0.6933599149133739
ACH-000302,-0.4176524529935432
ACH-000304,-0.5648374216133482
ACH-000307,-1.0117828551124124
ACH-000308,-0.71913837833938
ACH-000310,-0.6225736944152187
ACH-000311,-0.7692123556847832
ACH-000312,-0.7603753486319159
ACH-000315,-0.937700097882292
ACH-000316,-0.9171926499380672
ACH-000317,-0.8152615254605367
ACH-000318,-0.99915845761776
ACH-000319,-0.5993194886688428
ACH-000320,-0.7227002508844478
ACH-000322,-0.5782514528209424
ACH-000323,-0.9909596010351522
ACH-000324,-0.860079768478187
ACH-000329,-0.4470262975114752
ACH-000330,-0.7954593821679633
ACH-000331,-0.9849024812263824
ACH-000332,-1.0634156671627155
