,POLR2J (5439)
ACH-000004,-1.6373526261650395
ACH-000005,-1.5842364393735555
ACH-000007,-1.3563171952072122
ACH-000009,-1.5762481057390103
ACH-000011,-1.5423647626009704
ACH-000012,-1.2776547400399698
ACH-000013,-1.4290330418648851
ACH-000014,-1.5274393025446908
ACH-000015,-1.4269792466493032
ACH-000017,-1.003334538833736
ACH-000018,-1.2767448224213
ACH-000019,-1.1541797782315304
ACH-000021,-1.557180089566734
ACH-000022,-1.6066240955208118
ACH-000025,-1.3836831587828728
ACH-000028,-1.3048862068317448
ACH-000030,-1.4495565344475063
ACH-000035,-1.418511373323864
ACH-000036,-1.25173396794349
ACH-000037,-1.3727969135076878
ACH-000039,-1.5417637510761666
ACH-000040,-1.1378363520575483
ACH-000041,-1.773708574626426
ACH-000042,-1.4506738039880889
ACH-000045,-1.4291217285744502
ACH-000047,-1.4967258217913941
ACH-000052,-1.3359315221822718
ACH-000053,-1.4439608805662685
ACH-000054,-1.3942866847999829
ACH-000055,-1.6304419600170998
ACH-000060,-1.4520629930150313
ACH-000067,-1.2786646256310732
ACH-000070,-1.5515919127973896
ACH-000075,-1.2871196043737874
ACH-000078,-1.3659671689261312
ACH-000082,-1.6653737464842278
ACH-000085,-1.6342040431883245
ACH-000086,-1.3140677486312549
ACH-000087,-1.826735149007643
ACH-000092,-1.2215956707918003
ACH-000095,-1.3019209994098353
ACH-000097,-1.579333738344585
ACH-000098,-1.2321606525702495
ACH-000099,-1.290269981004816
ACH-000108,-1.4580930126503626
ACH-000113,-1.322944799246048
ACH-000116,-1.7937351998956776
ACH-000118,-1.4032126172273027
ACH-000120,-1.3622921652408804
ACH-000123,-1.3331541711250032
ACH-000127,-1.6569638782877945
ACH-000128,-1.4221207017169908
ACH-000132,-1.6548009683632263
ACH-000133,-1.48050905400538
ACH-000137,-1.5439940688591214
ACH-000138,-1.411365853882781
ACH-000142,-1.2252334380218033
ACH-000143,-1.5006106131536023
ACH-000146,-1.8710259017519044
ACH-000148,-1.6318087380070074
ACH-000150,-1.4704539699150063
ACH-000152,-1.340495376605206
ACH-000153,-1.6417015108870043
ACH-000159,-1.23908406944801
ACH-000160,-0.8923609968086244
ACH-000163,-1.538781895301478
ACH-000167,-2.643693461677978
ACH-000168,-1.2759757555745752
ACH-000169,-1.253944068521101
ACH-000178,-1.4669622378188376
ACH-000183,-1.3703090341400432
ACH-000188,-1.4053415980595774
ACH-000189,-1.3669620766316837
ACH-000190,-1.2617287150959804
ACH-000198,-1.53056136266387
ACH-000203,-1.4621042276892633
ACH-000204,-1.32935615363844
ACH-000206,-1.3342525275771218
ACH-000207,-1.0716047257188728
ACH-000208,-1.2880394540740965
ACH-000210,-1.2828458016949031
