,RELL2 (285613)
ACH-000004,-0.21767875112282992
ACH-000005,-0.3810974046551256
ACH-000007,-0.07393037085147541
ACH-000009,-0.14274563900659087
ACH-000011,-0.04482853060651212
ACH-000012,-0.15927469743709466
ACH-000013,-0.024041172396255053
ACH-000014,-0.1822029722921499
ACH-000015,-0.18080275379292848
ACH-000017,-0.09956762865502436
ACH-000018,-0.14110342756480931
ACH-000019,-0.07560711221444412
ACH-000021,-0.06806856214033129
ACH-000022,-0.11832279833846847
ACH-000025,0.003485048028162361
ACH-000028,-0.045536174118158516
ACH-000030,-0.07941167220577834
ACH-000035,-0.16472388157964415
ACH-000036,-0.08922436396579872
ACH-000037,-0.13426254808491528
ACH-000039,-0.20097763673730987
ACH-000040,-0.06571505588509312
ACH-000041,-0.05164068922288409
ACH-000042,-0.1481007024024352
ACH-000045,-0.05471956542500564
ACH-000047,-0.06332833849425493
ACH-000052,-0.08254490286038102
ACH-000053,-0.17980714780909046
ACH-000054,-0.1634932750828073
ACH-000055,-0.26322118948905576
ACH-000060,-0.1548697926455917
ACH-000067,-0.05582629659184838
ACH-000070,-0.05762154994441202
ACH-000075,-0.12767996984245156
ACH-000078,-0.07300261236810407
ACH-000082,-0.09401570512246367
ACH-000085,-0.2819953736851352
ACH-000086,-0.1431835878918425
ACH-000087,-0.3306209104269935
ACH-000092,-0.1576992132954352
ACH-000095,-0.051950128412621185
ACH-000097,-0.1791997390088059
ACH-000098,-0.14957962188903315
ACH-000099,-0.24407649850654856
ACH-000108,-0.13471504361897893
ACH-000113,-0.13233472772329605
ACH-000116,-0.09541516369865373
ACH-000118,-0.012197628277525607
ACH-000120,-0.09897264787521357
ACH-000123,-0.12502345977815366
ACH-000127,-0.23732696816133103
ACH-000128,-0.1122473360471178
ACH-000132,-0.08474005357234171
ACH-000133,-0.2193744493886569
ACH-000137,-0.14283131186363435
ACH-000138,-0.24232635969144126
ACH-000142,-0.06169712579734904
ACH-000143,-0.1366027790348862
ACH-000146,-0.07797173863084192
ACH-000148,-0.1258816481745421
ACH-000150,-0.32105301499874184
ACH-000152,-0.20911634810018434
ACH-000153,-0.2238672488319814
ACH-000159,-0.050028365969805214
ACH-000160,-0.15948234398350966
ACH-000163,-0.16600628764589578
ACH-000167,-0.12219072658388867
ACH-000168,-0.0716333780877919
ACH-000169,-0.12258401663477853
ACH-000178,-0.12676191088531225
ACH-000183,-0.2237306424129676
ACH-000188,-0.22472144578124773
ACH-000189,-0.15604194574512056
ACH-000190,-0.2969477537720528
ACH-000198,-0.27037559079914564
ACH-000203,0.14666464354707395
ACH-000204,-0.05356536696020752
ACH-000206,0.3126440578303908
