,ZMAT2 (153527)
ACH-000004,-1.3473300426451906
ACH-000005,-1.7116543587869668
ACH-000007,-1.2942375742806749
ACH-000009,-1.201033385407842
ACH-000011,-1.1933420949359659
ACH-000012,-1.3267614846363656
ACH-000013,-1.1994901204124222
ACH-000014,-1.3175883618734894
ACH-000015,-1.4249988818137849
ACH-000017,-1.2619156001214178
ACH-000018,-1.1193600630752842
ACH-000019,-1.0788888182476333
ACH-000021,-1.2338665355392429
ACH-000022,-1.2953108788004943
ACH-000025,-1.2773327996400707
ACH-000028,-1.106068633378301
ACH-000030,-1.2963747748266647
ACH-000035,-1.1386985720532523
ACH-000036,-1.135106093505319
ACH-000037,-1.7010391009017338
ACH-000039,-1.441512506725921
ACH-000040,-1.4125539006659618
ACH-000041,-1.448329488446256
ACH-000042,-1.3023357175272543
ACH-000045,-1.35294007057345
ACH-000047,-1.138788291673801
ACH-000052,-1.1890376264181284
ACH-000053,-1.1719502370006538
ACH-000054,-1.196351387739904
ACH-000055,-1.273897169403664
ACH-000060,-1.4463563015063623
ACH-000067,-1.2935164415248757
ACH-000070,-1.0617297067795068
ACH-000075,-1.1217823078594888
ACH-000078,-1.2977472420418763
ACH-000082,-1.4507238341118365
ACH-000085,-1.23615272982506
ACH-000086,-0.9406604938087648
ACH-000087,-1.8311661868033295
ACH-000092,-1.2577634894680647
ACH-000095,-1.3085484993411451
ACH-000097,-1.1299190849072385
ACH-000098,-1.2632096232507324
ACH-000099,-1.2513472504669645
ACH-000108,-1.4170290818436204
ACH-000113,-1.1161402213684046
ACH-000116,-1.4107430429809422
ACH-000118,-1.2915817206147258
ACH-000120,-1.4261435098448259
ACH-000123,-1.1655490445738856
ACH-000127,-1.0408299526093965
ACH-000128,-1.3372915913203416
ACH-000132,-1.0214292013616424
ACH-000133,-1.2531279470967178
ACH-000137,-1.4315183559727491
ACH-000138,-1.2078098472566292
ACH-000142,-1.1789958371648508
ACH-000143,-1.0891787511376243
ACH-000146,-1.4658134667316367
ACH-000148,-1.3840629929471675
ACH-000150,-1.2341530197894903
ACH-000152,-1.1221674075203218
ACH-000153,-0.9063978314992868
ACH-000159,-1.2775259982674043
ACH-000160,-1.4065613388290183
ACH-000163,-1.3084138559360678
ACH-000167,-2.122985099806822
ACH-000168,-1.2281609707724743
ACH-000169,-1.318690125637222
ACH-000178,-1.2390760191387398
ACH-000183,-1.1292264246528734
ACH-000188,-1.286485117958032
ACH-000189,-1.2169892592216207
ACH-000190,-1.3510001113515937
ACH-000198,-1.2032461346022971
ACH-000203,-1.4524728482637557
ACH-000204,-1.2929513088465918
ACH-000206,-1.5547284638854355
ACH-000207,-1.4264921773323664
ACH-000208,-1.2286294272592644
ACH-000210,-1.5510428392004687
ACH-000211,-1.1986501728348884
ACH-000215,-1.2089825633663196
ACH-000221,-1.4901151491628468
ACH-000222,-1.0481928147780557
ACH-000223,-1.097021005013719
ACH-000226,-1.4069944356442103
ACH-000227,-1.3526723000024308
ACH-000228,-1.3986282787731723
ACH-000231,-1.1788946591431293
ACH-000232,-1.0960019311834104
ACH-000233,-1.309292601262092
ACH-000234,-1.1863770135268037
ACH-000235,-1.229261821279651
ACH-000237,-1.1911602008096789
ACH-000238,-1.4136098141143474
ACH-000242,-1.2753356705997214
ACH-000243,-1.3369358816011685
ACH-000244,-1.0967348413707518
ACH-000246,-1.0360631578169897
ACH-000248,-1.3372565617929892
ACH-000250,-1.2105572609382034
ACH-000251,-1.187652620937412
ACH-000252,-1.207026419172616
ACH-000253,-1.3402645196288718
ACH-000255,-1.2391219589167917
ACH-000256,-1.2290527465922805
ACH-000257,-1.4989112322757088
ACH-000258,-1.2704893757926876
ACH-000259,-1.5243446904888434
ACH-000260,-1.5043094560353258
ACH-000261,-1.3510573335571767
ACH-000262,-1.2049563956480278
ACH-000263,-1.0446823455826475
ACH-000264,-1.2460365241166118
ACH-000265,-1.1956926236529968
ACH-000266,-1.267677847530781
ACH-000272,-1.1163555480129372
ACH-000274,-1.3636972887108645
ACH-000277,-1.4246747563966105
ACH-000278,-1.1803289523918754
ACH-000279,-1.412888791720896
ACH-000280,-1.2665497772284051
ACH-000281,-1.208508393757199
ACH-000288,-1.1327333615071276
ACH-000291,-1.2143584385321604
ACH-000293,-1.339787656875872
ACH-000294,-1.5671156268152062
ACH-000295,-1.1790621592120138
ACH-000296,-1.33193556381501
ACH-000302,-1.390289906445528
