,GRASP (160622)
ACH-000004,-0.37411016183035534
ACH-000005,-0.0902377328356318
ACH-000007,-0.0901670439274748
ACH-000009,-0.2552454119975282
ACH-000011,-0.31448569044579977
ACH-000012,-0.1940430836086604
ACH-000013,-0.312006512439336
ACH-000014,-0.3460825971478703
ACH-000015,-0.4188934893238785
ACH-000017,-0.20643665342180725
ACH-000018,-0.4790008931102971
ACH-000019,-0.12775661367064406
ACH-000021,-0.4201901828974259
ACH-000022,-0.31581174372349474
ACH-000025,-0.3412443188815961
ACH-000028,-0.3939356435551028
ACH-000030,-0.2966236253568392
ACH-000035,-0.253632328232465
ACH-000036,-0.1752728295680909
ACH-000037,-0.1518486450755416
ACH-000039,-0.26517688166537995
ACH-000040,-0.21240144462620644
ACH-000041,-0.1930674483113548
ACH-000042,-0.15323867584590642
ACH-000045,-0.32175449858955746
ACH-000047,-0.08960085032169121
ACH-000052,-0.29468484230506137
ACH-000053,-0.33875429197776635
ACH-000054,-0.3233706159534823
ACH-000055,-0.3204747667025998
ACH-000060,-0.18051859788068172
ACH-000067,-0.3586956795949873
ACH-000070,-0.1601597124248918
ACH-000075,-0.4483437197265188
ACH-000078,-0.30056618870590224
ACH-000082,-0.16290594645204742
ACH-000085,-0.12474409945175098
ACH-000086,-0.3997670394060945
ACH-000087,-0.4564241730931439
ACH-000092,-0.28427303408411914
ACH-000095,-0.253250699233562
ACH-000097,-0.4050923574307473
ACH-000098,-0.08151052044453014
ACH-000099,-0.3017881402331551
ACH-000108,-0.15140885452201067
ACH-000113,-0.2764843501419328
ACH-000116,-0.2528402739732026
ACH-000118,-0.3787112820817383
ACH-000120,-0.4183244044396501
ACH-000123,-0.18929723831301315
ACH-000127,-0.2845313005267702
ACH-000128,-0.4735750340407199
ACH-000132,-0.14862460089188706
ACH-000133,-0.3754852247364032
ACH-000137,-0.3169378791811855
ACH-000138,-0.31441468625218616
ACH-000142,-0.4537257047242846
ACH-000143,-0.4033042010602668
ACH-000146,-0.30615993675094605
ACH-000148,-0.2585864945366719
ACH-000150,-0.28214786888757426
ACH-000152,-0.4758587561677562
ACH-000153,-0.39026900919889135
ACH-000159,-0.2541644417202332
ACH-000160,-0.4736125645076457
ACH-000163,-0.2660040789558555
ACH-000167,-0.4480119822943524
ACH-000168,-0.4197347007438455
ACH-000169,-0.22302626667056707
ACH-000178,-0.2329378866483828
ACH-000183,-0.353774672008887
ACH-000188,-0.3603753465792332
ACH-000189,-0.35352035854830444
ACH-000190,-0.3028171891891114
ACH-000198,-0.3485088963186688
