,OR4N4 (283694)
ACH-000004,-0.406631197204471
ACH-000005,-0.17159070884814992
ACH-000007,-0.22043848262255655
ACH-000009,-0.32767100751929257
ACH-000011,-0.3616070566817803
ACH-000012,-0.13749455638785135
ACH-000013,-0.12747585729886116
ACH-000014,-0.18227335030351716
ACH-000015,-0.10571291568177857
ACH-000017,-0.35788381936762875
ACH-000018,-0.2193164669402468
ACH-000019,-0.2412191169889
ACH-000021,-0.2494928275538772
ACH-000022,-0.12174144468129153
ACH-000025,-0.037407347135209684
ACH-000028,-0.2148365432777777
ACH-000030,-0.11477196664641527
ACH-000035,-0.14152376453116305
ACH-000036,-0.13368411131655536
ACH-000037,-0.2217230551356923
ACH-000039,0.1950648048709957
ACH-000040,-0.08323224978812695
ACH-000041,-0.4324287149700906
ACH-000042,-0.15327256143151546
ACH-000045,0.14770267536540352
ACH-000047,-0.1802394353578251
ACH-000052,-0.15468082788074938
ACH-000053,-0.17259673987728066
ACH-000054,-0.16092984521822784
ACH-000055,-0.11937254517326193
ACH-000060,-0.10631529814160526
ACH-000067,0.02900261200571792
ACH-000070,0.0907276992752141
ACH-000075,-0.08217832887237372
ACH-000078,-0.15194932152544993
ACH-000082,-0.04760233343277273
ACH-000085,-0.32954652041342714
ACH-000086,-0.18405429223368186
ACH-000087,-0.06987579974261274
ACH-000092,-0.2640635175027573
ACH-000095,-0.4104008770692351
ACH-000097,-0.25463638475914524
ACH-000098,-0.1418046487213477
ACH-000099,-0.2311711424416099
ACH-000108,-0.2581708562600325
ACH-000113,-0.36432371404451336
ACH-000116,-0.18328434948921887
ACH-000118,-0.2305043550845315
ACH-000120,-0.254267531129005
ACH-000123,-0.14132314540446114
ACH-000127,-0.19857728737123306
ACH-000128,-0.3604969181600322
ACH-000132,-0.5387721593125027
ACH-000133,-0.25659292418133023
ACH-000137,-0.3399574876057325
ACH-000138,-0.09396378856786634
ACH-000142,-0.16294157065066842
ACH-000143,-0.13933769548856187
ACH-000146,-0.19729415290739516
ACH-000148,-0.2982693155531765
ACH-000150,0.020715133654342962
ACH-000152,-0.10529530802947748
ACH-000153,-0.09193472306363557
ACH-000159,-0.2745626099357157
ACH-000160,-0.20443592512907832
ACH-000163,-0.30832323198170525
ACH-000167,0.06620675094774726
ACH-000168,-0.42166802353740174
ACH-000169,-0.14588509536866304
ACH-000178,-0.2198117677539783
ACH-000183,-0.3205739719042092
ACH-000188,-0.2024353746156732
ACH-000189,-0.5694208981837259
ACH-000190,-0.31846187538371035
ACH-000198,-0.3433923732602768
ACH-000203,-0.2101881849309055
ACH-000204,-0.12875570924253005
ACH-000206,-0.27968211207510185
ACH-000207,-0.14159105374290107
ACH-000208,-0.4036066057071923
ACH-000210,-0.3111424925832813
ACH-000211,-0.2907455321357447
ACH-000215,-0.20124279214261376
ACH-000221,-0.3041131813670992
ACH-000222,-0.3829184067795177
ACH-000223,-0.4136600548877985
ACH-000226,-0.3188213802160506
ACH-000227,-0.052349730835752985
ACH-000228,-0.2706668965118709
ACH-000231,-0.2376476150420319
ACH-000232,-0.1990011051641781
ACH-000233,-0.22400557241835956
ACH-000234,-0.08744250309641384
ACH-000235,-0.0723074883437133
ACH-000237,-0.15269923842461405
ACH-000238,-0.12214194272220252
ACH-000242,-0.11334819660868385
ACH-000243,-0.2827712830765757
ACH-000244,0.043201034562215655
ACH-000246,-0.08202772407939106
ACH-000248,-0.5467349275354564
ACH-000250,-0.20837910450713595
ACH-000251,-0.28396259723054035
ACH-000252,-0.5222998631513232
ACH-000253,-0.4870939330856021
ACH-000255,-0.5213240061683697
ACH-000256,-0.10095855395019544
ACH-000257,-0.1464831973447244
ACH-000258,-0.18166289544826492
ACH-000259,-0.2449563776606229
ACH-000260,-0.21111624975985385
ACH-000261,-0.2903889854967641
ACH-000262,-0.3597799965702596
ACH-000263,-0.16095182703725536
ACH-000264,-0.2539245803133621
ACH-000265,-0.2317802788790197
ACH-000266,-0.3780295471794332
ACH-000272,-0.3527839646775361
ACH-000274,-0.3106658545391525
