,NAPG (8774)
ACH-000004,-0.6469378815183502
ACH-000005,-0.8950508707672375
ACH-000007,-0.581057558773548
ACH-000009,-0.721592777763567
ACH-000011,-0.7027505381234597
ACH-000012,-0.7461220797167216
ACH-000013,-1.000246058388098
ACH-000014,-0.45495573883495005
ACH-000015,-0.3740627654562946
ACH-000017,-0.7286761439191355
ACH-000018,-0.3998400202085707
ACH-000019,-0.3401683749081303
ACH-000021,-0.9994753424353552
ACH-000022,-0.3613821503749891
ACH-000025,-0.3840003212933788
ACH-000028,-0.4420793936980066
ACH-000030,-0.8016814609717526
ACH-000035,-0.4417824117763123
ACH-000036,-1.07449474798774
ACH-000037,-0.5515022473400913
ACH-000039,-0.513529782064724
ACH-000040,-0.6285388978428191
ACH-000041,-0.5552217349981322
ACH-000042,-0.7763011035851464
ACH-000045,-0.1550847327493364
ACH-000047,-0.1985644532137819
ACH-000052,-0.8742543611090783
ACH-000053,-0.17824611461279416
ACH-000054,-0.4111248065882295
ACH-000055,-0.3564460890351133
ACH-000060,-0.7900010398954576
ACH-000067,-0.4535836834728159
ACH-000070,-0.3736100874454643
ACH-000075,-0.5517225201392981
ACH-000078,-0.30463156876744524
ACH-000082,-0.2831074451663778
ACH-000085,-0.612622174818728
ACH-000086,-0.8736169901415852
ACH-000087,-0.8401436216367814
ACH-000092,-0.2367785504377985
ACH-000095,-0.1450048723168446
ACH-000097,-0.3144067741266394
ACH-000098,-0.6751438761868711
ACH-000099,-0.2827610356286238
ACH-000108,-1.2428905473415732
ACH-000113,-0.3708164068757744
ACH-000116,-0.9371967657709738
ACH-000118,-0.9993053806282548
ACH-000120,-0.46549031751734204
ACH-000123,-0.3982757696590923
ACH-000127,-0.8292159575954379
ACH-000128,-0.470870588508488
ACH-000132,-1.1967849804733273
ACH-000133,-0.38800063939235496
ACH-000137,-0.3736561475887012
ACH-000138,-0.8586228925901731
ACH-000142,-0.30860024751456355
ACH-000143,-0.5303504118536075
ACH-000146,-0.20607180809299072
ACH-000148,-0.6205648163054391
ACH-000150,-0.8854552901184227
ACH-000152,-0.3215641565536905
ACH-000153,-0.9705726837528876
ACH-000159,-0.43499232609690097
ACH-000160,-0.8780787383303718
ACH-000163,-0.5320699677308107
ACH-000167,-1.2217338462882334
ACH-000168,-0.3993816057744081
ACH-000169,-0.5289090207115799
ACH-000178,-0.9502687875467314
ACH-000183,-0.7348013430444595
ACH-000188,-0.6962945246423641
ACH-000189,-0.91839701058945
ACH-000190,-1.0528439295678795
ACH-000198,-0.25393344963893016
ACH-000203,-0.7952074249255348
ACH-000204,-0.7163856575358399
ACH-000206,-0.6356888003179124
ACH-000207,-0.4970501172077758
ACH-000208,-0.6422317856811801
ACH-000210,-0.27843545844670964
ACH-000211,-0.2490671859233068
ACH-000215,-0.4952273045421319
ACH-000221,-0.15163034445361112
ACH-000222,-0.8551044727814522
ACH-000223,-0.35687842060282954
ACH-000226,-0.9192289775918712
ACH-000227,-0.35797768758154586
ACH-000228,-0.4499295949695519
ACH-000231,-0.260836693313915
ACH-000232,-0.8689207048383886
ACH-000233,-1.0419040936052857
ACH-000234,-0.6390501663996087
ACH-000235,-0.3814558135295357
ACH-000237,-0.751238896918554
ACH-000238,-1.1356123710145556
ACH-000242,-0.14999378712146638
ACH-000243,-0.8217985005218679
ACH-000244,-0.6870061315692649
ACH-000246,-0.7264231677717714
ACH-000248,-0.4578901178410118
