,HPSE (10855)
ACH-000004,-0.06975118557401849
ACH-000005,0.05907283854982395
ACH-000007,-0.28158170519694536
ACH-000009,-0.18073411292607788
ACH-000011,-0.1240553968924379
ACH-000012,-0.07163687826607261
ACH-000013,0.04807274479026456
ACH-000014,-0.09961926722821604
ACH-000015,-0.1615582477160684
ACH-000017,0.004276181449165989
ACH-000018,-0.12444337113263824
ACH-000019,-0.014923085341887996
ACH-000021,-0.14426291822818246
ACH-000022,-0.10733499380505207
ACH-000025,-0.06062388484329285
ACH-000028,-0.16716084063266248
ACH-000030,-0.1794814168370373
ACH-000035,-0.10943877402972917
ACH-000036,-0.04545452148156701
ACH-000037,-0.04691463682787984
ACH-000039,0.034440885988656175
ACH-000040,-0.19861122319012697
ACH-000041,-0.301562867176894
ACH-000042,-0.19744889466889667
ACH-000045,-0.2192227046062023
ACH-000047,-0.14612263274912446
ACH-000052,0.040951832059040884
ACH-000053,-0.040583854994526415
ACH-000054,-0.021110119173572132
ACH-000055,-0.15614565181485454
ACH-000060,-0.19663077929159645
ACH-000067,-0.02698712172396803
ACH-000070,-0.09244439283143263
ACH-000075,-0.06054493200598556
ACH-000078,-0.049438178613003016
ACH-000082,-0.12011850117670962
ACH-000085,0.08914924331064139
ACH-000086,-0.18536652801989315
ACH-000087,0.02343143797101688
ACH-000092,0.008749929575962495
ACH-000095,-0.032070794796611235
ACH-000097,-0.08673915543791838
ACH-000098,-0.10435573705476922
ACH-000099,-0.014677683771261338
ACH-000108,-0.18209835601546626
ACH-000113,-0.21490750181502816
ACH-000116,-0.02585073665667801
ACH-000118,-0.052109088370191715
ACH-000120,0.03686860061704151
ACH-000123,-0.1279581682737853
ACH-000127,-0.08357362478689262
ACH-000128,-0.11885793994350725
ACH-000132,-0.035472816057992275
ACH-000133,0.04173339474815956
ACH-000137,-0.004451782067035167
ACH-000138,-0.11429022724605735
ACH-000142,-0.15679790900844034
ACH-000143,-0.1456548944097028
ACH-000146,-0.11334873779109834
ACH-000148,-0.08940900809537207
ACH-000150,-0.07856828109245037
ACH-000152,-0.15155203727310929
ACH-000153,-0.1437861574220829
ACH-000159,-0.15423547176347635
ACH-000160,-0.22764818854514926
ACH-000163,-0.20903786484762849
ACH-000167,-0.06277024815126919
ACH-000168,-0.15822979662408024
ACH-000169,-0.12425460737359542
ACH-000178,-0.1129676354846121
ACH-000183,-0.1981932804953017
ACH-000188,-0.17531023432024054
ACH-000189,0.15471688264747188
ACH-000190,-0.12472028621144784
ACH-000198,-0.07724166224664955
ACH-000203,-0.21091721677063247
ACH-000204,-0.18397858183050853
ACH-000206,-0.03627967012436476
ACH-000207,0.04233408023872584
ACH-000208,-0.2469888318112541
ACH-000210,-0.1037290228961046
ACH-000211,-0.21848933060508896
ACH-000215,-0.08422922127962594
ACH-000221,-0.30239442439074443
ACH-000222,-0.007400885902544084
ACH-000223,-0.0587507591247925
ACH-000226,-0.20963418391527694
ACH-000227,-0.1237045820178604
ACH-000228,0.012611202701822508
ACH-000231,-0.1650193912451494
ACH-000232,-0.17091792553284035
ACH-000233,-0.02155932036716945
ACH-000234,-0.08788296000316621
ACH-000235,-0.14894272970469896
ACH-000237,-0.12612904272461792
ACH-000238,-0.09425991909737716
ACH-000242,-0.3624742277391319
ACH-000243,-0.13898510611015089
ACH-000244,-0.0408962414248263
ACH-000246,-0.027251315803027986
ACH-000248,-0.018515937498604328
ACH-000250,-0.14742670434011454
ACH-000251,-0.03491380936431032
ACH-000252,-0.12374472436760807
ACH-000253,-0.09101483068211023
ACH-000255,-0.11981970147105035
ACH-000256,-0.07822569622956659
ACH-000257,-0.2733871353932642
ACH-000258,-0.18123622292790895
ACH-000259,-0.12838446614056145
ACH-000260,-0.08752452646273882
ACH-000261,-0.05662713575943225
ACH-000262,0.08792804511491648
ACH-000263,-0.33117525867701697
ACH-000264,-0.09013742460534586
ACH-000265,-0.2156397517801945
ACH-000266,-0.09593080572057444
ACH-000272,-0.1965033149746008
ACH-000274,0.01151425023362946
ACH-000277,-0.040595689611005424
ACH-000278,-0.02658328253469308
ACH-000279,-0.1162097282433543
ACH-000280,-0.09913298156818427
ACH-000281,-0.11061836344064817
ACH-000288,-0.00522068484220421
ACH-000291,-0.0011138072238810798
ACH-000293,-0.0377851091314349
ACH-000294,-0.11019478839163742
ACH-000295,-0.3636607540404911
ACH-000296,-0.054138061634064163
ACH-000302,-0.1747467342524434
ACH-000304,0.10813350332985576
ACH-000307,-0.059697346726240115
ACH-000308,-0.17106940715561625
ACH-000310,0.0030128515743763572
ACH-000311,-0.21678585649101967
ACH-000312,-0.1269551822003195
ACH-000315,-0.0012917084626548592
ACH-000316,-0.22515012370597648
ACH-000317,-0.28628821503507657
ACH-000318,-0.19557416240213396
ACH-000319,0.016585518896507674
ACH-000320,-0.11341666686877905
ACH-000322,-0.18176604374109367
ACH-000323,-0.17437226353262453
ACH-000324,-0.14801635495367393
ACH-000329,-0.11654561653502528
ACH-000330,-0.1344668209214643
ACH-000331,0.055420765363075865
ACH-000332,-0.13118809158757275
ACH-000334,-0.07889705942908216
ACH-000335,-0.1566822500174576
ACH-000336,-0.05757464877457505
ACH-000337,-0.15327091094253764
ACH-000338,-0.1095433400794783
ACH-000339,-0.08922452656514612
ACH-000341,-0.13997930614744544
ACH-000348,-0.13316040135781484
ACH-000350,0.011007942380409266
ACH-000352,-0.1267134095211146
ACH-000356,0.011503873101182609
ACH-000361,-0.0831728783791362
ACH-000362,-0.11905833782567588
ACH-000363,-0.1045033263847036
ACH-000364,-0.2656300750292739
ACH-000365,-0.2548201674886829
ACH-000366,-0.19680519021026516
ACH-000368,-0.026534482011277328
ACH-000374,0.1457065559239492
ACH-000375,-0.19534273363899787
ACH-000376,-0.11115252304256153
ACH-000381,-0.15478872786379316
ACH-000383,-0.08135288668120419
ACH-000387,-0.1828963678739802
ACH-000389,0.08085036441930059
ACH-000390,-0.13143661676359894
ACH-000393,-0.09567703338935447
ACH-000395,-0.035100669828206685
ACH-000396,-0.06018530269240699
ACH-000397,-0.12851161060480007
ACH-000401,0.1115810326230102
