,FTMT (94033)
ACH-000004,-0.18940325091856927
ACH-000005,-0.09951863210203027
ACH-000007,-0.4069025840827556
ACH-000009,-0.19525763289314008
ACH-000011,-0.14535559855848346
ACH-000012,-0.14220249096948956
ACH-000013,-0.08488967313857773
ACH-000014,-0.1822121916866222
ACH-000015,-0.221210697260208
ACH-000017,-0.30954056665368745
ACH-000018,-0.1927564808999238
ACH-000019,-0.35301922125355273
ACH-000021,-0.18190009802367252
ACH-000022,-0.11049656339113087
ACH-000025,-0.3079756616185903
ACH-000028,-0.19901734776673266
ACH-000030,-0.19699034668817375
ACH-000035,-0.17035340520766384
ACH-000036,-0.19871410633586825
ACH-000037,-0.20724575466839204
ACH-000039,-0.2521338244098914
ACH-000040,-0.2514453299783244
ACH-000041,-0.18342665004717
ACH-000042,-0.2692441769740382
ACH-000045,0.055729123475155865
ACH-000047,-0.27190576803916583
ACH-000052,-0.2914170299614204
ACH-000053,-0.17152046428072448
ACH-000054,-0.3519336360154436
ACH-000055,-0.1727885962655689
ACH-000060,-0.2741053896794342
ACH-000067,-0.1301742706372743
ACH-000070,-0.18128542755371765
ACH-000075,-0.2033494397452716
ACH-000078,-0.14421623304958875
ACH-000082,-0.250232951882408
ACH-000085,-0.23213455101249125
ACH-000086,-0.1458082156215397
ACH-000087,-0.003483693482435991
ACH-000092,-0.33087820217214803
ACH-000095,-0.2606571929175342
ACH-000097,-0.10606242575769603
ACH-000098,-0.2486442183766888
ACH-000099,-0.3674458274216895
ACH-000108,-0.18344911385120327
ACH-000113,-0.14588029941233682
ACH-000116,-0.2855685882683716
ACH-000118,-0.141241610861654
ACH-000120,-0.2269040637914352
ACH-000123,-0.2032108878999698
ACH-000127,-0.3706741443556794
ACH-000128,-0.22237595437026425
ACH-000132,-0.24534241424624725
ACH-000133,-0.30370426674058565
ACH-000137,-0.16400442241613591
ACH-000138,-0.13810868181763195
ACH-000142,-0.2219781975510068
ACH-000143,-0.35163586361413185
ACH-000146,-0.07963088864472934
ACH-000148,-0.2338660192956776
ACH-000150,-0.21807086826224914
ACH-000152,-0.31788504291451
ACH-000153,-0.19162137066788412
ACH-000159,-0.3275127796932968
ACH-000160,-0.17201927610499282
ACH-000163,-0.22094680405893768
ACH-000167,-0.22918898684954414
ACH-000168,-0.013272957200968796
ACH-000169,-0.19877938554223085
ACH-000178,-0.14066521387746111
ACH-000183,-0.2443039911922701
ACH-000188,-0.3837663972353016
ACH-000189,-0.10141488945642453
ACH-000190,-0.11175192465767056
ACH-000198,-0.2362320765230359
ACH-000203,0.03893700228188489
ACH-000204,-0.2223611973418215
ACH-000206,-0.25612046377262626
ACH-000207,-0.31808198850462593
ACH-000208,-0.34994541558381104
ACH-000210,-0.20968032382068025
ACH-000211,-0.3025932191382237
ACH-000215,-0.2930100816161679
ACH-000221,-0.2893746673626485
ACH-000222,-0.16733389364555756
ACH-000223,-0.20759437915831302
ACH-000226,-0.32553245049784496
ACH-000227,-0.2896837671183464
ACH-000228,-0.24390783244047626
ACH-000231,-0.14484585657846247
ACH-000232,-0.4194622893360185
ACH-000233,-0.20558954480567368
ACH-000234,-0.3405776731600092
ACH-000235,-0.20951097320070936
ACH-000237,-0.2048163328493912
ACH-000238,-0.3405837518298989
ACH-000242,-0.09687136923329397
ACH-000243,-0.20598393974504595
ACH-000244,-0.20192012356611827
ACH-000246,-0.3568402195346674
ACH-000248,-0.19965290744127484
ACH-000250,-0.28063458468743424
ACH-000251,-0.32403249238377096
ACH-000252,-0.09191583717209698
ACH-000253,-0.15362620463987586
ACH-000255,-0.23640458616195245
ACH-000256,-0.3121870253439644
ACH-000257,-0.3753032315398737
ACH-000258,-0.21408535147158606
ACH-000259,-0.2591951339735018
ACH-000260,-0.27679484137052685
ACH-000261,-0.24110852526876406
ACH-000262,-0.1284965372684942
ACH-000263,-0.11254543246434057
ACH-000264,-0.28716243182742546
ACH-000265,-0.04248083125845789
ACH-000266,-0.2457971672755146
ACH-000272,-0.1659663725419442
ACH-000274,-0.3638744429927928
ACH-000277,-0.3018227295985671
ACH-000278,-0.26919157694252066
ACH-000279,-0.25013118150240443
ACH-000280,-0.19103659179201388
ACH-000281,-0.1862015164070146
ACH-000288,-0.2306776762718428
ACH-000291,-0.3130687810487167
ACH-000293,-0.22320492211953447
ACH-000294,-0.10462928837283714
ACH-000295,-0.023714877072895647
ACH-000296,-0.10029341980866373
ACH-000302,-0.2007336154117362
ACH-000304,-0.1038407438092273
ACH-000307,-0.1275019613810504
ACH-000308,-0.1545315355557021
ACH-000310,-0.1729963512216793
ACH-000311,-0.28544860519286297
ACH-000312,-0.1334799172592475
ACH-000315,-0.07412140525701419
ACH-000316,-0.1842750191568809
ACH-000317,-0.24469882297996995
ACH-000318,-0.219189174518736
ACH-000319,-0.3106325942823925
ACH-000320,-0.3652909454900874
ACH-000322,-0.13203228648488688
ACH-000323,-0.2951286400788804
ACH-000324,-0.2659432897889377
ACH-000329,-0.13746289129501835
ACH-000330,-0.13956992469553992
ACH-000331,-0.3900470771600206
ACH-000332,-0.20245825040378584
ACH-000334,-0.3149383927637548
ACH-000335,-0.21394297150688787
ACH-000336,-0.07433400945394672
ACH-000337,-0.41217385554963576
ACH-000338,-0.28339205500401304
ACH-000339,-0.2835288996054739
ACH-000341,-0.10411412821195684
ACH-000348,-0.2189725210067812
ACH-000350,-0.06850580507652129
ACH-000352,-0.1402534227655425
ACH-000356,-0.2761297547726145
ACH-000361,-0.3159082932981401
ACH-000362,-0.08965906623553467
ACH-000363,-0.1921534883185748
ACH-000364,-0.2783044000859197
ACH-000365,-0.12751599653337062
ACH-000366,-0.259961778685417
ACH-000368,-0.2893929642216333
ACH-000374,-0.18612126357758416
ACH-000375,-0.10034058495504508
ACH-000376,-0.2507762678961533
ACH-000381,-0.3529279993569345
ACH-000383,-0.15801730690006385
ACH-000387,-0.13201414041398546
ACH-000389,-0.18386674881531653
ACH-000390,-0.09290424679905833
ACH-000393,-0.1567255181635082
ACH-000395,-0.21948878744211636
ACH-000396,-0.05027810207637248
ACH-000397,-0.3194188876603629
ACH-000401,-0.18417750298590044
ACH-000402,-0.07214302743235301
ACH-000403,-0.2932966560347691
ACH-000404,-0.20031648848413186
ACH-000406,-0.14001747148518434
ACH-000407,-0.2535185270821845
ACH-000408,-0.2382016053015916
ACH-000410,-0.34619041705410153
ACH-000411,-0.3017195149388909
ACH-000414,-0.1572819707228766
