,NWD1 (284434)
ACH-000004,-0.18590048197501768
ACH-000005,0.1482337007484717
ACH-000007,0.02525786979313539
ACH-000009,-0.1802960300376709
ACH-000011,-0.17330211552487212
ACH-000012,-0.10543271521331447
ACH-000013,-0.2246207188167328
ACH-000014,-0.046708051684949334
ACH-000015,-0.3968893085535992
ACH-000017,-0.3732083444975506
ACH-000018,0.07531878408016031
ACH-000019,-0.14371343004554016
ACH-000021,-0.22416193184829264
ACH-000022,-0.3052369113972019
ACH-000025,-0.3692827432961618
ACH-000028,-0.32773486911696725
ACH-000030,-0.2756819592490176
ACH-000035,-0.2902614163281374
ACH-000036,-0.15822861240185165
ACH-000037,-0.06450201916536905
ACH-000039,-0.13070006072394585
ACH-000040,-0.05095292953953539
ACH-000041,-0.2332993539703649
ACH-000042,-0.2845501801559176
ACH-000045,-0.24850521093175876
ACH-000047,-0.2411786856034525
ACH-000052,-0.3057951864147667
ACH-000053,-0.1853896188737991
ACH-000054,-0.16415477052835245
ACH-000055,-0.09002970292279898
ACH-000060,0.06830846858517597
ACH-000067,-0.14259588075195487
ACH-000070,-0.17024898484563564
ACH-000075,-0.11989130761831465
ACH-000078,-0.16203880390385855
ACH-000082,-0.2482160943696631
ACH-000085,-0.24771344925979574
ACH-000086,-0.20376292975348625
ACH-000087,0.016963771987519173
ACH-000092,-0.30520588095022577
ACH-000095,-0.30461007861853096
ACH-000097,-0.1549704673456364
ACH-000098,-0.3034493595034252
ACH-000099,-0.11018255778542717
ACH-000108,-0.261019958544989
ACH-000113,-0.20522116931545145
ACH-000116,-0.30273510622688354
ACH-000118,-0.20731671544925134
ACH-000120,-0.21874847614483608
ACH-000123,-0.3563693715799049
ACH-000127,-0.2278861102519652
ACH-000128,-0.21411600895553165
ACH-000132,-0.1797647210203278
ACH-000133,-0.2120217595114688
ACH-000137,-0.18893670257984665
ACH-000138,-0.2435611106571117
ACH-000142,-0.12028361933976606
ACH-000143,-0.17430798541288384
ACH-000146,-0.15876610748311276
ACH-000148,-0.13481418722108973
ACH-000150,-0.1790464576957557
ACH-000152,-0.17738642734870086
ACH-000153,-0.12783236842055049
ACH-000159,-0.21188596817425315
ACH-000160,-0.07373893408441527
ACH-000163,-0.2502836754687849
ACH-000167,-0.21970975897373435
ACH-000168,-0.10311391518919652
ACH-000169,-0.15326443603682674
ACH-000178,-0.08709926653088758
ACH-000183,-0.2794061004678492
ACH-000188,-0.3244788154795827
ACH-000189,-0.2810657120077778
ACH-000190,-0.046825944562953664
ACH-000198,-0.05492535856416597
ACH-000203,0.17647455641175674
ACH-000204,-0.14399363535639506
ACH-000206,0.09746076182508788
ACH-000207,-0.2042465540032077
ACH-000208,-0.19271161065138045
ACH-000210,-0.1574990930296933
ACH-000211,-0.23704455252260564
ACH-000215,-0.20847925841354067
ACH-000221,-0.3989167457539672
ACH-000222,-0.02344799455919536
ACH-000223,-0.1602673532340566
ACH-000226,-0.06338023710802497
ACH-000227,0.05788204730915954
ACH-000228,-0.14663437788496078
ACH-000231,-0.15370684541677812
ACH-000232,-0.1836281129391545
ACH-000233,-0.3066396275490371
ACH-000234,-0.11575633300477545
ACH-000235,-0.17009975121199253
ACH-000237,-0.16498140730580282
ACH-000238,0.042840437341717136
ACH-000242,-0.3754698241055633
ACH-000243,-0.2170980180813445
ACH-000244,-0.22988800231537895
ACH-000246,-0.1779761399311061
ACH-000248,-0.17377684937461324
ACH-000250,-0.2377300299280173
ACH-000251,-0.3210157372269904
ACH-000252,-0.19060661386866093
ACH-000253,-0.21357866257210012
ACH-000255,-0.3231328558421969
ACH-000256,-0.2055888631028504
ACH-000257,-0.13145661768476571
ACH-000258,-0.3392288664524397
ACH-000259,-0.10956756777661404
ACH-000260,-0.18461568630304992
ACH-000261,-0.2838907328307246
ACH-000262,-0.23577410777603586
ACH-000263,-0.3211678355803971
ACH-000264,-0.09785482094720284
ACH-000265,-0.16567387030876576
ACH-000266,-0.13634955881715652
ACH-000272,-0.24668616793164985
ACH-000274,-0.04860932095683747
