,IQCC (55721)
ACH-000004,0.02582467036666012
ACH-000005,-0.2510310452272673
ACH-000007,-0.19093354994694645
ACH-000009,-0.16735449388829293
ACH-000011,-0.1720153890219326
ACH-000012,-0.3113190168608542
ACH-000013,-0.4497362914444431
ACH-000014,-0.09257163431800963
ACH-000015,-0.30285936463005525
ACH-000017,-0.18638971459982545
ACH-000018,-0.15626934001575676
ACH-000019,-0.27890854092980183
ACH-000021,-0.25852927034837603
ACH-000022,-0.2261445011316323
ACH-000025,-0.35091734644356115
ACH-000028,-0.2129871155918012
ACH-000030,-0.2749911554086634
ACH-000035,-0.23179679160355435
ACH-000036,-0.3649087094513832
ACH-000037,-0.062062991723389076
ACH-000039,-0.29523197663413625
ACH-000040,-0.21365734096880812
ACH-000041,-0.3230853263790676
ACH-000042,-0.2457814256445207
ACH-000045,-0.2662182592405209
ACH-000047,-0.3765539252319391
ACH-000052,-0.2736703350061897
ACH-000053,-0.14072203169190226
ACH-000054,-0.3206291025776061
ACH-000055,-0.3079628008968074
ACH-000060,-0.2815005605877915
ACH-000067,-0.3137680483518762
ACH-000070,-0.28593738360779386
ACH-000075,-0.4582684751827861
ACH-000078,-0.2494855300566369
ACH-000082,-0.33559741938464005
ACH-000085,-0.263508810759358
ACH-000086,-0.41040391515491387
ACH-000087,-0.27236738997779664
ACH-000092,-0.4031264700322024
ACH-000095,-0.2584766800141537
ACH-000097,-0.3094307050370643
ACH-000098,-0.313465462116463
ACH-000099,-0.11919222233125998
ACH-000108,-0.3096104975106935
ACH-000113,-0.25166564743752
ACH-000116,-0.21969978169712895
ACH-000118,-0.34248019259236023
ACH-000120,-0.2482848262342326
ACH-000123,-0.21537779698037374
ACH-000127,-0.2344167593466388
ACH-000128,-0.16028870039105456
ACH-000132,-0.2223854819010702
ACH-000133,-0.2873300645904989
ACH-000137,-0.3293520517389395
ACH-000138,-0.4518788728013674
ACH-000142,-0.20218576693454915
ACH-000143,-0.3862660824823398
ACH-000146,-0.262156048385112
ACH-000148,-0.2603878882258627
ACH-000150,-0.5550127659500216
ACH-000152,-0.2727707274607783
ACH-000153,-0.6014113738297073
ACH-000159,-0.19151741027007746
ACH-000160,-0.3901895993821045
ACH-000163,-0.09731145686771307
ACH-000167,-0.03192746403327296
ACH-000168,-0.3806913425903389
ACH-000169,-0.3871404747560107
ACH-000178,-0.2688477011034093
ACH-000183,-0.21581564020243407
ACH-000188,-0.3098445447475514
ACH-000189,-0.2681029573683398
ACH-000190,-0.34646680439977434
ACH-000198,-0.18522283539612064
ACH-000203,-0.4492976823733511
ACH-000204,-0.5321703607395885
ACH-000206,-0.21658426348374776
ACH-000207,-0.2416293784044893
ACH-000208,-0.34056273647834323
ACH-000210,-0.26840749646998
ACH-000211,-0.1808727886832458
ACH-000215,-0.36662935347837
ACH-000221,-0.2285416658168835
ACH-000222,-0.4318276839508548
ACH-000223,-0.2708107747745702
ACH-000226,-0.2133601351990212
ACH-000227,-0.332827817654007
ACH-000228,-0.3644090478490085
ACH-000231,-0.31729384119365983
ACH-000232,-0.2813369382461805
ACH-000233,-0.1325813707878178
ACH-000234,-0.33399372355624035
ACH-000235,-0.2682864944640876
ACH-000237,-0.37501889999352384
ACH-000238,-0.33296345256835536
ACH-000242,0.44064194205256
ACH-000243,-0.2713574786633474
ACH-000244,-0.2080619402245292
ACH-000246,-0.2644082091495095
ACH-000248,-0.2544381376076569
ACH-000250,-0.2368478755611507
ACH-000251,-0.17389320964405974
ACH-000252,-0.20165735045613506
ACH-000253,-0.2385024940353365
ACH-000255,-0.3045156111673044
ACH-000256,-0.2912373010687219
ACH-000257,-0.22553320704948565
ACH-000258,-0.1507289862662602
ACH-000259,-0.24028700325668706
ACH-000260,-0.3671663109735368
ACH-000261,-0.17459001637820495
ACH-000262,-0.22033382673172552
ACH-000263,-0.4777737201045138
ACH-000264,-0.2055607007067706
ACH-000265,-0.3163980956689728
ACH-000266,-0.189470302312338
ACH-000272,-0.205602733344781
ACH-000274,-0.3180118122277387
ACH-000277,-0.238176828220228
ACH-000278,-0.4414602494723297
ACH-000279,-0.3358527385581461
ACH-000280,-0.04855029538447188
ACH-000281,-0.2106334108516384
ACH-000288,-0.3292270822085737
ACH-000291,-0.16885514239599358
ACH-000293,-0.4831869590355873
ACH-000294,-0.0619347912552807
ACH-000295,-0.15608957275710386
ACH-000296,-0.0987197577791382
ACH-000302,-0.379483854493128
ACH-000304,-0.31227734484847885
ACH-000307,-0.233225344101094
ACH-000308,-0.19770637893682594
ACH-000310,-0.3074193839229192
ACH-000311,-0.1470741524787633
ACH-000312,-0.3811996610858168
ACH-000315,-0.31544927514338983
ACH-000316,-0.05566786485633567
ACH-000317,-0.20405352079811545
ACH-000318,-0.3599231152532835
ACH-000319,-0.13725832898520504
ACH-000320,-0.4080304991942241
ACH-000322,-0.4842571696396814
ACH-000323,-0.2444594241443681
ACH-000324,-0.2891704660942727
ACH-000329,-0.3568846240952948
ACH-000330,-0.3820778591509634
ACH-000331,-0.33669720521170154
ACH-000332,-0.2397273932168108
ACH-000334,-0.1982696468553411
ACH-000335,-0.24920451578350625
ACH-000336,-0.35138952867387657
ACH-000337,-0.4674616822195258
ACH-000338,-0.1979925184027233
ACH-000339,-0.1671727917932431
ACH-000341,-0.3380975004346415
ACH-000348,-0.17196018896071974
ACH-000350,-0.19721568629344088
ACH-000352,-0.2323966231033639
ACH-000356,-0.2281659646299281
ACH-000361,-0.41102830143476493
ACH-000362,-0.07481030142468532
ACH-000363,-0.2147160499272687
ACH-000364,-0.31526181121153524
ACH-000365,-0.3897016204781651
ACH-000366,-0.36024134324623863
ACH-000368,-0.1741341520873712
ACH-000374,-0.26639200053901096
ACH-000375,-0.31376217481384383
ACH-000376,-0.2976145468757023
ACH-000381,-0.3680771902809557
ACH-000383,-0.2495729187680326
ACH-000387,-0.3411439155736037
ACH-000389,-0.2125128539645106
ACH-000390,-0.1116560023121757
ACH-000393,-0.3063594631723645
ACH-000395,-0.14410005232833473
ACH-000396,-0.19281497258128386
ACH-000397,-0.30674241245472833
ACH-000401,-0.12023109834046045
ACH-000402,-0.4283833130858194
ACH-000403,-0.337757251140028
ACH-000404,-0.1560032613938292
ACH-000406,-0.21806830198128066
ACH-000407,-0.4242818132885348
ACH-000408,-0.3316551641735357
