,LRRC37A3 (374819)
ACH-000004,-0.8798862934292222
ACH-000005,-0.7054415615986717
ACH-000007,-0.5282163437999058
ACH-000009,-0.6574363508810446
ACH-000011,-0.4948264529837502
ACH-000012,-0.6288016169119457
ACH-000013,-0.7129924974584091
ACH-000014,-0.6384193273320738
ACH-000015,-0.5193701299090538
ACH-000017,-0.7553437240433114
ACH-000018,-0.6382959461860559
ACH-000019,-0.4315028317031285
ACH-000021,-0.6570348329442459
ACH-000022,-0.6983230569692048
ACH-000025,-0.5565371795577191
ACH-000028,-0.612954242874508
ACH-000030,-0.63436912413349
ACH-000035,-0.5995226807205932
ACH-000036,-0.4550532004557569
ACH-000037,-0.6561786387028584
ACH-000039,-0.650576968896155
ACH-000040,-0.6775064207871169
ACH-000041,-0.6414365491046764
ACH-000042,-0.519633911205705
ACH-000045,-0.6978879751936854
ACH-000047,-0.6241545812650166
ACH-000052,-0.6644604904337001
ACH-000053,-0.6452071809763147
ACH-000054,-0.6906639311579293
ACH-000055,-0.6646010381152684
ACH-000060,-0.5163749106127842
ACH-000067,-0.5907926512367941
ACH-000070,-0.5996664682816811
ACH-000075,-0.5410126306085647
ACH-000078,-0.4568950423699011
ACH-000082,-0.5201017028655599
ACH-000085,-0.5933868500625734
ACH-000086,-0.5205381005048718
ACH-000087,-0.5775959925569238
ACH-000092,-0.6530767541427206
ACH-000095,-0.7886959167099733
ACH-000097,-0.6124913399138486
ACH-000098,-0.6504976528204055
ACH-000099,-0.4747010850513181
ACH-000108,-0.6179810457689002
ACH-000113,-0.6389759001744182
ACH-000116,-0.6313969999186305
ACH-000118,-0.5517839723653948
ACH-000120,-0.5737040154053941
ACH-000123,-0.5679047056069534
ACH-000127,-0.5394302037124818
ACH-000128,-0.7994587638161309
ACH-000132,-0.4733974626413172
ACH-000133,-0.5753576027841202
ACH-000137,-0.6157544792322138
ACH-000138,-0.7836505425321472
ACH-000142,-0.6636340293145702
ACH-000143,-0.5300287615028594
ACH-000146,-0.5928005773407169
ACH-000148,-0.8317353930268205
ACH-000150,-0.6924650366123195
ACH-000152,-0.7146938812037923
ACH-000153,-0.4867235137351552
ACH-000159,-0.6596983033789057
ACH-000160,-0.7766407272317514
ACH-000163,-0.6734139998042915
ACH-000167,-1.3064518661579743
ACH-000168,-0.6729314335973947
ACH-000169,-0.6026410865180669
ACH-000178,-0.5756401112462463
ACH-000183,-0.7307470815541007
ACH-000188,-0.6067928647359356
ACH-000189,-0.7332455357409489
ACH-000190,-0.5546370697696585
ACH-000198,-0.5866797086011662
ACH-000203,-0.6216801943831268
ACH-000204,-0.5738804519047501
ACH-000206,-0.4262944633364668
ACH-000207,-0.5497855117111117
ACH-000208,-0.5635675673338085
ACH-000210,-0.6626120128110009
ACH-000211,-0.6629905394922785
ACH-000215,-0.5559003258003336
ACH-000221,-0.6374632841987989
ACH-000222,-0.6477654403692252
ACH-000223,-0.5570951698515307
ACH-000226,-0.5508932272712369
ACH-000227,-0.6267382289417786
ACH-000228,-0.5915653394166911
ACH-000231,-0.6996917941972192
ACH-000232,-0.464360250495332
ACH-000233,-0.6598324443503152
ACH-000234,-0.4749712694268722
ACH-000235,-0.6213065946364392
ACH-000237,-0.6411411424600709
ACH-000238,-0.8711098580983667
ACH-000242,-0.669209418941997
ACH-000243,-0.6147226706524442
ACH-000244,-0.6193336239166118
ACH-000246,-0.5928080943355288
ACH-000248,-0.7327048653358785
ACH-000250,-0.524407285751219
ACH-000251,-0.5924227311409573
ACH-000252,-0.3454305770018847
ACH-000253,-0.5220101607649033
ACH-000255,-0.49884697478845
ACH-000256,-0.7966015722033402
ACH-000257,-0.5247516963291629
ACH-000258,-0.8002015787441222
ACH-000259,-0.6683340999818334
ACH-000260,-0.4761342797363905
ACH-000261,-0.4953416892535714
ACH-000262,-0.4543526517191202
ACH-000263,-0.6965046718154365
ACH-000264,-0.8197723103900711
ACH-000265,-0.4613085036894402
ACH-000266,-0.5279627813964095
ACH-000272,-0.6615756966090209
ACH-000274,-0.7578954837734094
ACH-000277,-0.5051952460489042
ACH-000278,-0.5089680334092215
ACH-000279,-0.8621196924339584
ACH-000280,-0.4380565548926376
ACH-000281,-0.6039120976848935
ACH-000288,-0.7755696126838248
ACH-000291,-0.6536916274534934
ACH-000293,-0.6493688678496335
ACH-000294,-0.8455814486498382
ACH-000295,-0.8423427738062602
ACH-000296,-0.4515792968359354
ACH-000302,-0.4900803289192813
ACH-000304,-0.7285530834795586
ACH-000307,-0.5800644026181397
ACH-000308,-0.5785364211817953
ACH-000310,-0.7000084482151743
ACH-000311,-0.599165808268114
ACH-000312,-0.560393788041799
ACH-000315,-0.6700412935053901
ACH-000316,-0.7012027928290379
ACH-000317,-0.5763079221731697
ACH-000318,-0.4773387310497384
ACH-000319,-0.6607686931726656
ACH-000320,-0.5343570865167999
ACH-000322,-0.4639982113829964
ACH-000323,-0.7816626799405896
ACH-000324,-0.5835303197094783
ACH-000329,-0.5872311670242526
ACH-000330,-0.5569934537195679
ACH-000331,-0.442838085618017
ACH-000332,-0.5017389965261486
ACH-000334,-0.8812394240408348
ACH-000335,-0.6602016939072904
ACH-000336,-0.9322932675057776
ACH-000337,-0.6905027247676062
ACH-000338,-0.1959132098042556
ACH-000339,-0.7903924658407443
ACH-000341,-0.4926941191743631
ACH-000348,-0.5230091736274316
ACH-000350,-0.5399950190142195
ACH-000352,-0.5915404095136364
ACH-000356,-0.5005840981414494
ACH-000361,-0.6500764474501926
ACH-000362,-0.6300376020168699
ACH-000363,-0.5941649940034426
ACH-000364,-0.4992280384392146
ACH-000365,-0.8252260644367441
ACH-000366,-0.5461559529851387
ACH-000368,-0.4441452060025952
ACH-000374,-0.6396763939649023
ACH-000375,-0.7913893184646525
ACH-000376,-0.4913107049287156
ACH-000381,-0.5450722511389624
ACH-000383,-0.7894224280914095
ACH-000387,-0.6025007214356579
ACH-000389,-0.5297424365036222
ACH-000390,-0.7815666768768262
ACH-000393,-0.545962166885438
ACH-000395,-0.3881594327127556
ACH-000396,-0.7049950493639047
ACH-000397,-0.5618101359477067
ACH-000401,-0.7771143236918352
ACH-000402,-0.36851763546750027
ACH-000403,-0.6459539112126059
ACH-000404,-0.7059725534646341
ACH-000406,-0.7801989698501222
ACH-000407,-0.6142084345221062
ACH-000408,-0.4799199868192846
ACH-000410,-0.392390389724949
ACH-000411,-0.6463476377042905
ACH-000414,-0.7381062680005079
ACH-000415,-0.9981140088876554
ACH-000416,-0.6802686153447475
ACH-000420,-0.436775895951268
ACH-000421,-0.4997689690657157
ACH-000424,-0.7156202437416374
ACH-000425,-0.485707230654501
ACH-000426,-0.8748817494817958
ACH-000427,-0.6603623868271628
ACH-000433,-0.4847298198202187
ACH-000435,-0.6073196578718907
ACH-000436,-0.602955849745765
ACH-000444,-0.4215232102372757
ACH-000445,-0.5913338275255726
ACH-000448,-0.5826814457552968
ACH-000450,-0.6367478264889451
ACH-000452,-0.7323862583330971
ACH-000454,-0.34867934110405363
ACH-000458,-0.4681468703086272
ACH-000459,-0.4775401531048194
ACH-000460,-0.4815017184141021
ACH-000461,-0.5251324929812997
ACH-000463,-0.4533622735130378
ACH-000464,-0.4856090379030029
ACH-000466,-0.6846754994113134
ACH-000467,-0.5189555236458555
ACH-000468,-0.7537609198818852
ACH-000469,-0.5561057141124359
ACH-000470,-0.6223956701077715
ACH-000471,-0.6615522505643073
ACH-000472,-0.7244594245290625
ACH-000473,-0.5628239925432352
ACH-000475,-0.4305662617722092
ACH-000476,-0.5400358941531449
ACH-000477,-0.27891555889785696
ACH-000479,-0.4072929482289814
ACH-000480,-0.4509802779628554
ACH-000481,-0.6368340206100934
ACH-000483,-0.3682876790618879
ACH-000484,-0.42768219930103096
ACH-000485,-0.5524560502103432
ACH-000486,-0.4515490008064131
ACH-000487,-0.6419832696018544
ACH-000488,-0.5801131912604722
ACH-000490,-0.6002302131639697
ACH-000491,-0.7508887103063644
ACH-000495,-0.6531933273256229
ACH-000496,-0.5257491574085787
ACH-000499,-0.6297337258537236
ACH-000500,-0.33416915813643744
ACH-000502,-0.5582681647423302
ACH-000503,-0.6044738137844197
ACH-000505,-0.5878148437637857
ACH-000507,-0.584599227141752
ACH-000510,-0.5507777570112456
ACH-000511,-0.4803143224490545
ACH-000512,-0.6120885769784824
ACH-000516,-0.5682282740067077
ACH-000517,-0.5782007037565665
ACH-000518,-0.6309736401743504
ACH-000520,-0.5831502978946904
ACH-000521,-0.7310312523828781
