,TPT1 (7178)
ACH-000004,-0.5485420043943608
ACH-000005,-0.7126295382037324
ACH-000007,-0.9450489596231068
ACH-000009,-0.7845290253067824
ACH-000011,-0.7270358236767479
ACH-000012,-0.6480537336189351
ACH-000013,-0.7810429987064191
ACH-000014,-0.5951432812434262
ACH-000015,-0.8830333864068316
ACH-000017,-0.4424910346116451
ACH-000018,-0.7499961896659143
ACH-000019,-0.6589479763580062
ACH-000021,-0.6103457011901171
ACH-000022,-0.7550237054961507
ACH-000025,-0.6442234626922271
ACH-000028,-0.5317970447420429
ACH-000030,-0.7758121939511186
ACH-000035,-0.7557722654603065
ACH-000036,-0.6376064035416047
ACH-000037,-1.032851702507362
ACH-000039,-0.8296758099200571
ACH-000040,-0.7756486932506609
ACH-000041,-0.8291546791729536
ACH-000042,-0.6859043170647733
ACH-000045,-0.5832618842575125
ACH-000047,-0.5618805354510047
ACH-000052,-0.7552122344092431
ACH-000053,-0.4822975352346823
ACH-000054,-0.621974309826348
ACH-000055,-0.8627113637192997
ACH-000060,-0.7889391365894394
ACH-000067,-0.8119832752215284
ACH-000070,-0.6747858443445135
ACH-000075,-0.5795801142986978
ACH-000078,-0.5221133158046926
ACH-000082,-0.68482444201891
ACH-000085,-0.8385246359806675
ACH-000086,-0.7788201860710237
ACH-000087,-0.8987330291975986
ACH-000092,-0.6712921167666488
ACH-000095,-0.7044566842077218
ACH-000097,-0.6154744226223973
ACH-000098,-0.7572791748762505
ACH-000099,-0.8683425871914751
ACH-000108,-0.7532074256300797
ACH-000113,-0.5050980711911921
ACH-000116,-0.6721161784155576
ACH-000118,-0.7081842658627225
ACH-000120,-0.7802518755503112
ACH-000123,-0.6289451112903008
ACH-000127,-0.7661094376037098
ACH-000128,-0.8793230580050281
ACH-000132,-0.8027765689162855
ACH-000133,-0.937569922065038
ACH-000137,-0.6622110134241495
ACH-000138,-0.8592200700530455
ACH-000142,-0.5912415242165374
ACH-000143,-0.7622495940118474
ACH-000146,-0.6047835763567402
ACH-000148,-0.7334563552568059
ACH-000150,-0.6804361711420011
ACH-000152,-0.5190598955787645
ACH-000153,-0.4485921113776892
ACH-000159,-0.6949705418188067
ACH-000160,-0.6341004689694549
ACH-000163,-0.8580800884527969
ACH-000167,-0.8433729331849766
ACH-000168,-1.0049042740406784
ACH-000169,-0.8908959248752965
ACH-000178,-0.7530490267647748
ACH-000183,-0.8882329461330439
ACH-000188,-0.7496092118095763
ACH-000189,-0.5436517619774365
ACH-000190,-0.7535192300567861
ACH-000198,-0.6655781831419644
ACH-000203,-0.22745191919459415
ACH-000204,-0.4992386902198563
ACH-000206,-1.208890326636229
ACH-000207,-0.6586970932505596
ACH-000208,-1.2601336811318105
ACH-000210,-0.4745809781875935
ACH-000211,-0.7426693245216455
ACH-000215,-0.7724875019272934
ACH-000221,-0.8149800272101059
ACH-000222,-0.8993931318056468
ACH-000223,-0.7012874259983539
ACH-000226,-0.6753947117620429
ACH-000227,-0.7724546809875639
ACH-000228,-0.6856090546189811
ACH-000231,-0.7749323677682978
ACH-000232,-0.8508540275314522
ACH-000233,-0.7326118195534813
ACH-000234,-0.6191296201851927
ACH-000235,-0.6674939612703891
ACH-000237,-0.7274116210030458
ACH-000238,-0.807553964664198
ACH-000242,-0.8579119253198624
ACH-000243,-0.7679783310012307
ACH-000244,-0.3819423122470149
ACH-000246,-0.6069028010787247
ACH-000248,-0.6232216345890147
ACH-000250,-0.8001365399200986
ACH-000251,-1.0968279053884749
ACH-000252,-0.8047141827341905
ACH-000253,-0.5354252305884468
ACH-000255,-0.8773271727883094
ACH-000256,-0.6229899861234072
ACH-000257,-0.6171303762982642
ACH-000258,-0.5822038569127396
ACH-000259,-0.7067774317760132
ACH-000260,-0.8536239200122695
ACH-000261,-0.7042148924019764
ACH-000262,-1.000824190267055
ACH-000263,-0.8268087570508998
ACH-000264,-0.6965264271229065
ACH-000265,-0.8540135693475941
ACH-000266,-0.6114410009662568
ACH-000272,-0.7438446431127552
ACH-000274,-0.4770607866610467
ACH-000277,-0.6394999124706641
ACH-000278,-0.7816548947670087
