,PPIL4 (85313)
ACH-000004,-0.8447210042560149
ACH-000005,-0.7431261076169021
ACH-000007,-0.5743422688960412
ACH-000009,-0.7879741507158485
ACH-000011,-0.9593898860750709
ACH-000012,-0.8756212910440864
ACH-000013,-0.8501255293067133
ACH-000014,-0.6452312305870981
ACH-000015,-0.6572344480100164
ACH-000017,-0.7735541605031586
ACH-000018,-0.6605854454341963
ACH-000019,-0.6218213896996327
ACH-000021,-0.7164447815195637
ACH-000022,-0.9223707560001598
ACH-000025,-0.7739476589027123
ACH-000028,-0.6421740978819475
ACH-000030,-1.0094882577276278
ACH-000035,-0.8338153691938384
ACH-000036,-0.9953692202766588
ACH-000037,-0.7597854537655255
ACH-000039,-0.7031759564846131
ACH-000040,-0.9354798599812846
ACH-000041,-0.8147169052442517
ACH-000042,-0.908756997085762
ACH-000045,-0.7122737880254739
ACH-000047,-0.9169315987541412
ACH-000052,-0.5786139450780944
ACH-000053,-0.8751806830558385
ACH-000054,-0.7736455872857909
ACH-000055,-0.6739143444560425
ACH-000060,-0.7623042665316772
ACH-000067,-0.8196432062597806
ACH-000070,-0.7658501134379708
ACH-000075,-1.1764177382448973
ACH-000078,-0.8838824990103096
ACH-000082,-1.1079712490477358
ACH-000085,-0.9096736937486044
ACH-000086,-0.7611111130156023
ACH-000087,-0.6010570219875023
ACH-000092,-0.8956516207092524
ACH-000095,-0.4518546622607757
ACH-000097,-0.6982686580385086
ACH-000098,-0.8134240136591668
ACH-000099,-0.7575826504009939
ACH-000108,-0.656026209183607
ACH-000113,-0.7190075861600842
ACH-000116,-0.9247992363162788
ACH-000118,-0.9177230580373308
ACH-000120,-0.8897698586644051
ACH-000123,-0.6488653803073001
ACH-000127,-0.7127528367613392
ACH-000128,-0.6582133209309267
ACH-000132,-0.7732042972065754
ACH-000133,-0.7323053595660269
ACH-000137,-0.7790781119259362
ACH-000138,-0.7882809885309398
ACH-000142,-0.9317425464468309
ACH-000143,-1.0663368863930145
ACH-000146,-0.3797356357508251
ACH-000148,-0.9093592024361388
ACH-000150,-0.5933560577043543
ACH-000152,-0.8870950099837573
ACH-000153,-0.6815931692561324
ACH-000159,-0.6882843426964262
ACH-000160,-0.7551915344215797
