,LOH12CR1 (118426)
ACH-000004,-0.3701513079439555
ACH-000005,-0.4239602408826328
ACH-000007,-0.4180051702293437
ACH-000009,-0.32377105269270345
ACH-000011,-0.3290335711787597
ACH-000012,-0.08239516558464073
ACH-000013,-0.24910229719372196
ACH-000014,-0.2440059332462912
ACH-000015,-0.30611820035705817
ACH-000017,-0.5174893049081775
ACH-000018,-0.1784832270432964
ACH-000019,-0.3677553519197718
ACH-000021,-0.3686261590889705
ACH-000022,-0.2152615593440183
ACH-000025,-0.36153754519697495
ACH-000028,-0.1478583295317115
ACH-000030,-0.2419843948445265
ACH-000035,-0.22432394744843945
ACH-000036,-0.32223251583921525
ACH-000037,-0.2959133302359979
ACH-000039,-0.3382173603883962
ACH-000040,-0.4403509880644151
ACH-000041,-0.2951791930490438
ACH-000042,-0.31165570005658005
ACH-000045,-0.2877916076304821
ACH-000047,-0.20971429413983853
ACH-000052,-0.3369631239081072
ACH-000053,-0.3383248407929517
ACH-000054,-0.4494824686222013
ACH-000055,-0.2252418915418163
ACH-000060,-0.3795683614912737
ACH-000067,-0.24058340222174265
ACH-000070,-0.30498593424791937
ACH-000075,-0.2737710939075892
ACH-000078,-0.3875481964967368
ACH-000082,-0.18838724626206446
ACH-000085,-0.4533841545644019
ACH-000086,-0.1968557269232818
ACH-000087,-0.1154746639838497
ACH-000092,-0.2700394955301456
ACH-000095,-0.2354333923754467
ACH-000097,-0.29457455542611605
ACH-000098,-0.12478485652344115
ACH-000099,-0.4665428443333046
ACH-000108,-0.32655150784526643
ACH-000113,-0.4599067983782179
ACH-000116,-0.24179061777813696
ACH-000118,-0.3181245596292656
ACH-000120,-0.28965879783039816
ACH-000123,-0.26375531781153605
ACH-000127,-0.2858330355553002
ACH-000128,-0.42096671363334137
ACH-000132,-0.2401075916967859
ACH-000133,-0.2794627058635925
ACH-000137,-0.18576078172932695
ACH-000138,-0.3381677451535659
ACH-000142,-0.4353396059989855
ACH-000143,-0.4448358389947713
ACH-000146,-0.2780695630335753
ACH-000148,-0.2765749477571706
ACH-000150,-0.2010763650852936
ACH-000152,-0.20808587634066586
ACH-000153,-0.2389213037817725
ACH-000159,-0.3840008463701354
ACH-000160,-0.30165564571686404
ACH-000163,-0.2149783409312248
ACH-000167,-0.5473341212449692
ACH-000168,-0.2537821551228705
ACH-000169,-0.3422662876163744
ACH-000178,-0.3415510845362021
ACH-000183,-0.2430704121985007
ACH-000188,-0.34059801955377633
ACH-000189,-0.3775942195674877
ACH-000190,-0.3924889591731703
ACH-000198,-0.38337381012498495
ACH-000203,-0.2403527940686404
ACH-000204,-0.4487583776718147
ACH-000206,-0.32706089126002885
ACH-000207,-0.2190718262704435
ACH-000208,-0.0756363686754456
ACH-000210,-0.15267724633981072
ACH-000211,-0.37523553881569066
ACH-000215,-0.30331016495833024
ACH-000221,-0.2515365529301041
ACH-000222,-0.2290082669408505
ACH-000223,-0.3419468197262289
ACH-000226,-0.15084687211336434
ACH-000227,-0.2924928836893492
ACH-000228,-0.21927036455403653
ACH-000231,-0.3512091990568658
ACH-000232,-0.44600862573557465
ACH-000233,-0.2424133011517212
ACH-000234,-0.4576733216057546
ACH-000235,-0.3021187523725864
ACH-000237,-0.2663614513806524
ACH-000238,-0.42252842648573735
ACH-000242,-0.4065164526198283
ACH-000243,-0.23810038116671275
ACH-000244,-0.36010911574898324
ACH-000246,-0.2426388328137567
ACH-000248,-0.2251860390760621
ACH-000250,-0.28568495497617125
ACH-000251,-0.4853946408680821
ACH-000252,-0.54266316341175
ACH-000253,-0.30529950161426955
ACH-000255,-0.2624106189192843
ACH-000256,-0.1635672365037085
ACH-000257,-0.2530869558446534
ACH-000258,-0.17903625678248947
ACH-000259,-0.3314936454577073
ACH-000260,-0.2615177651054541
ACH-000261,-0.2810906331801351
ACH-000262,-0.2967689676847827
ACH-000263,-0.3958525775426991
ACH-000264,-0.35896535146917125
ACH-000265,-0.13558866171636388
ACH-000266,-0.3152863994291405
ACH-000272,-0.4010228820859389
ACH-000274,-0.29148972960278546
ACH-000277,-0.3995280526308189
ACH-000278,-0.2228971228198276
ACH-000279,-0.32732218603648
ACH-000280,-0.21671458547985165
ACH-000281,-0.3272373074879347
ACH-000288,-0.3140768480629005
ACH-000291,-0.3735398662503031
ACH-000293,-0.1978740668299196
ACH-000294,-0.5631908476399863
ACH-000295,-0.7958856482638728
ACH-000296,-0.5872566489822049
ACH-000302,-0.25987077301912564
ACH-000304,-0.514742003122044
ACH-000307,-0.3274780719644089
ACH-000308,-0.2485424686058539
ACH-000310,-0.2888855885268901
ACH-000311,-0.2798166016922589
ACH-000312,-0.3102365188299895
ACH-000315,-0.03132541990475958
ACH-000316,-0.2781180478317781
ACH-000317,-0.4080193606265592
ACH-000318,-0.2582782863443331
ACH-000319,-0.4631975251433558
ACH-000320,-0.3808226829826621
ACH-000322,-0.14365443273638426
ACH-000323,-0.29680281078727183
ACH-000324,-0.3141602802646506
ACH-000329,-0.31755834431863617
ACH-000330,-0.4064576496142188
ACH-000331,-0.4136731975785056
ACH-000332,-0.2895969718646264
ACH-000334,-0.11168702058059707
ACH-000335,-0.34217614291365994
ACH-000336,-0.34025233506201913
ACH-000337,-0.2486142275180172
ACH-000338,-0.2719433884554915
ACH-000339,-0.38250189967291454
ACH-000341,-0.2111677789295568
ACH-000348,-0.34304239334280545
ACH-000350,-0.2885815199949571
ACH-000352,-0.250921870551684
ACH-000356,-0.28743678681592183
ACH-000361,-0.3421766620610151
ACH-000362,-0.36842738851724544
ACH-000363,-0.3598089528565929
ACH-000364,-0.18549591228675755
ACH-000365,-0.2690347799395588
ACH-000366,-0.28221641197378283
ACH-000368,-0.4210318099029035
ACH-000374,-0.32109359368269275
ACH-000375,-0.08445213803403932
ACH-000376,-0.2534976199160176
ACH-000381,-0.232820074954986
ACH-000383,-0.29581198787964885
ACH-000387,-0.3371912055404329
ACH-000389,-0.2251604441708732
ACH-000390,-0.2899644429449067
ACH-000393,-0.3419789174113224
ACH-000395,-0.2232712019480706
ACH-000396,-0.3218643575858258
ACH-000397,-0.2875620514141013
ACH-000401,-0.21721675835923754
ACH-000402,-0.44257551995518496
ACH-000403,-0.4279797860322671
ACH-000404,-0.4820356598923287
ACH-000406,-0.2554047405480958
