,DYNLRB1 (83658)
ACH-000004,-1.0759466731139038
ACH-000005,-0.9134086923599736
ACH-000007,-1.6141035619625168
ACH-000009,-1.2803719777124571
ACH-000011,-1.4160719481636788
ACH-000012,-1.2600363009620137
ACH-000013,-1.5245062034778711
ACH-000014,-1.305882763039066
ACH-000015,-1.323146444792913
ACH-000017,-1.2265929813907621
ACH-000018,-1.2062568421828943
ACH-000019,-1.3814287314255844
ACH-000021,-0.8913479731154399
ACH-000022,-1.2350204870690733
ACH-000025,-1.5278634531105053
ACH-000028,-1.3445618348111057
ACH-000030,-1.3624372467513672
ACH-000035,-1.041777715318677
ACH-000036,-1.3556477966005849
ACH-000037,-0.4814421530850151
ACH-000039,-1.1925477735920778
ACH-000040,-1.3449125744365478
ACH-000041,-1.147747087573458
ACH-000042,-1.4943985569412
ACH-000045,-1.372575027217904
ACH-000047,-1.4180518163400613
ACH-000052,-1.2799881495960783
ACH-000053,-1.2289642396180465
ACH-000054,-1.1300068814582434
ACH-000055,-1.4626167174112306
ACH-000060,-1.3063726270914888
ACH-000067,-1.3654622937153311
ACH-000070,-1.3249440277523965
ACH-000075,-1.5107210662819943
ACH-000078,-1.224631814599123
ACH-000082,-1.169772481681474
ACH-000085,-1.4492719741016935
ACH-000086,-1.2732633136029168
ACH-000087,-1.2425720072988198
ACH-000092,-0.9524746706216588
ACH-000095,-1.478721939296863
ACH-000097,-1.2218621288278548
ACH-000098,-1.4350220038501558
ACH-000099,-1.4591040134487705
ACH-000108,-1.1802577627923672
ACH-000113,-1.1824212771237954
ACH-000116,-1.2608825825510317
ACH-000118,-1.3718257969017245
ACH-000120,-1.332482151512291
ACH-000123,-1.1443916641862648
ACH-000127,-1.3692089614029852
ACH-000128,-1.3605638967541116
ACH-000132,-0.7468203107298849
ACH-000133,-1.2890587817543506
ACH-000137,-1.449385852003221
ACH-000138,-1.5188593406462567
ACH-000142,-1.1973144890538152
ACH-000143,-1.35074930377188
ACH-000146,-1.1369725445036367
ACH-000148,-1.5348773622634402
ACH-000150,-1.32367246845848
ACH-000152,-1.3563089365835002
ACH-000153,-1.5132404969868225
ACH-000159,-0.9006123497816539
ACH-000160,-1.9310981971747088
ACH-000163,-1.0385139632576377
ACH-000167,-1.9958016193830797
ACH-000168,-0.8585550029040517
ACH-000169,-1.3483674212825472
ACH-000178,-1.2318664121002694
