,ATIC (471)
ACH-000004,-0.6539549282732787
ACH-000005,-0.6097300036636948
ACH-000007,-0.689047642448647
ACH-000009,-0.38450379186458944
ACH-000011,-0.3859485868634239
ACH-000012,-0.33375058367494503
ACH-000013,-0.1336573095850885
ACH-000014,-0.4677290323974525
ACH-000015,-0.30493941556725473
ACH-000017,-0.7144819496943147
ACH-000018,-0.5667947059995698
ACH-000019,-0.646351270219344
ACH-000021,-0.2821908578599028
ACH-000022,-0.3959615261682388
ACH-000025,-0.4093976712091441
ACH-000028,-0.3881943644508559
ACH-000030,-0.8311321550305913
ACH-000035,-0.12875761915265624
ACH-000036,-0.08881380915695067
ACH-000037,-0.5754827576064642
ACH-000039,-0.28496472891242475
ACH-000040,-0.3259699020724505
ACH-000041,-0.3220031316369001
ACH-000042,-0.28301704001440675
ACH-000045,-0.3999282696239568
ACH-000047,-0.6706242592339022
ACH-000052,-0.2295272470342269
ACH-000053,-0.6134668248532251
ACH-000054,-0.07713053660110282
ACH-000055,0.12870758499674964
ACH-000060,-0.1668918946486324
ACH-000067,-0.4276783911126362
ACH-000070,-0.7071347497313671
ACH-000075,-0.3234749186788723
ACH-000078,-0.0979240969545866
ACH-000082,-0.34996484850425336
ACH-000085,-0.16218726572112035
ACH-000086,-0.22460586725573636
ACH-000087,-0.5417413396905922
ACH-000092,-0.27795704275220984
ACH-000095,-0.05416288734061412
ACH-000097,-0.5244747940985794
ACH-000098,-0.32571499378687274
ACH-000099,-0.3020439374912745
ACH-000108,-0.7452750650517166
ACH-000113,0.08714827038787082
ACH-000116,-0.2623805445915521
ACH-000118,0.017013081649405418
ACH-000120,0.07707921663828463
ACH-000123,-0.13524996377365148
ACH-000127,-0.5973069357632366
ACH-000128,-0.1870544443488635
ACH-000132,-0.19582179611608566
ACH-000133,-0.24302352978695801
ACH-000137,-0.3264161783467429
ACH-000138,-0.5785657408767984
ACH-000142,-0.4408859331492785
ACH-000143,-0.3138413023992179
ACH-000146,-0.3960249233837036
ACH-000148,-0.19804375953257747
ACH-000150,-0.10390767309309812
ACH-000152,-0.36007604972785745
ACH-000153,-0.3144673648252455
ACH-000159,-0.6185380640462081
ACH-000160,-0.29244150317654577
ACH-000163,-0.1769500427004807
ACH-000167,-0.3655448730121032
ACH-000168,-0.11403345918747113
ACH-000169,-0.04315195294701557
ACH-000178,-0.5143608293845299
ACH-000183,-0.7384903777887362
ACH-000188,-0.024334787563916813
ACH-000189,-0.29469857528082183
ACH-000190,-0.1889148793150044
ACH-000198,-0.6008522508000155
ACH-000203,-0.22103037996991684
ACH-000204,-0.4756033086205906
ACH-000206,-0.5212222975932661
ACH-000207,-0.5420135973208712
ACH-000208,-0.3098775835719578
ACH-000210,-0.4627305090497447
ACH-000211,-0.1611606653447807
ACH-000215,-0.24412247311970325
ACH-000221,-0.06639489148125438
ACH-000222,-0.6277930046435566
ACH-000223,-0.5727252703826747
ACH-000226,-0.6256401637770319
ACH-000227,-0.3285353165962196
ACH-000228,-0.2329420493081476
ACH-000231,-0.17574211751622354
ACH-000232,-0.05384726058851759
ACH-000233,-0.7709762663450258
ACH-000234,-0.6574801756645461
ACH-000235,-0.7640476819674122
ACH-000237,-0.2360324119359629
ACH-000238,-0.3836663868373242
ACH-000242,-0.2227878074414305
ACH-000243,-0.39641247571086624
ACH-000244,-0.30935391113932065
ACH-000246,-0.11560257282252495
ACH-000248,-0.9355261549284132
ACH-000250,-0.3338638924792312
ACH-000251,-0.2544895393775469
ACH-000252,-0.08441278520317981
ACH-000253,-0.7980174965603447
ACH-000255,-0.027448236597451842
ACH-000256,-0.20085290008928855
ACH-000257,-0.7406523858329509
ACH-000258,-0.6865593008159304
ACH-000259,-0.21376429504254787
ACH-000260,-0.10898204040028127
ACH-000261,-0.14544495680050265
ACH-000262,-0.16997266933975513
ACH-000263,-0.5471275642354985
ACH-000264,-0.24026403150948936
ACH-000265,-0.20145542190429275
ACH-000266,-0.330131944165498
ACH-000272,-0.6004018276227885
ACH-000274,-0.31419160729650497
ACH-000277,-0.5625904287143766
ACH-000278,-0.3479878827135741
ACH-000279,-0.8994284934590853
ACH-000280,-0.13140234906174472
ACH-000281,-0.5052870116717945
ACH-000288,-0.14071714629879534
ACH-000291,-0.10869909464923247
ACH-000293,-0.4174088934984768
ACH-000294,-0.6532352919917825
ACH-000295,-0.515810632049165
ACH-000296,-0.3740374955326431
ACH-000302,-0.3137203183519431
ACH-000304,-0.4741408995817203
ACH-000307,-0.8985638787455295
ACH-000308,-0.36111127458681397
ACH-000310,-0.2336994118044185
ACH-000311,-0.6102474247580771
ACH-000312,-0.24226249368603855
ACH-000315,-0.907422840943094
ACH-000316,-0.4400955550591061
ACH-000317,-0.6075907313631971
ACH-000318,-0.6208387345397955
ACH-000319,-0.2638674104200737
ACH-000320,-0.3862924822818349
ACH-000322,-0.6155613027262904
ACH-000323,-0.28371532408617345
ACH-000324,-0.16391491721657234
ACH-000329,-0.34770258084294964
ACH-000330,-0.7511940181554371
ACH-000331,-0.10203116111969884
ACH-000332,-0.14819746416604246
ACH-000334,-0.37382044378651796
ACH-000335,-0.4961719138567791
ACH-000336,-0.14734484853139831
ACH-000337,-0.8091233950514242
ACH-000338,-0.7741218274542819
ACH-000339,-0.7337961464803862
ACH-000341,-0.2817815483248544
ACH-000348,-0.30197136774042793
ACH-000350,-0.19633608554239013
ACH-000352,-0.64870323029457
ACH-000356,-0.3854757669459442
ACH-000361,-0.15836117071928413
ACH-000362,-0.4179148090552025
ACH-000363,-0.5049768395773028
ACH-000364,-0.03738830356069499
ACH-000365,-0.7956051950007755
ACH-000366,-0.3764222188171255
ACH-000368,-0.2206199009808229
ACH-000374,-0.21782818593267192
ACH-000375,-0.5007397050649052
ACH-000376,-0.10186042410446723
ACH-000381,-0.5932607327602902
ACH-000383,-0.6746318559835691
ACH-000387,-0.8126796650610999
ACH-000389,-0.005290954814007021
ACH-000390,-0.7461532787076797
ACH-000393,-0.2606776076764342
ACH-000395,-0.7043252105770331
ACH-000396,-0.4652071640849663
ACH-000397,-0.26492661366475456
ACH-000401,-0.8286765654565468
ACH-000402,-0.4754678894616585
ACH-000403,-0.1973811319389528
ACH-000404,-0.8028257174616624
ACH-000406,-0.7753961795675866
ACH-000407,-0.19062761521539293
ACH-000408,-0.5269606721685685
ACH-000410,-0.323417925450607
ACH-000411,-0.9104301739271764
ACH-000414,-0.2890666033340188
ACH-000415,-0.16874882672485125
ACH-000416,-0.8477797342177777
ACH-000420,-0.259921131707861
ACH-000421,-0.5368956235727561
ACH-000424,-0.3570392957169173
ACH-000425,-0.423977638105228
ACH-000426,-0.1216760247830493
ACH-000427,-0.2674336592269577
ACH-000433,-0.10849558690260083
ACH-000435,-0.489209188141654
ACH-000436,-0.3712644644555037
ACH-000444,-0.21354611372078308
ACH-000445,-0.4128207211459325
ACH-000448,-0.6081762482090178
ACH-000450,-0.4324050681847669
ACH-000452,-0.35204510172717624
ACH-000454,-0.8313691214685687
ACH-000458,0.13093334894910966
ACH-000459,-0.5581318148411847
ACH-000460,-0.7139960285669916
ACH-000461,-0.5030154303669278
ACH-000463,-0.1892589909500446
ACH-000464,-0.3949418048814429
ACH-000466,-0.3665142031204604
ACH-000467,-0.6085447200172834
ACH-000468,-0.3446207746321474
ACH-000469,-0.08952414154871595
ACH-000470,-0.21061845454447187
ACH-000471,-0.4421147334716493
ACH-000472,-0.3387478821418727
ACH-000473,-0.09064651594617168
ACH-000475,-0.5196828161282028
ACH-000476,-0.2962650025899202
ACH-000477,-0.4761603762456662
ACH-000479,-0.5669722096893276
ACH-000480,-0.08492317585790977
ACH-000481,-0.33244106031392545
