,ISY1 (57461)
ACH-000004,-1.0166784507951414
ACH-000005,-0.7832530345044756
ACH-000007,-0.9086051077800512
ACH-000009,-0.8061383348135724
ACH-000011,-0.9509473734073198
ACH-000012,-0.9633378980774776
ACH-000013,-0.8474026161834284
ACH-000014,-0.961547484525664
ACH-000015,-0.914897824043341
ACH-000017,-1.2352140231727158
ACH-000018,-0.8535758111020287
ACH-000019,-0.8918809253206939
ACH-000021,-1.1138103950403553
ACH-000022,-0.7869446742887931
ACH-000025,-0.9313058901553922
ACH-000028,-0.8190695917893722
ACH-000030,-0.851138568382379
ACH-000035,-1.0699645877187602
ACH-000036,-0.9695124427180836
ACH-000037,-0.8413379740770165
ACH-000039,-0.8648685418824037
ACH-000040,-0.8860479627458834
ACH-000041,-1.0157175219713401
ACH-000042,-0.8409212868722031
ACH-000045,-0.9831118354496972
ACH-000047,-1.0567207818069533
ACH-000052,-1.0996961524135844
ACH-000053,-0.9501907733384692
ACH-000054,-0.8746186492662513
ACH-000055,-1.0059014079854518
ACH-000060,-0.8937768177314633
ACH-000067,-0.9987700446078152
ACH-000070,-1.0288015310049459
ACH-000075,-1.0112414731455028
ACH-000078,-0.8547747953245635
ACH-000082,-1.129634159333508
ACH-000085,-0.8549434793828008
ACH-000086,-0.8769120474633074
ACH-000087,-1.0275379454336335
ACH-000092,-0.8977774493597518
ACH-000095,-1.1071878637445325
ACH-000097,-0.9735053104411576
ACH-000098,-0.8463819852159548
ACH-000099,-0.9679838379033304
ACH-000108,-0.9296692810579849
ACH-000113,-1.0479113715050052
ACH-000116,-1.053287340130013
ACH-000118,-0.8708061723566725
ACH-000120,-0.9393922536576758
ACH-000123,-1.0132473323614537
ACH-000127,-0.8399395561948978
ACH-000128,-0.856761994138999
ACH-000132,-1.3201895325200437
ACH-000133,-0.9207059625959296
ACH-000137,-0.9269996535663708
ACH-000138,-0.7972349071684756
ACH-000142,-0.8643891373662393
ACH-000143,-1.0930275963427236
ACH-000146,-0.9097720469342202
ACH-000148,-0.8852819587482149
ACH-000150,-1.0337906316691192
ACH-000152,-0.9403974619876232
ACH-000153,-1.0447854572623712
ACH-000159,-1.1129097172803726
ACH-000160,-0.9971708641575514
ACH-000163,-0.6958360251975673
ACH-000167,0.5595653958920265
ACH-000168,-0.8655997173683289
ACH-000169,-0.9887092591571308
ACH-000178,-0.905125156668768
ACH-000183,-1.0953835662071811
ACH-000188,-0.9557682659446785
ACH-000189,-0.7484827974995354
ACH-000190,-1.0758240819352658
ACH-000198,-0.9822988278740176
ACH-000203,-1.0762601833970151
ACH-000204,-0.9988647240345212
ACH-000206,-0.9045486492277646
ACH-000207,-0.9822160227791256
ACH-000208,-0.9272069974102656
ACH-000210,-1.11718096470727
ACH-000211,-0.7665286143348159
ACH-000215,-1.0086318728872514
ACH-000221,-1.121462242623498
ACH-000222,-0.9241705269866576
ACH-000223,-0.9390145651079124
ACH-000226,-0.8224971039891892
ACH-000227,-1.190060526807372
ACH-000228,-1.0247652124540094
ACH-000231,-1.095011885643453
ACH-000232,-1.2047949355598775
ACH-000233,-0.8665999225092931
ACH-000234,-1.0491546011441757
ACH-000235,-0.9487250643001164
ACH-000237,-0.983318467573317
ACH-000238,-0.6800048622584879
ACH-000242,-0.7976306874774883
ACH-000243,-0.7464850811607062
ACH-000244,-0.8798222005659312
ACH-000246,-0.8913685741776806
ACH-000248,-1.1240019048399232
ACH-000250,-1.0109336271612033
ACH-000251,-0.8148493289340927
ACH-000252,-0.9915555287091252
ACH-000253,-0.9286977327198844
ACH-000255,-0.8903159666819387
ACH-000256,-0.929805293656245
ACH-000257,-1.0499238596135818
ACH-000258,-0.9384044958937572
ACH-000259,-0.9245413136087256
ACH-000260,-0.9506577259962288
ACH-000261,-0.8677483498748549
ACH-000262,-0.8122352174731201
ACH-000263,-1.1569801541485574
ACH-000264,-1.1942847540307036
ACH-000265,-0.908532889737988
ACH-000266,-0.9559540916026544
ACH-000272,-0.870368978724485
ACH-000274,-1.004815028382768
ACH-000277,-0.9251031846869084
ACH-000278,-0.9604991976862683
ACH-000279,-1.3385257314016186
ACH-000280,-0.9164486048588134
ACH-000281,-1.090549940962975
ACH-000288,-0.9712687300092172
ACH-000291,-1.0146993125535748
ACH-000293,-0.8657163723513341
ACH-000294,-0.83813225509437
ACH-000295,-0.8737458460246407
ACH-000296,-0.7778679087578164
ACH-000302,-1.0817845804866724
ACH-000304,-0.8366551562819106
ACH-000307,-0.7982277611559637
ACH-000308,-0.9755796572759624
ACH-000310,-1.04842316538726
ACH-000311,-0.9160556608137216
ACH-000312,-0.8765781543068868
ACH-000315,-1.015447337427149
ACH-000316,-0.8034471627033122
ACH-000317,-0.9498056077428956
ACH-000318,-1.0085052350081474
ACH-000319,-0.9343495972279976
ACH-000320,-0.8847095820946177
ACH-000322,-1.0360070048741583
ACH-000323,-0.962135345540872
ACH-000324,-0.9558402410779508
ACH-000329,-0.9019987265250864
ACH-000330,-0.801805398690415
ACH-000331,-0.9799308412540836
ACH-000332,-0.8138643454269875
ACH-000334,-1.1613801110619613
ACH-000335,-0.8673479367367939
ACH-000336,-1.072727361369337
ACH-000337,-0.9098135765568692
ACH-000338,-0.5642774513097386
ACH-000339,-0.9654956757904438
ACH-000341,-0.9146094348403536
ACH-000348,-0.7956409487380979
ACH-000350,-0.7595126197404328
ACH-000352,-1.0756094836339969
ACH-000356,-0.9681389647685628
ACH-000361,-0.8625471774832386
ACH-000362,-0.9916735325242132
ACH-000363,-0.9904581407186672
ACH-000364,-1.0189834138142522
ACH-000365,-1.1992658749946916
ACH-000366,-1.0757622922932923
ACH-000368,-0.8164705021427571
ACH-000374,-0.9396478393287396
ACH-000375,-1.0393467404645476
ACH-000376,-0.9486675130165648
ACH-000381,-0.8602606220310368
ACH-000383,-0.9363172315779408
ACH-000387,-1.1303268723950848
ACH-000389,-0.9330658756882628
ACH-000390,-1.1111283576716546
ACH-000393,-0.9807692267385764
ACH-000395,-0.9129936244161594
