,LIN28B (389421)
ACH-000004,-0.05719820929727496
ACH-000005,0.039373800896737116
ACH-000007,-0.1113814403355107
ACH-000009,-0.2948505295270246
ACH-000011,-0.08051312795517777
ACH-000012,0.035120455351957965
ACH-000013,0.04612894788423642
ACH-000014,-0.048970457499966834
ACH-000015,-0.15833657940314902
ACH-000017,0.11601869325258288
ACH-000018,-0.09477694732562024
ACH-000019,0.12390483520533115
ACH-000021,-0.210137294334834
ACH-000022,0.01634537290411616
ACH-000025,-0.10628630170654174
ACH-000028,-0.021420287455238256
ACH-000030,-0.03101429845272965
ACH-000035,-0.015790261083967753
ACH-000036,-0.017262406045009226
ACH-000037,-0.04557655572546334
ACH-000039,-0.27847531900282785
ACH-000040,0.06515155455306151
ACH-000041,-0.2448592995575428
ACH-000042,-0.0719489637589731
ACH-000045,0.03807898703792526
ACH-000047,-0.3434543245050872
ACH-000052,-0.2053144399118044
ACH-000053,-0.035860134591490934
ACH-000054,-0.028244103468018412
ACH-000055,-0.09706241515552937
ACH-000060,-0.17003658525238394
ACH-000067,-0.05973544801965627
ACH-000070,-0.12041955885616025
ACH-000075,-0.12706184701782616
ACH-000078,-0.43133529323666403
ACH-000082,0.0007223609493570933
ACH-000085,0.05744342403856916
ACH-000086,-0.11019504870182176
ACH-000087,-0.31603563194696976
ACH-000092,-0.08969144098315009
ACH-000095,-0.2725594823117423
ACH-000097,-0.03136161551985929
ACH-000098,0.015360644421597071
ACH-000099,-0.3650746925397333
ACH-000108,-0.037082792742467285
ACH-000113,-0.2712941114084962
ACH-000116,-0.07140615327910771
ACH-000118,0.013550331031809656
ACH-000120,-0.2477985058244655
ACH-000123,-0.16764302467168912
ACH-000127,-0.0512964380281647
ACH-000128,-0.07314229599901627
ACH-000132,-0.03840465081596088
ACH-000133,0.02063877447164935
ACH-000137,-0.03891395202160075
ACH-000138,-0.10617242940111092
ACH-000142,0.023074533953966227
ACH-000143,-0.4824558618074714
ACH-000146,-0.027066835911021197
ACH-000148,-0.004981788369872997
ACH-000150,0.05915620681219695
ACH-000152,-0.04580468851434714
ACH-000153,0.038633995638353284
ACH-000159,-0.026152680585580804
ACH-000160,0.02194105007916046
ACH-000163,0.0016270766226812012
ACH-000167,0.034727142716612404
ACH-000168,-0.2321014639615984
ACH-000169,-0.05503361370567077
ACH-000178,-0.04694866164957556
