,DYNLL1 (8655)
ACH-000004,-0.5027732065487308
ACH-000005,-0.3749435578940999
ACH-000007,-0.4667431480097222
ACH-000009,-0.24636637354131705
ACH-000011,-0.6416432083160095
ACH-000012,-0.2043345794467381
ACH-000013,0.07646422135819547
ACH-000014,-0.3744791308253248
ACH-000015,-0.5175754654933853
ACH-000017,-0.3005334372370543
ACH-000018,-0.5996918017324051
ACH-000019,-0.2900847733996373
ACH-000021,-0.334730882242085
ACH-000022,-0.4389116994170759
ACH-000025,-0.7082402854963437
ACH-000028,-0.13617012218726973
ACH-000030,-0.42265381194162704
ACH-000035,-0.31233564082236165
ACH-000036,-0.2696222974231367
ACH-000037,-0.5523253379307485
ACH-000039,-0.4041826369715179
ACH-000040,-0.8945106605948426
ACH-000041,-0.5333176012101918
ACH-000042,-0.5397632824434142
ACH-000045,-0.639795315460005
ACH-000047,-0.6053067352789623
ACH-000052,-0.567224661947604
ACH-000053,0.014325750137276263
ACH-000054,-0.5336799203560771
ACH-000055,-0.336755944931129
ACH-000060,-0.8146405823801466
ACH-000067,-0.4473566250250637
ACH-000070,-0.6787086039939202
ACH-000075,-0.48295087656607
ACH-000078,-0.2102162226010276
ACH-000082,-0.6031065537273027
ACH-000085,-0.4131274057709861
ACH-000086,-0.8928701730307436
ACH-000087,-0.4528685387692829
ACH-000092,-0.43783761540126
ACH-000095,-0.3510388319936273
ACH-000097,-0.07613839822473695
ACH-000098,-0.3988051300239132
ACH-000099,-0.2415043099090549
ACH-000108,-0.5181288274829903
ACH-000113,-0.7404653398338309
ACH-000116,-0.3022280369674073
ACH-000118,-0.3863379720568322
ACH-000120,-0.42382979247423824
ACH-000123,-0.6648768328287278
ACH-000127,-0.4385686351775516
ACH-000128,-0.2690783694418036
ACH-000132,-0.07623439877282953
ACH-000133,-0.4212295209689329
ACH-000137,-0.4745507383792842
ACH-000138,-0.5788620117185169
ACH-000142,-0.6140163828018438
ACH-000143,-0.43110144055111793
ACH-000146,-0.4677479871479625
ACH-000148,-0.6342760343395796
ACH-000150,-0.8182506285007802
ACH-000152,-0.6181236110580806
ACH-000153,-0.4513144168773474
ACH-000159,-0.3328474770914291
ACH-000160,-0.04107489167286179
ACH-000163,-0.601348345769855
ACH-000167,-0.06660348538743545
ACH-000168,-0.4640537080215173
ACH-000169,-0.5077123870227589
ACH-000178,-0.7616094328608589
ACH-000183,0.09173088234066963
ACH-000188,-0.4508094015472328
ACH-000189,-0.17554969052548844
ACH-000190,0.0249658683438336
ACH-000198,-0.2959149284057746
ACH-000203,-0.39688482900580585
ACH-000204,-0.1891066462131778
ACH-000206,-0.6348651834937048
ACH-000207,-0.5287345859102662
ACH-000208,-0.4518224902580054
ACH-000210,-0.3102730742171089
ACH-000211,-0.3878829389923508
