,CELA1 (1990)
ACH-000004,-0.18128296651776304
ACH-000005,-0.11398596232781324
ACH-000007,-0.012172405940081015
ACH-000009,-0.2499287672714521
ACH-000011,-0.04213405816020914
ACH-000012,-0.17283556672781414
ACH-000013,-0.2467032575568281
ACH-000014,-0.2509299480896108
ACH-000015,-0.2751643943639085
ACH-000017,-0.19501784021971627
ACH-000018,-0.3273059592529879
ACH-000019,-0.09307452751273758
ACH-000021,-0.23891879517697734
ACH-000022,-0.17176253368146313
ACH-000025,-0.2481245153744463
ACH-000028,-0.28335867412584304
ACH-000030,-0.2610860913611856
ACH-000035,-0.2764971066942125
ACH-000036,-0.11585807724032658
ACH-000037,-0.1993659655474809
ACH-000039,-0.1467667618351344
ACH-000040,-0.2067974449031066
ACH-000041,-0.2967668233309768
ACH-000042,-0.15689696184731813
ACH-000045,-0.19875044682443185
ACH-000047,-0.2975697105544958
ACH-000052,-0.3730843994250037
ACH-000053,-0.2394129503258189
ACH-000054,-0.14700606957966034
ACH-000055,-0.30631290328925803
ACH-000060,-0.03986173933274422
ACH-000067,-0.34995668174410444
ACH-000070,-0.07682820370393675
ACH-000075,-0.19498272602894764
ACH-000078,-0.25420427404219004
ACH-000082,-0.105620821041518
ACH-000085,-0.15711916798736875
ACH-000086,-0.3711325808150855
ACH-000087,-0.4445911418122392
ACH-000092,-0.20382776113899048
ACH-000095,-0.09289382824323042
ACH-000097,-0.16926643522547594
ACH-000098,-0.1124316197476652
ACH-000099,-0.23632314765624826
ACH-000108,-0.09178687895942736
ACH-000113,-0.1698774804418052
ACH-000116,-0.08625106971962948
ACH-000118,-0.1550500618693417
ACH-000120,-0.054244869547333145
ACH-000123,-0.1739382351236574
ACH-000127,-0.19217566075822004
ACH-000128,-0.3454151723542517
ACH-000132,-0.029434682179399662
ACH-000133,-0.19386014282512504
ACH-000137,-0.3991343974480055
ACH-000138,-0.15580464782616615
ACH-000142,-0.20518609224823944
ACH-000143,-0.2818029514205528
ACH-000146,-0.22371819528284104
ACH-000148,-0.16592508323379698
ACH-000150,-0.11903087442543643
ACH-000152,-0.3788861539769525
ACH-000153,-0.3153428630394661
ACH-000159,-0.1737420658217503
ACH-000160,-0.1788305967865278
ACH-000163,-0.06348187956582667
ACH-000167,-0.251476024896644
ACH-000168,-0.03441111972606732
ACH-000169,-0.12696878448886986
ACH-000178,-0.18991119104383397
ACH-000183,-0.14953419787535213
ACH-000188,-0.12081362897693147
ACH-000189,-0.14607514605984773
ACH-000190,-0.11814034331032733
ACH-000198,-0.21451403579107645
ACH-000203,0.0724164776765044
ACH-000204,-0.022017794608430674
ACH-000206,-0.12015156755119195
ACH-000207,-0.2367025191518821
ACH-000208,0.043679848557328926
ACH-000210,-0.3863851449151239
ACH-000211,-0.08840559552761881
ACH-000215,-0.26582646424127776
ACH-000221,-0.15283238905091906
ACH-000222,0.06170460826077573
ACH-000223,-0.277326109808574
ACH-000226,-0.1809384176038399
ACH-000227,-0.12117703999074016
ACH-000228,-0.2675273991919209
ACH-000231,-0.22238212082149048
ACH-000232,-0.19901623912063246
ACH-000233,-0.08911818364042534
ACH-000234,-0.2922112561732279
ACH-000235,-0.13290100879912295
ACH-000237,-0.1483888713024303
ACH-000238,-0.2304829925668141
ACH-000242,-0.10941477498358147
ACH-000243,-0.1477820005597342
