,DAP3 (7818)
ACH-000004,-0.30402993298234915
ACH-000005,-0.7459038602331399
ACH-000007,-0.3120809820862668
ACH-000009,-0.595330803893442
ACH-000011,-0.13133192162580398
ACH-000012,-0.7258514235515411
ACH-000013,-0.4394383062924444
ACH-000014,-0.4942543174823861
ACH-000015,-0.5890712773886386
ACH-000017,-0.3438439700485991
ACH-000018,-0.5502625452894954
ACH-000019,-0.5760817802971485
ACH-000021,-0.41107525460834254
ACH-000022,-0.5615444349763024
ACH-000025,-0.5337421639007066
ACH-000028,-0.403616282813018
ACH-000030,-0.4638457333612101
ACH-000035,-0.6996965065178332
ACH-000036,-0.2591538024421345
ACH-000037,-0.5133816121407004
ACH-000039,-0.6124685820934568
ACH-000040,-0.25461838824537675
ACH-000041,-0.4307420069705409
ACH-000042,-0.2300988130452434
ACH-000045,-0.5236932617969983
ACH-000047,-0.5283615821148822
ACH-000052,-0.2909235531485468
ACH-000053,-0.35850338481067906
ACH-000054,-0.5036462003357209
ACH-000055,-0.5219882613620568
ACH-000060,-0.2631630173731433
ACH-000067,-0.2721607496358797
ACH-000070,-0.5017652630181691
ACH-000075,-0.3810723473208549
ACH-000078,-0.3681993481723945
ACH-000082,-0.29210476185118656
ACH-000085,-0.343400315687927
ACH-000086,-0.7574020866573149
ACH-000087,-0.3832991220678366
ACH-000092,-0.4083925630885486
ACH-000095,-0.241221661532409
ACH-000097,-0.2952754205664589
ACH-000098,-0.4694569246221437
ACH-000099,-0.3600850272050476
ACH-000108,-0.4583066964547193
ACH-000113,-0.4162835166865815
ACH-000116,-0.5331988950631272
ACH-000118,-0.6167450522020985
ACH-000120,-0.43026219649621816
ACH-000123,-0.4579624586771854
ACH-000127,-0.5479602016655217
ACH-000128,-0.683567895636944
ACH-000132,-0.4077039790425372
ACH-000133,-0.3787468841687738
ACH-000137,-0.35813687355991763
ACH-000138,-0.4485478538830645
ACH-000142,-0.33019914944233314
ACH-000143,-0.5692698510642633
