,NCR3LG1 (374383)
ACH-000004,-0.06318968111567476
ACH-000005,-0.07138678559968463
ACH-000007,-0.11702663551185795
ACH-000009,-0.24774057801237
ACH-000011,-0.24465926654347825
ACH-000012,-0.13684076033081893
ACH-000013,-0.18080991421690196
ACH-000014,-0.08658186228548907
ACH-000015,-0.016250595154827213
ACH-000017,-0.11271766665698993
ACH-000018,-0.20743046108887708
ACH-000019,-0.14071072696135664
ACH-000021,-0.02496491812765956
ACH-000022,-0.16844011645869536
ACH-000025,-0.2960328008074798
ACH-000028,-0.1440584492109061
ACH-000030,-0.24543296529620645
ACH-000035,0.006085900842269106
ACH-000036,-0.13877413656366272
ACH-000037,-0.1136202811267486
ACH-000039,-0.11398273739174485
ACH-000040,-0.234203239832466
ACH-000041,-0.14087097323146866
ACH-000042,-0.2582416999483302
ACH-000045,-0.1540857894736486
ACH-000047,-0.15527617871218527
ACH-000052,-0.21959598680499334
ACH-000053,-0.11597068647985186
ACH-000054,-0.04256862307641035
ACH-000055,0.08298509982029842
ACH-000060,-0.06657612066022345
ACH-000067,-0.06954673383382097
ACH-000070,-0.10259422050880984
ACH-000075,-0.1412177043164915
ACH-000078,-0.12293900002843422
ACH-000082,-0.0437943276949075
ACH-000085,-0.12184759206194372
ACH-000086,-0.08983518862473178
ACH-000087,-0.05393064624976218
ACH-000092,-0.06323426247206193
ACH-000095,-0.2338029592356226
ACH-000097,-0.12642500954656113
ACH-000098,-0.11674997597119705
ACH-000099,-0.22005246009350649
ACH-000108,-0.06614596080954772
ACH-000113,-0.11922353629113168
ACH-000116,-0.036194545065090816
ACH-000118,-0.07258139971222381
ACH-000120,-0.21778861625803836
ACH-000123,-0.15008824883382668
ACH-000127,-0.06400069786973593
ACH-000128,-0.2575035530523352
ACH-000132,-0.04021263116228322
ACH-000133,-0.25689010872510604
ACH-000137,-0.16064722575218382
ACH-000138,-0.16327959761936706
ACH-000142,-0.22787387714563714
ACH-000143,-0.19105178027019545
ACH-000146,-0.15597129839522794
ACH-000148,-0.13753606103507268
ACH-000150,-0.012711314986870446
ACH-000152,-0.15421869223554002
ACH-000153,0.0011790561152344044
ACH-000159,-0.11931045854086784
ACH-000160,0.01810521599612169
ACH-000163,-0.036412357928362775
ACH-000167,-0.04588784902272828
ACH-000168,-0.14705909336281106
ACH-000169,-0.14462548256428814
ACH-000178,-0.015357437988813004
ACH-000183,-0.015344632013710287
ACH-000188,-0.0879168974134964
ACH-000189,-0.1368032457973747
ACH-000190,0.07433766546841697
ACH-000198,-0.1546739741151932
ACH-000203,0.2864897207875774
ACH-000204,-0.3145473230117498
ACH-000206,-0.11873509190885913
ACH-000207,-0.008535905416890283
ACH-000208,-0.1724734847692784
ACH-000210,-0.3788501444290061
ACH-000211,-0.12081008746743725
ACH-000215,-0.17581771400317195
ACH-000221,-0.14917320428437067
ACH-000222,-0.1205522438017189
ACH-000223,-0.1894579580819112
ACH-000226,-0.13469695260520256
ACH-000227,-0.3244157818609738
ACH-000228,-0.21191387271400156
ACH-000231,-0.16654088153406155
ACH-000232,-0.17493098021535153
ACH-000233,0.012642354056139506
ACH-000234,-0.15566883046484475
ACH-000235,-0.1077230347498976
ACH-000237,-0.1855568774921658
ACH-000238,-0.17438275134398576
ACH-000242,-0.15366586767059545
ACH-000243,-0.08895320696018379
ACH-000244,-0.0972323555245049
ACH-000246,-0.0796905047004163
ACH-000248,0.05664918778086073
ACH-000250,-0.07746998084464303
ACH-000251,0.020793476288759244
ACH-000252,-0.2351680739455997
ACH-000253,-0.15542688011881478
ACH-000255,-0.3695615380118924
ACH-000256,-0.18225645164197796
ACH-000257,-0.3814022909973621
ACH-000258,-0.10503676229580362
ACH-000259,-0.2476942895683029
ACH-000260,-0.12581340709165362
ACH-000261,-0.11546458441961673
ACH-000262,-0.11149701455941607
ACH-000263,-0.19078371863167626
ACH-000264,0.007039604804008106
ACH-000265,-0.04709453869394395
ACH-000266,-0.10450751664928518
ACH-000272,-0.1438233647749398
ACH-000274,-0.12449350302712485
ACH-000277,-0.14341343779748605
ACH-000278,-0.2909345941128277
ACH-000279,-0.12966705618753288
ACH-000280,0.00798893059731668
ACH-000281,-0.1930018867196389
ACH-000288,-0.08942729971643776
ACH-000291,-0.15494894660375938
ACH-000293,-0.14448447501117
ACH-000294,-0.2528524515583035
ACH-000295,-0.03882600605672791
ACH-000296,-0.06897648645047426
ACH-000302,-0.1287106237078416
ACH-000304,-0.29361104041803404
ACH-000307,-0.2258924267582195
ACH-000308,-0.12184866489268552
ACH-000310,-0.23803617447255696
ACH-000311,-0.06845067533058423
ACH-000312,-0.14875441556917166
ACH-000315,-0.16444997527220584
ACH-000316,-0.023231723614943738
ACH-000317,-0.04015944498646719
ACH-000318,-0.09622214158058287
ACH-000319,-0.24428131068334516
ACH-000320,-0.04298345510958047
ACH-000322,-0.1512905812375321
ACH-000323,-0.16549134518109254
ACH-000324,-0.14641602157133254
ACH-000329,-0.15160968331379682
ACH-000330,-0.0693077046903863
ACH-000331,-0.05780155604384905
ACH-000332,-0.13360825148151614
ACH-000334,-0.2865612602065199
ACH-000335,-0.21391208664280967
ACH-000336,-0.1982702416270279
ACH-000337,-0.10218460676596948
ACH-000338,-0.24804137702531426
ACH-000339,-0.1647633499811558
ACH-000341,-0.23413543157425135
ACH-000348,-0.13800560242093116
ACH-000350,-0.1642412410313948
ACH-000352,-0.07932481428717275
ACH-000356,-0.2103611572376365
ACH-000361,-0.2079247501588861
ACH-000362,-0.2161737697366884
ACH-000363,-0.07377596217178999
ACH-000364,-0.26108957780891395
ACH-000365,-0.016749726520215856
ACH-000366,-0.20578798817522165
ACH-000368,-0.05717706267592872
ACH-000374,-0.024720998148080868
ACH-000375,-0.21898697209043685
ACH-000376,-0.12333070731792704
ACH-000381,-0.05563568963502579
ACH-000383,-0.17848661358332046
ACH-000387,-0.2070331644633528
ACH-000389,-0.17637516557723346
ACH-000390,-0.10152467039193544
ACH-000393,-0.2958548628117669
ACH-000395,-0.10987923340257273
ACH-000396,-0.21239971289512824
ACH-000397,-0.16467564779389465
ACH-000401,-0.13998985027590855
ACH-000402,-0.4365588576469176
ACH-000403,-0.10919573995149284
ACH-000404,-0.27675715753319
ACH-000406,-0.16955112137484704
ACH-000407,-0.08978466315866111
ACH-000408,-0.35912873474875884
ACH-000410,-0.051038227332356696
ACH-000411,-0.1838807778802516
ACH-000414,-0.06586976771402672
ACH-000415,-0.2055384738166389
ACH-000416,-0.18070786380504825
ACH-000420,-0.21336101286080275
ACH-000421,-0.11890890742868795
