,UTP11L (51118)
ACH-000004,-0.652720429614318
ACH-000005,-0.18778674016460245
ACH-000007,-0.6731544820085495
ACH-000009,-0.830621052506459
ACH-000011,-0.7103569018017037
ACH-000012,-0.650136166827444
ACH-000013,-0.5870624491171644
ACH-000014,-0.6679308016010467
ACH-000015,-0.5132210851275274
ACH-000017,-0.6862319162595656
ACH-000018,-0.4164831163414369
ACH-000019,-0.7889883575688799
ACH-000021,-0.5375087462572024
ACH-000022,-0.650266958839487
ACH-000025,-0.7258433793146558
ACH-000028,-0.5562249541613135
ACH-000030,-0.6593668953668704
ACH-000035,-0.7281337747141673
ACH-000036,-0.5333837436576494
ACH-000037,-0.6867914455273205
ACH-000039,-0.4766621643988682
ACH-000040,-0.5639073247059899
ACH-000041,-0.5565791487168164
ACH-000042,-0.5398051849771701
ACH-000045,-0.5872276074965602
ACH-000047,-0.5734927830567985
ACH-000052,-0.877823423955566
ACH-000053,-0.6804012331376943
ACH-000054,-0.5383222057475818
ACH-000055,-0.5775738870972522
ACH-000060,-0.7957280614514998
ACH-000067,-0.7402534410331039
ACH-000070,-0.7192929604603284
ACH-000075,-0.6443308118396964
ACH-000078,-0.50053055589763
ACH-000082,-0.6692190572568949
ACH-000085,-0.6719784266888007
ACH-000086,-0.6007132050719735
ACH-000087,-0.5069872382428111
ACH-000092,-0.6079440706128859
ACH-000095,-0.5988113249559244
ACH-000097,-0.5742353234311137
ACH-000098,-0.5069305655687865
ACH-000099,-0.753759963147002
ACH-000108,-0.7200519966399511
ACH-000113,-0.5055536952417131
ACH-000116,-0.5016001243785317
ACH-000118,-0.4818975231971768
ACH-000120,-0.7891506026816459
ACH-000123,-0.6491973348949284
ACH-000127,-0.6066434994907897
ACH-000128,-0.5862020143065562
ACH-000132,-0.6348555015732975
ACH-000133,-0.5120024380668545
ACH-000137,-0.5235720407255697
ACH-000138,-0.5458167177789122
ACH-000142,-0.7125859850813101
ACH-000143,-0.3420016006539581
ACH-000146,-0.5923834594564482
ACH-000148,-0.6026439953416185
ACH-000150,-0.6228493552301686
ACH-000152,-0.44969542450446376
ACH-000153,-1.0556646248219541
ACH-000159,-0.5537359900550475
ACH-000160,-0.7602097310864294
ACH-000163,-0.4292412228737943
ACH-000167,-0.5965311763793174
ACH-000168,-0.7787824799934706
ACH-000169,-0.8173044481151396
ACH-000178,-0.4788123873604903
ACH-000183,-0.728405723288119
ACH-000188,-0.5512106592776388
ACH-000189,-0.4859391291745245
ACH-000190,-0.6460419885093936
ACH-000198,-0.7150600175002955
ACH-000203,-1.2825957953030291
ACH-000204,-0.5020638695252273
ACH-000206,-0.5871031512396209
ACH-000207,-0.6071233043936908
ACH-000208,-0.632375449870701
ACH-000210,-0.5748607068568973
ACH-000211,-0.5173626565955531
ACH-000215,-0.6065581267503082
ACH-000221,-0.5954411487495952
ACH-000222,-0.4973467840081198
ACH-000223,-0.4980191507480511
ACH-000226,-0.7081640622423742
ACH-000227,-0.6517123968549434
ACH-000228,-0.7096781010366348
ACH-000231,-0.62211381161922
ACH-000232,-0.7218952573053135
ACH-000233,-0.4715122461684468
ACH-000234,-0.5159301875042289
ACH-000235,-0.6246144250322809
ACH-000237,-0.6961649980412281
ACH-000238,-0.5559822684111619
