,ATP5S (27109)
ACH-000004,-0.10438932649836437
ACH-000005,0.11614889179387825
ACH-000007,0.2978428132173246
ACH-000009,0.0974581747757559
ACH-000011,0.186272580742616
ACH-000012,0.08586733042635165
ACH-000013,0.0730720008995175
ACH-000014,0.22509789721375464
ACH-000015,0.11864908932568348
ACH-000017,0.15867217045044896
ACH-000018,0.0934173065969623
ACH-000019,-0.13787851369739604
ACH-000021,0.17299232123461095
ACH-000022,0.1762456287268296
ACH-000025,0.038576281538772336
ACH-000028,0.007375234015011747
ACH-000030,0.14758490873283694
ACH-000035,0.12771557569446196
ACH-000036,-0.020702455571167483
ACH-000037,0.18677115470094235
ACH-000039,-0.006074811099145363
ACH-000040,0.1679781485204016
ACH-000041,0.1308168822223181
ACH-000042,0.09947348836080698
ACH-000045,0.12892357444511932
ACH-000047,0.02736435277336772
ACH-000052,0.060114133849861924
ACH-000053,0.060415994800980824
ACH-000054,0.14623710145067903
ACH-000055,0.02763535824077946
ACH-000060,0.10879201982889862
ACH-000067,0.19702531448037386
ACH-000070,0.3159787413410369
ACH-000075,-0.14339668104920772
ACH-000078,0.09066254293953037
ACH-000082,0.08568741215927586
ACH-000085,0.31643170631767525
ACH-000086,-0.06917257891819187
ACH-000087,0.4529121151090355
ACH-000092,0.09769481001426236
ACH-000095,0.20383094056209214
ACH-000097,0.045692154682063536
ACH-000098,0.21960249495835446
ACH-000099,0.12722070616700645
ACH-000108,0.15680615187730362
ACH-000113,0.2345003751682641
ACH-000116,0.16839855336620366
ACH-000118,0.03665614153814197
ACH-000120,0.15541232426348348
ACH-000123,0.0944481547235321
ACH-000127,0.16571666643790786
ACH-000128,0.06713099397956238
ACH-000132,0.18882081375299095
ACH-000133,0.0792009901652324
ACH-000137,0.1461111326946884
ACH-000138,0.23831147372314304
ACH-000142,0.00903455574348098
ACH-000143,0.10673715417981347
ACH-000146,0.07406826526182159
ACH-000148,0.06802120576027595
ACH-000150,0.12351348622770285
ACH-000152,0.07509613296820099
ACH-000153,0.17977331384757378
ACH-000159,0.17841258594853934
ACH-000160,0.05880860354647625
ACH-000163,0.16683869025252454
ACH-000167,-0.057204097475310335
ACH-000168,0.1005354949562855
ACH-000169,-0.02767242609031913
ACH-000178,0.09877155978309148
ACH-000183,0.2420154218049753
ACH-000188,0.1022170427408306
ACH-000189,-0.07070867337862095
ACH-000190,0.15643510022814894
ACH-000198,0.06531058269826145
ACH-000203,-0.06433228315897417
ACH-000204,0.30838296048615704
ACH-000206,0.07788553642379167
ACH-000207,0.03077687189263916
ACH-000208,0.19139721912782087
ACH-000210,0.29488196288008983
ACH-000211,0.12393575738943978
ACH-000215,0.13955617876276805
ACH-000221,0.1415817294941071
ACH-000222,0.1376482333363315
ACH-000223,0.109620156597869
ACH-000226,0.048691154592121096
ACH-000227,0.1114755648589707
ACH-000228,0.2721106166025775
ACH-000231,0.10715950764964176
ACH-000232,0.010802750703689691
ACH-000233,0.14470592520095998
ACH-000234,0.09459416973234007
ACH-000235,0.14476780433333078
ACH-000237,0.16716438453937926
ACH-000238,0.09189582102071453
ACH-000242,-0.1286942495183189
ACH-000243,0.064477921930358
ACH-000244,0.06311959729243773
ACH-000246,0.04494526195149207
ACH-000248,0.19909155417580945
ACH-000250,0.09060434886490483
ACH-000251,0.09395594680655987
ACH-000252,0.12576232940358473
ACH-000253,0.013988513295196523
ACH-000255,0.007281694591971595
ACH-000256,0.11115882634875124
ACH-000257,-0.15277012012271088
ACH-000258,0.2928376081669527
ACH-000259,0.2538002581809959
ACH-000260,0.06033441585410757
ACH-000261,0.17660670711855994
ACH-000262,-0.1484619866030963
ACH-000263,0.060246148004346314
ACH-000264,-0.029399726418299157
ACH-000265,0.23626884529465705
ACH-000266,0.03603125779059908
ACH-000272,0.08255164674770074
ACH-000274,0.093050404012403
ACH-000277,0.09711587491455803
ACH-000278,0.026175660848609138
ACH-000279,0.08634005591523261
ACH-000280,-0.061298052375198774
ACH-000281,0.2126099096516293
ACH-000288,0.09624399364955848
ACH-000291,0.17354515598128953
ACH-000293,0.23059205944741296
ACH-000294,0.015523110673591875
ACH-000295,0.09542591664803914
ACH-000296,0.09631270511218992
ACH-000302,0.1635732316335718
