,JKAMP (51528)
ACH-000004,-0.3195518643435136
ACH-000005,-0.2821016395731016
ACH-000007,-0.15696116522526996
ACH-000009,-0.14286811118595838
ACH-000011,-0.14841002493238187
ACH-000012,-0.10939487505063168
ACH-000013,-0.21509738712036405
ACH-000014,0.16915913409850825
ACH-000015,-0.08994778508321233
ACH-000017,-0.09271235644208814
ACH-000018,-0.150804256071291
ACH-000019,-0.2251682081969414
ACH-000021,-0.12282879175671207
ACH-000022,-0.17995636348426258
ACH-000025,-0.060109441188444565
ACH-000028,-0.11291727965975674
ACH-000030,-0.1654831646326664
ACH-000035,-0.1797811881565463
ACH-000036,-0.10590603772915297
ACH-000037,-0.17136532909712004
ACH-000039,-0.16935278416851152
ACH-000040,-0.1271073011678409
ACH-000041,-0.15870880506220866
ACH-000042,-0.3290684302613897
ACH-000045,-0.10380844832855388
ACH-000047,-0.12357512067149565
ACH-000052,-0.19438210867025416
ACH-000053,-0.192030215600876
ACH-000054,-0.11878162569354173
ACH-000055,-0.11572671136681305
ACH-000060,-0.21125182845301346
ACH-000067,-0.06916320948127125
ACH-000070,-0.3052885079504128
ACH-000075,-0.04207160742975841
ACH-000078,-0.07995645031705388
ACH-000082,-0.2090799682906425
ACH-000085,-0.1337290261795468
ACH-000086,-0.21733211432970606
ACH-000087,-0.17645444394471618
ACH-000092,-0.16477484738883372
ACH-000095,-0.20501867682554964
ACH-000097,-0.2007087525590834
ACH-000098,-0.07231210309570042
ACH-000099,-0.2811100526790906
ACH-000108,-0.2407750707899693
ACH-000113,-0.10810610696524127
ACH-000116,-0.2011714487728428
ACH-000118,-0.11106661965169144
ACH-000120,-0.06990010397431902
ACH-000123,-0.05871495791259629
ACH-000127,-0.15840276987906052
ACH-000128,-0.2206163187530268
ACH-000132,-0.217321458905654
ACH-000133,-0.1604811576538322
ACH-000137,-0.20848567259383247
ACH-000138,-0.1603288436097593
ACH-000142,-0.13990945114577036
ACH-000143,-0.1360877175384101
ACH-000146,-0.04823939469567557
ACH-000148,-0.26173493279602283
ACH-000150,0.016166504637397296
ACH-000152,-0.19535175794622373
ACH-000153,-0.18418127915351665
ACH-000159,-0.18025942133186365
ACH-000160,-0.24505910947932946
ACH-000163,-0.26720775131617003
ACH-000167,-0.4631333623702493
ACH-000168,-0.0236848719892124
ACH-000169,-0.0916476254280074
ACH-000178,-0.2098327394128003
ACH-000183,-0.04322879668791463
ACH-000188,-0.1523950198890619
ACH-000189,-0.10604261685291592
ACH-000190,-0.1257976364190429
ACH-000198,-0.5211609462687881
ACH-000203,-0.2603225450067854
ACH-000204,-0.2283351013740624
ACH-000206,-0.16098330187294124
ACH-000207,-0.19927784149486172
ACH-000208,-0.4157269221782806
ACH-000210,-0.2301366971530746
ACH-000211,-0.3681660174197983
ACH-000215,-0.19690892766713985
ACH-000221,-0.1203244189952552
ACH-000222,-0.2377545808772211
ACH-000223,-0.2438944541391241
ACH-000226,-0.1739457289910143
ACH-000227,-0.11672015002433968
ACH-000228,-0.12709009774184835
ACH-000231,-0.21506576297875935
ACH-000232,-0.1802181310824946
ACH-000233,-0.16725133135185855
ACH-000234,-0.3280124547308385
ACH-000235,-0.2422485409319625
ACH-000237,-0.061550429217425685
ACH-000238,-0.3107681855385239
ACH-000242,-0.13595755660563727
ACH-000243,-0.4149594204195053
ACH-000244,-0.42044129229550864
ACH-000246,-0.3144939270684093
ACH-000248,-0.24015250980249545
ACH-000250,-0.21659025483450275
ACH-000251,-0.3566490842661232
ACH-000252,-0.46453658394849895
ACH-000253,-0.1815043231745591
ACH-000255,-0.20795644834339888
ACH-000256,-0.2032690367064232
ACH-000257,-0.39597392084719024
ACH-000258,-0.08004418652736411
ACH-000259,-0.0898556826779983
ACH-000260,-0.17258490926638773
ACH-000261,-0.1922748272699568
ACH-000262,-0.003000481101744599
ACH-000263,-0.0690149011119094
ACH-000264,-0.21331142457507776
ACH-000265,-0.07356511611092716
ACH-000266,-0.4962764983534164
ACH-000272,-0.11867777638486204
ACH-000274,-0.2724333911756576
ACH-000277,-0.1530072056841232
ACH-000278,-0.1625103578697891
ACH-000279,-0.19049046851703025
ACH-000280,-0.17903704408568236
ACH-000281,-0.4273783715747608
ACH-000288,-0.18496699875381575
ACH-000291,-0.1117638161690732
ACH-000293,-0.21260720839452288
ACH-000294,-0.3727275395171876
ACH-000295,-0.1599265715539315
ACH-000296,-0.24309120004573276
ACH-000302,-0.2710578877438866
ACH-000304,-0.05369465827140903
ACH-000307,-0.2609597476927701
ACH-000308,-0.308798320818824
ACH-000310,-0.1964849559647848
ACH-000311,-0.2452138589333384
ACH-000312,-0.09523275647839516
ACH-000315,-0.05563775326151673
ACH-000316,-0.11917809467918347
ACH-000317,-0.13992158686309794
ACH-000318,-0.2610642459122726
ACH-000319,-0.23031037780907826
ACH-000320,-0.22423513558601788
ACH-000322,-0.21167047659444216
ACH-000323,-0.11079283449322093
ACH-000324,-0.20790600303807408
ACH-000329,-0.17640007352858048
ACH-000330,-0.0462823609584729
