,MFAP3L (9848)
ACH-000004,0.20466157325692966
ACH-000005,0.3246360121694722
ACH-000007,0.282405163070325
ACH-000009,0.1293766369641045
ACH-000011,0.20376741785963384
ACH-000012,0.11639037191858873
ACH-000013,0.19651359820807945
ACH-000014,0.22885823169732536
ACH-000015,0.1896183744429532
ACH-000017,0.1931106750435662
ACH-000018,0.12519454656039794
ACH-000019,0.19340830444054552
ACH-000021,0.12229876030627428
ACH-000022,0.15581695400946566
ACH-000025,0.16486715048569406
ACH-000028,0.1133942575115028
ACH-000030,0.2150413466563152
ACH-000035,0.25979523837143
ACH-000036,0.2012203892275632
ACH-000037,0.14425958899679306
ACH-000039,0.01925340717104096
ACH-000040,0.10541867965506713
ACH-000041,0.18957889147687226
ACH-000042,0.18660463149271994
ACH-000045,0.10491144990522558
ACH-000047,0.17009731297500966
ACH-000052,0.2440705062731667
ACH-000053,0.12183563063385755
ACH-000054,0.12157068472653056
ACH-000055,0.10642375156615183
ACH-000060,0.08225027419391294
ACH-000067,0.13475300273238175
ACH-000070,0.21535925148611632
ACH-000075,0.1736904605031601
ACH-000078,0.0709308997783589
ACH-000082,0.1535326887364775
ACH-000085,0.05106974133057672
ACH-000086,0.02689809160420804
ACH-000087,0.11767604563063536
ACH-000092,0.09084742757732996
ACH-000095,0.18496973077192014
ACH-000097,0.2360923458153132
ACH-000098,0.14350136272235284
ACH-000099,0.20129047126240526
ACH-000108,0.09857392650804374
ACH-000113,0.21491818999193346
ACH-000116,0.20577821723218412
ACH-000118,0.18122107106550114
ACH-000120,0.1076742557645996
ACH-000123,0.3058647299386385
ACH-000127,0.11900549980182995
ACH-000128,0.21441835677316246
ACH-000132,0.12251620305856847
ACH-000133,0.2822001088842555
ACH-000137,0.2935748245868343
ACH-000138,0.10662846591312262
ACH-000142,0.21536982782978767
ACH-000143,0.03373810523468066
ACH-000146,0.11896601874498225
ACH-000148,0.17877711692006834
ACH-000150,0.12844565746582484
ACH-000152,0.13196754277671474
ACH-000153,0.19967975745275726
ACH-000159,0.17166275176221987
ACH-000160,0.19199173172535453
ACH-000163,0.04962946690524999
ACH-000167,0.03248651921464929
ACH-000168,0.13229127927736078
ACH-000169,0.22289833696690475
ACH-000178,0.1467620029232269
ACH-000183,0.09793778129833663
ACH-000188,0.10412051267374267
ACH-000189,0.07770616587538948
ACH-000190,0.1666996815808386
ACH-000198,0.06872790492443104
ACH-000203,0.05806578000711106
ACH-000204,0.19695336360834173
ACH-000206,0.18624911394680516
ACH-000207,0.13156300597678086
ACH-000208,0.08976250345274649
ACH-000210,0.006124990695378497
ACH-000211,0.10410132098859168
ACH-000215,0.1737539950846323
ACH-000221,0.2108403000128989
ACH-000222,0.2855885549924748
ACH-000223,0.09273555912993996
ACH-000226,0.1262566574681832
ACH-000227,0.2009470924144185
ACH-000228,0.08548403506680659
ACH-000231,0.13845440925422448
ACH-000232,0.11507454104424178
ACH-000233,0.15046353076522812
ACH-000234,0.0960490325306766
ACH-000235,0.12090077582786515
ACH-000237,0.05515067832499383
ACH-000238,-0.044488424791180564
ACH-000242,0.2073156196209348
ACH-000243,0.10423858933017703
ACH-000244,0.14909580803189007
ACH-000246,0.2494559501519859
ACH-000248,0.1604075130059777
ACH-000250,0.10792241414179564
ACH-000251,-0.08298435573767197
ACH-000252,0.056268215735667655
ACH-000253,0.17844547778816458
ACH-000255,0.1233968551886531
ACH-000256,0.3502742313262785
ACH-000257,-0.12074472463275493
ACH-000258,0.1284832760861216
ACH-000259,0.2062560805789468
ACH-000260,0.15028163564030192
ACH-000261,0.1758299908449851
ACH-000262,0.13284107820120514
ACH-000263,0.04286492729088713
ACH-000264,0.12220819739163932
ACH-000265,0.12132222360832555
ACH-000266,0.14645513803297994
ACH-000272,0.11801233788853815
ACH-000274,0.14075941129867786
ACH-000277,0.10343019255957847
ACH-000278,0.07714668669782153
ACH-000279,0.07850300581704793
ACH-000280,0.22341849174989487
ACH-000281,0.07849894737224491
ACH-000288,0.1922186594558072
ACH-000291,0.2315647342667965
ACH-000293,0.12778192861483145
ACH-000294,0.1832569992153302
ACH-000295,-0.08247068590177055
ACH-000296,0.16857074815418047
ACH-000302,0.192090644765844
ACH-000304,-0.04227804143333263
ACH-000307,0.0562195291623396
ACH-000308,0.12115566060801974
ACH-000310,0.09801956920180764
ACH-000311,0.1357089707871556
ACH-000312,0.0852511047430929
ACH-000315,0.14984379075568366
ACH-000316,0.1534359112941769
ACH-000317,0.1874992840366984
ACH-000318,0.1241580275408329
ACH-000319,0.2188643734794316
ACH-000320,0.03243336265292505
ACH-000322,0.1292087744685778
