,TRIOBP (11078)
ACH-000004,-0.04359122237307607
ACH-000005,-0.0031530167934675107
ACH-000007,-0.16520253775304716
ACH-000009,-0.059709506152844365
ACH-000011,-0.25868211263474605
ACH-000012,-0.17678964212476692
ACH-000013,-0.1799210396952391
ACH-000014,-0.2694103105436219
ACH-000015,-0.2671241090992117
ACH-000017,-0.06924612973191076
ACH-000018,-0.15099886096122814
ACH-000019,-0.20699441028527155
ACH-000021,-0.12527561124423778
ACH-000022,-0.08887381365877853
ACH-000025,-0.201220872693731
ACH-000028,-0.09946084509700977
ACH-000030,-0.2306037441657369
ACH-000035,-0.18002846599709393
ACH-000036,-0.2371876470373568
ACH-000037,-0.17150806978312194
ACH-000039,-0.2240640733674047
ACH-000040,-0.15411294780755527
ACH-000041,-0.10559496632108192
ACH-000042,-0.255590616428626
ACH-000045,-0.150683132228968
ACH-000047,-0.10589180543167792
ACH-000052,-0.08841548361608774
ACH-000053,-0.12041417474864867
ACH-000054,-0.159836851426556
ACH-000055,-0.14654864341041815
ACH-000060,-0.2712598173904026
ACH-000067,-0.14603907005659586
ACH-000070,-0.1498799312151996
ACH-000075,-0.10349900701185366
ACH-000078,-0.11207125566005577
ACH-000082,-0.1225905340834053
ACH-000085,-0.2795494477481485
ACH-000086,0.0906420673442247
ACH-000087,0.041997678962201336
ACH-000092,-0.31503812104074685
ACH-000095,-0.12657023914817925
ACH-000097,-0.3202571700838936
ACH-000098,-0.24775498586717346
ACH-000099,-0.169532427753236
ACH-000108,-0.14422752130676525
ACH-000113,-0.061261769377363134
ACH-000116,-0.1911561138990758
ACH-000118,-0.16043885594281826
ACH-000120,-0.12637759882532734
ACH-000123,-0.19284681821807007
ACH-000127,-0.049767826013557295
ACH-000128,-0.11061233340037836
ACH-000132,-0.13976919244207173
ACH-000133,-0.2424930866183708
ACH-000137,-0.21733832502726927
ACH-000138,-0.03911967119823219
ACH-000142,0.018315237935302
ACH-000143,-0.20404956237874528
ACH-000146,-0.0741600621377772
ACH-000148,-0.07793959456413628
ACH-000150,-0.14514498369086262
ACH-000152,-0.0826045608604941
ACH-000153,-0.047695108528175434
ACH-000159,-0.11541160952205455
ACH-000160,-0.07654496422860163
ACH-000163,-0.23923015291692795
ACH-000167,-0.3711118203082795
ACH-000168,-0.12620135462902918
ACH-000169,-0.18467965990776394
ACH-000178,-0.13123175533937154
ACH-000183,-0.11586040740419508
ACH-000188,-0.14621855327919353
ACH-000189,-0.2676134253378664
ACH-000190,-0.06860313534529024
ACH-000198,-0.13034844735297152
ACH-000203,0.031243247941171712
ACH-000204,-0.1703648911194639
ACH-000206,-0.32093588590765965
ACH-000207,-0.08150084675391002
