,TAPT1 (202018)
ACH-000004,-0.2663456818115676
ACH-000005,0.006520276560255872
ACH-000007,-0.5271261457254888
ACH-000009,-0.4898970281220862
ACH-000011,-0.2752747819463814
ACH-000012,-0.12411335414341634
ACH-000013,-0.11262349953826226
ACH-000014,-0.3989692819461607
ACH-000015,-0.3175306655713275
ACH-000017,-0.3051976995975029
ACH-000018,-0.06873922925635317
ACH-000019,-0.3413640438847438
ACH-000021,-0.06532499582344965
ACH-000022,-0.04102617720860765
ACH-000025,-0.17824294490160608
ACH-000028,0.04598617277339174
ACH-000030,-0.4482686704634761
ACH-000035,-0.1015587509303692
ACH-000036,-0.27486540109161184
ACH-000037,-0.34021434609286955
ACH-000039,-0.1173156990150274
ACH-000040,-0.2534835413054449
ACH-000041,-0.2001847513704745
ACH-000042,-0.17812416492415126
ACH-000045,-0.1391432438983341
ACH-000047,-0.2521693301181081
ACH-000052,-0.4659744364402165
ACH-000053,-0.15476801940266194
ACH-000054,-0.1906419717905688
ACH-000055,-0.4663629168738742
ACH-000060,-0.08172065001127557
ACH-000067,-0.3311065882899448
ACH-000070,-0.29701782891398903
ACH-000075,-0.25493988183468824
ACH-000078,-0.03233216868931519
ACH-000082,-0.17023259157406626
ACH-000085,-0.35983606492769193
ACH-000086,-0.2604679106747056
ACH-000087,-0.057833475086386275
ACH-000092,-0.17649391689757266
ACH-000095,-0.15875262500544954
ACH-000097,-0.3276876617421521
ACH-000098,-0.17806991955984786
ACH-000099,-0.1529460855157662
ACH-000108,-0.2190204456278172
ACH-000113,-0.27368859100784826
ACH-000116,-0.2314070279257957
ACH-000118,-0.06222904387690684
ACH-000120,-0.3718664408855187
ACH-000123,-0.2570984888813531
ACH-000127,-0.10471272146747553
ACH-000128,-0.13563208842363195
ACH-000132,-0.2895551102703223
ACH-000133,-0.13128391141528484
ACH-000137,-0.3955987706305729
ACH-000138,-0.1834102898153894
ACH-000142,-0.21071505331911208
ACH-000143,-0.417893067028449
ACH-000146,-0.2817057928378798
ACH-000148,-0.12544701972665231
ACH-000150,-0.16374147723459734
ACH-000152,-0.13095990959439358
ACH-000153,-0.3647555250231303
