,HTR1D (3352)
ACH-000004,0.14802707520484532
ACH-000005,0.17278370891641087
ACH-000007,0.147211356568207
ACH-000009,0.03476140503150263
ACH-000011,0.09152367871732207
ACH-000012,0.06016932130085165
ACH-000013,0.044370850245499284
ACH-000014,-0.02858236105392004
ACH-000015,0.10427276461446937
ACH-000017,0.07211045893164053
ACH-000018,0.08147883299408866
ACH-000019,0.07356701298832134
ACH-000021,0.11492031444570862
ACH-000022,0.14381190458736345
ACH-000025,0.0676864912231927
ACH-000028,0.1676509660628782
ACH-000030,0.08897641423497654
ACH-000035,-0.08576163254742161
ACH-000036,0.18579921906632735
ACH-000037,0.07561298460656846
ACH-000039,-0.12548133330090608
ACH-000040,0.0340038076982772
ACH-000041,0.13678794880367925
ACH-000042,0.13699328742731684
ACH-000045,0.06119873227701689
ACH-000047,0.13541084263114228
ACH-000052,-0.035977470298548364
ACH-000053,-0.057841209315263625
ACH-000054,0.009093025950849386
ACH-000055,-0.06481232229600283
ACH-000060,0.15170260824542467
ACH-000067,0.15788687538766516
ACH-000070,0.11965871501107032
ACH-000075,0.08331720290738999
ACH-000078,0.09009090722209187
ACH-000082,0.08934870928636993
ACH-000085,0.040386456964752536
ACH-000086,0.04181471674671052
ACH-000087,0.05438842983764728
ACH-000092,-0.011528591776352258
ACH-000095,0.025716494711184302
ACH-000097,0.09766060331643008
ACH-000098,0.07610984172555096
ACH-000099,0.038035055837344345
ACH-000108,0.08512655283494228
ACH-000113,0.12037898269983292
ACH-000116,0.053347525796112745
ACH-000118,0.07049854622423267
ACH-000120,0.04795298917751992
ACH-000123,0.16794008761278564
ACH-000127,0.08586924996052486
ACH-000128,-0.04180321350231215
ACH-000132,0.15419562055793376
ACH-000133,0.1242722143894492
ACH-000137,-0.014717292925993037
ACH-000138,0.04151620036342684
ACH-000142,-0.07147186942746588
ACH-000143,0.08794480715052856
ACH-000146,0.054680989965547926
ACH-000148,0.012749509979103794
ACH-000150,-0.17026556458836986
ACH-000152,0.11792010180789896
ACH-000153,-0.06930502514307066
ACH-000159,0.0608986548090401
ACH-000160,-0.08001813271853718
ACH-000163,0.05066158206558735
ACH-000167,-0.2624334652313047
ACH-000168,0.02120145592673413
ACH-000169,0.029708102706933363
ACH-000178,0.11152752993908208
ACH-000183,-0.13501521481898976
ACH-000188,0.1926155758390059
ACH-000189,0.19765750381688232
ACH-000190,0.055466624432765815
ACH-000198,0.1275779107446864
ACH-000203,0.2604340372815261
ACH-000204,0.2159978821969213
ACH-000206,0.07171748689517995
ACH-000207,0.026078192113099544
ACH-000208,-0.060770645766076124
ACH-000210,-0.0064164804925573365
ACH-000211,0.15492536804541482
ACH-000215,0.033601462138092154
ACH-000221,0.0691663051793494
ACH-000222,0.1290860520919684
ACH-000223,0.08479578043112106
ACH-000226,-0.0050012907591916005
ACH-000227,-0.03658959766723663
ACH-000228,0.14406305175494807
ACH-000231,0.07953545914772882
ACH-000232,0.0659017295457125
ACH-000233,0.1524871108088312
ACH-000234,0.0730579639142474
ACH-000235,0.1173010589638531
