,LCE3A (353142)
ACH-000004,-0.2565841790951699
ACH-000005,-0.4218235828004997
ACH-000007,-0.1822156439170845
ACH-000009,-0.2707803977057314
ACH-000011,-0.27473460511682063
ACH-000012,-0.3629184704296142
ACH-000013,-0.1813545998865816
ACH-000014,-0.24577524624614705
ACH-000015,-0.2112120797079783
ACH-000017,-0.15888036859016147
ACH-000018,-0.28395940671536496
ACH-000019,-0.2572669059375707
ACH-000021,-0.22556633059403566
ACH-000022,-0.18870448821179533
ACH-000025,-0.32921716891901537
ACH-000028,-0.2328110125470846
ACH-000030,-0.1757526797105757
ACH-000035,-0.2345528063835585
ACH-000036,-0.3000463761234318
ACH-000037,-0.3879414414215911
ACH-000039,-0.22716333591111865
ACH-000040,-0.3517230918701336
ACH-000041,-0.4140323314078082
ACH-000042,-0.22185165023742426
ACH-000045,-0.4249661766829567
ACH-000047,-0.19090750330530334
ACH-000052,-0.2101243329743845
ACH-000053,-0.12342401185188055
ACH-000054,-0.2779367432478557
ACH-000055,0.0997611269465456
ACH-000060,-0.11802862843108244
ACH-000067,-0.2414899743480608
ACH-000070,-0.4206763723348499
ACH-000075,-0.5537958638292078
ACH-000078,-0.3201710331491792
ACH-000082,-0.19992976305931187
ACH-000085,-0.4473918886619683
ACH-000086,-0.3319585758918568
ACH-000087,-0.05050121475758577
ACH-000092,-0.22053718908140432
ACH-000095,-0.28487800813743513
ACH-000097,-0.3872054975137929
ACH-000098,-0.2045860662029637
ACH-000099,-0.306799965958778
ACH-000108,-0.14325352415545795
ACH-000113,-0.19914277016216836
ACH-000116,-0.20687810244384108
ACH-000118,-0.23100433011072344
ACH-000120,-0.2076403644487884
ACH-000123,-0.25511762448594044
ACH-000127,-0.3238814183983979
ACH-000128,-0.35482717141392256
ACH-000132,-0.2245958641412
ACH-000133,-0.3526507952217985
ACH-000137,-0.203270987223764
ACH-000138,-0.16401202791235026
ACH-000142,-0.33687944445683593
ACH-000143,-0.17808828163667803
ACH-000146,-0.22452672057368728
ACH-000148,-0.3716040086574562
ACH-000150,-0.2680132350427076
ACH-000152,-0.10975641964243896
ACH-000153,-0.3626479043556806
ACH-000159,-0.24872282392266976
ACH-000160,-0.1900630984821368
ACH-000163,-0.22408424708220714
ACH-000167,0.06051343329835961
ACH-000168,-0.16128066932797222
ACH-000169,-0.3812840294794642
ACH-000178,-0.15907920395597352
ACH-000183,-0.096280791030536
