,MAD2L2 (10459)
ACH-000004,-1.0882683146787715
ACH-000005,-0.9021559040503196
ACH-000007,-0.959849293608376
ACH-000009,-0.9549508990091806
ACH-000011,-0.9981863693832388
ACH-000012,-0.761877892626678
ACH-000013,-0.7950321110072102
ACH-000014,-1.3827759609276309
ACH-000015,-1.1396489835769648
ACH-000017,-0.9086311146913696
ACH-000018,-1.2141815181663775
ACH-000019,-0.744925684817944
ACH-000021,-0.7184276333914251
ACH-000022,-1.203064028630444
ACH-000025,-1.243867381262079
ACH-000028,-1.0157813032208634
ACH-000030,-1.1839360824678786
ACH-000035,-1.2222770432623724
ACH-000036,-0.8672156605643067
ACH-000037,-1.1885700757385218
ACH-000039,-1.1925704387275078
ACH-000040,-1.0282339890773076
ACH-000041,-1.2917128411990793
ACH-000042,-0.7734407750952564
ACH-000045,-1.1908323292144771
ACH-000047,-1.0541920169305692
ACH-000052,-1.3200294153998446
ACH-000053,-0.8137370928783274
ACH-000054,-0.7945689492774417
ACH-000055,-1.1698010470847031
ACH-000060,-1.2802771649557574
ACH-000067,-1.1234396434916656
ACH-000070,-1.097250634743635
ACH-000075,-0.959083102632619
ACH-000078,-0.8584980731243331
ACH-000082,-0.8605436902526733
ACH-000085,-1.1103120706057603
ACH-000086,-1.0573080103373822
ACH-000087,-1.3244287070478455
ACH-000092,-0.645952774016453
ACH-000095,-1.0401465185858043
ACH-000097,-0.8678288770043511
ACH-000098,-1.0467551053461444
ACH-000099,-1.1384225525297131
ACH-000108,-0.7127921364601347
ACH-000113,-0.9762929298024944
ACH-000116,-1.2972012604122498
ACH-000118,-0.8077678849088084
ACH-000120,-0.93981519971282
ACH-000123,-0.9915580535918468
ACH-000127,-1.2232080393299078
ACH-000128,-0.9957113142775648
ACH-000132,-1.4780735305853017
ACH-000133,-1.047090646570159
ACH-000137,-1.5776781788018528
ACH-000138,-1.233547794544956
ACH-000142,-1.0944164176055198
ACH-000143,-0.9677981104080914
ACH-000146,-0.7483869088103509
ACH-000148,-1.0192985924927924
ACH-000150,-1.0678580844193657
ACH-000152,-1.1098728398729991
ACH-000153,-0.974800797741118
ACH-000159,-0.8271992785711177
ACH-000160,-1.1503766047868416
ACH-000163,-1.2782525237916895
ACH-000167,-1.0192069329134552
ACH-000168,-1.075958021318035
ACH-000169,-0.9208299875634466
ACH-000178,-1.3020968038916187
ACH-000183,-1.383655651470032
ACH-000188,-1.2349730899200573
ACH-000189,-1.1052355185609979
ACH-000190,-0.7822815770844583
ACH-000198,-1.0153099162831465
ACH-000203,-0.7033254050196271
ACH-000204,-0.922341774100648
ACH-000206,-1.50013783238673
ACH-000207,-1.0093271121704526
ACH-000208,-1.223323917954002
ACH-000210,-1.0144451657908835
ACH-000211,-1.3245070344097671
ACH-000215,-0.8664870310426555
ACH-000221,-1.4471764715503024
ACH-000222,-1.0946012854507885
ACH-000223,-1.32890066621624
ACH-000226,-1.1063057089414632
ACH-000227,-1.115003966456282
ACH-000228,-1.4360967152264896
ACH-000231,-1.2683736164230617
ACH-000232,-1.363635267703179
ACH-000233,-1.3102562259284307
ACH-000234,-0.8964478177624556
ACH-000235,-0.8271798249133273
ACH-000237,-1.217180145057627
ACH-000238,-1.4168737357079588
ACH-000242,-0.5281246919264966
ACH-000243,-0.8462073577258147
ACH-000244,-0.8246950410123284
ACH-000246,-0.7445898668499945
ACH-000248,-1.3968744457905002
ACH-000250,-0.612014790535974
ACH-000251,-1.2196586335390907
ACH-000252,-1.090756554193841
ACH-000253,-0.8481417666981311
ACH-000255,-0.8945561901904626
ACH-000256,-1.331058845412138
ACH-000257,-1.0765794585465545
ACH-000258,-1.0444455273441509
ACH-000259,-0.93716641059011
ACH-000260,-1.1982530984623179
ACH-000261,-1.3977032472753568
ACH-000262,-1.0665080135200649
ACH-000263,-0.9291262224616728
ACH-000264,-1.011235951734868
ACH-000265,-1.1090308372148303
ACH-000266,-0.6748692174250049
ACH-000272,-0.9878369429995794
ACH-000274,-0.7357254351217449
ACH-000277,-0.7879603183759384
ACH-000278,-1.0652473665273299
ACH-000279,-0.9224933193028452
ACH-000280,-1.1259204519868964
ACH-000281,-1.2313454796471677
ACH-000288,-0.991365010746544
ACH-000291,-0.6165851477820218
ACH-000293,-0.8601750673240633
ACH-000294,-0.8664621088204437
ACH-000295,-0.9926592411957352
ACH-000296,-1.3258799894235411
ACH-000302,-0.9216276564383404
ACH-000304,-1.0242043084824672
ACH-000307,-0.8671524773828143
ACH-000308,-0.8185376723320305
ACH-000310,-1.0164487887983524
ACH-000311,-0.8721444802185334
ACH-000312,-0.6585990227309487
ACH-000315,-0.8647709076129634
ACH-000316,-1.2707248013687469
ACH-000317,-1.133316790625666
ACH-000318,-1.1395625447265965
ACH-000319,-1.6273790035343192
ACH-000320,-0.892775042943731
ACH-000322,-0.6921864872579282
ACH-000323,-0.8339416340113445
ACH-000324,-1.1982962455578667
ACH-000329,-1.0042224820356829
ACH-000330,-1.0254707711373294
ACH-000331,-1.2062697049870776
ACH-000332,-0.6168925772215849
ACH-000334,-1.280161028003779
ACH-000335,-0.8920109161038525
ACH-000336,-1.2017525447744415
ACH-000337,-0.7876694212464949
ACH-000338,-0.9435630964251722
ACH-000339,-1.1440114446306646
ACH-000341,-1.097511509733122
ACH-000348,-1.0453403558919383
ACH-000350,-1.0052855691419598
ACH-000352,-0.9019181354412124
ACH-000356,-1.0989058100944031
ACH-000361,-1.1121234328317613
ACH-000362,-1.0726785204951008
ACH-000363,-0.9362169851500384
ACH-000364,-1.3451508087708548
ACH-000365,-0.8756086616778574
ACH-000366,-1.2451066891416105
ACH-000368,-1.0857869889122471
ACH-000374,-1.2277897964042257
ACH-000375,-0.9912552430055628
ACH-000376,-1.0237803231574112
ACH-000381,-1.3289726491120069
ACH-000383,-0.6878364741852769
ACH-000387,-1.0193262872976758
ACH-000389,-0.9944116522697264
ACH-000390,-1.1019544721183712
ACH-000393,-0.8996956694186771
ACH-000395,-0.9375692526309308
ACH-000396,-1.2394005647116375
ACH-000397,-1.1493360501321497
ACH-000401,-0.7458455846959755
ACH-000402,-0.9903394184264966
ACH-000403,-0.6890550005254084
ACH-000404,-1.0447286403487603
ACH-000406,-0.7348464536539799
ACH-000407,-1.0431885095522206
ACH-000408,-1.0688841571041277
ACH-000410,-0.9999706764879058
ACH-000411,-0.7557800127010442
ACH-000414,-1.4919966761970505
ACH-000415,-1.4331277998387837
ACH-000416,-0.9508734365813988
ACH-000420,-1.032859309723707
ACH-000421,-1.0546217877442678
ACH-000424,-1.3027835969326895
ACH-000425,-0.6749476794972872
ACH-000426,-1.2811990902367676
ACH-000427,-0.9994180812907087
ACH-000433,-0.7067061042927102
ACH-000435,-1.1477967805694198
ACH-000436,-1.2574424666607111
ACH-000444,-1.0976611700129508
ACH-000445,-1.2741819972989512
ACH-000448,-0.6761757226959949
ACH-000450,-0.6376050080770378
ACH-000452,-0.8624375506640674
