,SEC23B (10483)
ACH-000004,-0.17307517372313427
ACH-000005,-0.3763513499527116
ACH-000007,-0.3403022714562189
ACH-000009,-2.654040359773531e-06
ACH-000011,0.28085456301113915
ACH-000012,-0.16307015403123762
ACH-000013,-0.221372667374912
ACH-000014,-0.07484062397659605
ACH-000015,0.0070968606999340985
ACH-000017,0.16131673984079173
ACH-000018,-0.01353524309146323
ACH-000019,-0.07352739958196873
ACH-000021,-0.10267671655475666
ACH-000022,-0.1394341976729618
ACH-000025,0.002424018610936038
ACH-000028,-0.09053279757825806
ACH-000030,-0.5758009906863325
ACH-000035,0.013824578118228565
ACH-000036,-0.21250108652406635
ACH-000037,-0.1059443099520323
ACH-000039,0.006660973708613709
ACH-000040,0.03910036089989016
ACH-000041,-0.14555581948379218
ACH-000042,-0.08515472040677054
ACH-000045,-0.4300928859169213
ACH-000047,-0.11714756947684556
ACH-000052,0.0055144548596990795
ACH-000053,-0.059447559345907834
ACH-000054,-0.01088755152859267
ACH-000055,0.16707161496581008
ACH-000060,-0.12340433051333075
ACH-000067,-0.07791739143628497
ACH-000070,0.08805601430171282
ACH-000075,-0.1557454198744525
ACH-000078,-0.03920923905070737
ACH-000082,-0.12540931888076745
ACH-000085,-0.1110351604346045
ACH-000086,0.038531482683222505
ACH-000087,0.010910729948406209
ACH-000092,-0.061694867367205974
ACH-000095,-0.10187365472072113
ACH-000097,-0.25643107320643593
ACH-000098,-0.16162904406501988
ACH-000099,-0.045519388696364786
ACH-000108,-0.07803815972396796
ACH-000113,-0.35760078488416824
ACH-000116,-0.04316498910518423
ACH-000118,-0.22854785181794698
ACH-000120,-0.1905552097906548
ACH-000123,-0.11526630618200012
ACH-000127,0.04341864991060431
ACH-000128,-0.0819325494177318
ACH-000132,-0.06166743554237372
ACH-000133,-0.07607512191654442
ACH-000137,0.07210270096368956
ACH-000138,-0.030595851713104312
ACH-000142,0.3853381712525959
ACH-000143,-0.04596925107219568
ACH-000146,-1.036519898892324
ACH-000148,0.03688620016382089
ACH-000150,-0.07321759768617665
ACH-000152,-0.13397296669746478
ACH-000153,0.014525482044271155
ACH-000159,-0.0044135678220734815
ACH-000160,-0.10831806528795664
ACH-000163,-0.16058095455468716
ACH-000167,-0.002974088534370345
