,PPM1E (22843)
ACH-000004,-0.052973787742839125
ACH-000005,-0.2976761346475153
ACH-000007,0.0643390586858319
ACH-000009,-0.11797154440947058
ACH-000011,0.045432546098033495
ACH-000012,-0.2391691651111507
ACH-000013,-0.06128234978332009
ACH-000014,-0.042568264649236125
ACH-000015,-0.1408936263524839
ACH-000017,-0.16184112507178958
ACH-000018,-0.1255127444059669
ACH-000019,-0.7163919536183027
ACH-000021,-0.14991295837830548
ACH-000022,-0.16457156600654166
ACH-000025,-0.11610424107639852
ACH-000028,-0.6457691272658718
ACH-000030,-0.12300372221320795
ACH-000035,-0.12054616556602912
ACH-000036,-0.10802783480820438
ACH-000037,-0.10807643294190368
ACH-000039,-0.0042206043758121385
ACH-000040,-0.1813230767687701
ACH-000041,-0.1041341832032906
ACH-000042,-0.1605331203073256
ACH-000045,-0.07852500903515272
ACH-000047,-0.04138185051587226
ACH-000052,-0.14213829312171009
ACH-000053,-0.1346843238511264
ACH-000054,-0.21079097885423495
ACH-000055,0.034033244527523994
ACH-000060,-0.14215602286869045
ACH-000067,-0.19819238411969756
ACH-000070,-0.015078526103296469
ACH-000075,0.0451700999275232
ACH-000078,-0.17417353919538694
ACH-000082,-0.0990770988403174
ACH-000085,-0.2461125878561501
ACH-000086,-0.11073952304165492
ACH-000087,-0.15066558588913853
ACH-000092,-0.03608812758003852
ACH-000095,-0.1662404074815651
ACH-000097,-0.13181244697929906
ACH-000098,-0.1401617619194358
ACH-000099,-0.1755523930825857
ACH-000108,-0.07875886109577883
ACH-000113,0.023480550076926215
ACH-000116,-0.11237068848896636
ACH-000118,-0.0614790924485049
ACH-000120,-0.22559051903040145
ACH-000123,-0.045167118739263434
ACH-000127,-0.05449842213306191
ACH-000128,-0.03187454385302455
ACH-000132,-0.0290453963033766
ACH-000133,-0.07338170938570021
ACH-000137,-0.039498716230840704
ACH-000138,-0.23098463447874565
ACH-000142,0.0006377563558227039
ACH-000143,-0.1814059803064693
ACH-000146,-0.009185441473300993
ACH-000148,-0.09530771878215036
ACH-000150,-0.1589223093974282
ACH-000152,-0.0672668735545185
ACH-000153,-0.02650967225713612
ACH-000159,-0.15268912565476753
ACH-000160,-0.1035076475179954
ACH-000163,-0.1636781973289289
ACH-000167,-0.35521173215867113
ACH-000168,-0.08417419510147098
ACH-000169,-0.0301574306898038
ACH-000178,-0.18776614359308488
ACH-000183,0.02057456489006219
ACH-000188,-0.1694494730579043
ACH-000189,-0.10108150965914152
ACH-000190,-0.2242500943137558
ACH-000198,-0.11408791058304554
ACH-000203,-0.5827522482684889
ACH-000204,0.018861642438581305
ACH-000206,-0.0928583924281022
ACH-000207,-0.039720372651261535
ACH-000208,-0.0571744438601625
ACH-000210,0.07178634853634698
ACH-000211,-0.1368010670071013
ACH-000215,-0.08342951121342587
ACH-000221,-0.13950583314445975
ACH-000222,0.05468547137239583
ACH-000223,-0.10331329134884172
ACH-000226,-0.2467765311814109
ACH-000227,-0.06309623150628668
ACH-000228,-0.008442035803376309
ACH-000231,-0.10455991370042517
ACH-000232,-0.03097025358427694
ACH-000233,-0.0320679813441798
ACH-000234,-0.18899748200599467
ACH-000235,-0.1202973604029604
ACH-000237,-0.038908471863584516
ACH-000238,-0.25246728709428146
ACH-000242,0.04146641005400823
ACH-000243,-0.1596295815740924
ACH-000244,-0.03449721488926179
ACH-000246,-0.12205778181774556
ACH-000248,-0.05106814486055128
ACH-000250,-0.13937364996108334
ACH-000251,-0.08434604006314486
ACH-000252,-0.0693150054629038
ACH-000253,-0.1831854947377912
ACH-000255,-0.30671071752179624
ACH-000256,-0.08653308500036874
ACH-000257,0.03595148837998813
ACH-000258,-0.08020549227067521
ACH-000259,-0.045980877139040234
ACH-000260,-0.0726851898145836
ACH-000261,-0.0163675752618846
ACH-000262,-0.010401783574223424
ACH-000263,-0.17098984537096465
ACH-000264,-0.2416429911223769
ACH-000265,-0.2373025231727133
ACH-000266,-0.08015308687628006
ACH-000272,-0.10985248465360403
ACH-000274,-0.20671286498234792
