,RASGRP1 (10125)
ACH-000004,-0.2068713785951092
ACH-000005,-0.1373572902008878
ACH-000007,-0.07837325216804847
ACH-000009,-0.3356943398458347
ACH-000011,-0.1099695102529601
ACH-000012,-0.09138709450480516
ACH-000013,-0.1548033606954944
ACH-000014,-0.35755247924802325
ACH-000015,-0.17702393057965754
ACH-000017,-0.10323855402724873
ACH-000018,-0.10089777689102736
ACH-000019,-0.2784915147402301
ACH-000021,-0.11107964403741268
ACH-000022,-0.21400337143666312
ACH-000025,-0.33676041349425107
ACH-000028,-0.09052937873314656
ACH-000030,-0.2429647860574699
ACH-000035,-0.20453774954744386
ACH-000036,-0.14769604313386475
ACH-000037,-0.20939210204535805
ACH-000039,-0.2579427511076113
ACH-000040,-0.06344109885833793
ACH-000041,-0.34527566436889
ACH-000042,-0.1394367551941844
ACH-000045,-0.30884473684694946
ACH-000047,-0.19139939629030106
ACH-000052,-0.30675825306192306
ACH-000053,-0.21430684276500125
ACH-000054,-0.16082124740066067
ACH-000055,-0.29535059807886754
ACH-000060,-0.05153681150469997
ACH-000067,-0.22216861205791025
ACH-000070,-0.1923327857094999
ACH-000075,-0.12742710873149926
ACH-000078,-0.1453348609249937
ACH-000082,-0.08151956986387943
ACH-000085,-0.35744356913032393
ACH-000086,-0.1571581341236746
ACH-000087,-0.24582864771586885
ACH-000092,-0.16638895514213956
ACH-000095,-0.1392061861778294
ACH-000097,-0.14779989066019128
ACH-000098,-0.02752799361148319
ACH-000099,-0.3756778503238525
ACH-000108,-0.10960658468230236
ACH-000113,-0.19638383493772385
ACH-000116,-0.2227964277975915
ACH-000118,-0.08436566445182983
ACH-000120,-0.2860567277598939
ACH-000123,-0.22482804288503205
ACH-000127,-0.17907275535923214
ACH-000128,-0.11264242654269467
ACH-000132,-0.34114253376626913
ACH-000133,-0.08777944903297284
ACH-000137,-0.19160133251714828
ACH-000138,-0.11814910021966114
ACH-000142,-0.09195259366357483
ACH-000143,-0.2591522340408216
ACH-000146,-0.3040598961511473
ACH-000148,-0.1676506781889967
ACH-000150,-0.11970682511348354
ACH-000152,-0.08538277291870361
ACH-000153,-0.07701566284982042
ACH-000159,-0.2516223228357762
ACH-000160,-0.3213424349742973
ACH-000163,0.02394610662834107
ACH-000167,-0.23988041729987555
ACH-000168,-0.21139902181299844
ACH-000169,-0.19289144218004414
ACH-000178,-0.1771551406191319
ACH-000183,-0.13393037401962274
ACH-000188,-0.20964305567581665
ACH-000189,-0.16815290413180115
ACH-000190,-0.13533006229378772
ACH-000198,-0.1682954757682564
ACH-000203,-0.3568373081046388
ACH-000204,-0.3216051434615924
ACH-000206,-0.21562311103693732
ACH-000207,-0.1205362145305133
ACH-000208,-0.24543377905184866
ACH-000210,-0.23917206537943586
ACH-000211,-0.19998250677058885
ACH-000215,-0.20121059101017316
ACH-000221,-0.3259632134246976
ACH-000222,-0.2757152129630008
ACH-000223,-0.2845531759389468
ACH-000226,-0.05553448792338223
ACH-000227,-0.482709098683603
ACH-000228,-0.2302009605797258
ACH-000231,-0.20307440342291214
ACH-000232,-0.06461763777352346
ACH-000233,-0.21906085695706645
ACH-000234,-0.2190332149204529
ACH-000235,-0.24322043942841426
ACH-000237,-0.2496486873802113
ACH-000238,-0.26611833360411097
ACH-000242,-0.5151029968774024
ACH-000243,-0.16913146299731108
ACH-000244,-0.04973225043132165
ACH-000246,-0.05355745971684782
ACH-000248,-0.24853711937001444
ACH-000250,-0.2039618968910253
ACH-000251,-0.06315746555554377
ACH-000252,-0.05797392641963595
ACH-000253,-0.267481513066473
ACH-000255,-0.21696004099023036
ACH-000256,-0.31179311839494234
ACH-000257,0.1627282421079251
ACH-000258,-0.31498663366688123
ACH-000259,-0.2313259983782167
ACH-000260,-0.1881428489618953
ACH-000261,-0.2822188810105509
ACH-000262,-0.17520659020091067
ACH-000263,0.14984206499787325
ACH-000264,-0.21877803396277684
ACH-000265,-0.4094219849668977
ACH-000266,-0.25375694202160504
ACH-000272,-0.23030052322355435
ACH-000274,-0.2636826610405204
ACH-000277,-0.09851994595574456
ACH-000278,-0.08801501795816516
ACH-000279,-0.1674080985506776
ACH-000280,-0.13824567552208825
ACH-000281,-0.11698396741311508
ACH-000288,-0.2045962554768022
ACH-000291,-0.2718134901528893
ACH-000293,-0.1318480252094582
ACH-000294,-0.243084327544464
ACH-000295,0.06587471443739319
ACH-000296,-0.12857320843308884
ACH-000302,-0.2516005261464179
ACH-000304,-0.02108251895827119
ACH-000307,-0.2559723719307201
ACH-000308,-0.16748670919375436
ACH-000310,-0.3884314738796665
ACH-000311,-0.24033094577604766
ACH-000312,-0.16307469418624942
ACH-000315,-0.8513527884047732
ACH-000316,-0.15674664044481615
ACH-000317,-0.181342976891584
ACH-000318,-0.44208767717524666
ACH-000319,-0.2472369746359456
ACH-000320,-0.09970445348378923
ACH-000322,0.06733029027042459
ACH-000323,-0.13193618149819727
ACH-000324,-0.21226241849647207
ACH-000329,-0.15201717398746548
ACH-000330,-0.1587862725592974
ACH-000331,-0.2343467133565804
ACH-000332,-0.3343355686706801
ACH-000334,-0.4045767332739611
ACH-000335,-0.18985216664777385
ACH-000336,-0.3801040996317276
ACH-000337,-0.21793128832874575
ACH-000338,-0.15443169740165966
ACH-000339,-0.2573255947286481
ACH-000341,-0.15729901639031224
ACH-000348,-0.2177167539915968
ACH-000350,-0.3559589390805663
ACH-000352,-0.1870589623385848
ACH-000356,-0.3970228702500768
ACH-000361,-0.29020946325243985
ACH-000362,-0.11810126751951493
ACH-000363,-0.18787473428125967
ACH-000364,-0.09388058232097793
ACH-000365,-0.4110269860122096
ACH-000366,-0.2235163450992133
ACH-000368,-0.4280711086849151
ACH-000374,-0.3965020027166489
ACH-000375,-0.22812591313008346
ACH-000376,-0.19486228212330206
ACH-000381,-0.19327617070868164
ACH-000383,-0.27910782840078885
ACH-000387,-0.2307672093999276
ACH-000389,-0.07577484026641906
ACH-000390,-0.17025194341791125
ACH-000393,-0.2809781482782454
