,HVCN1 (84329)
ACH-000004,-0.03737751566723816
ACH-000005,-0.4430197708216261
ACH-000007,-0.20369984584002448
ACH-000009,-0.16233139334278632
ACH-000011,-0.2517053176344349
ACH-000012,-0.13331816901207166
ACH-000013,-0.17057772849266278
ACH-000014,-0.16929332838333744
ACH-000015,-0.1679822883308413
ACH-000017,-0.18381427751144855
ACH-000018,-0.2335480993496017
ACH-000019,-0.00469297406546623
ACH-000021,-0.2660934044305556
ACH-000022,-0.14376410943949974
ACH-000025,-0.17343652536595994
ACH-000028,-0.09457271334164567
ACH-000030,-0.057335187403801835
ACH-000035,0.07671600773734223
ACH-000036,-0.17599994539194833
ACH-000037,-0.2943841984920351
ACH-000039,-0.2543434851784861
ACH-000040,-0.254777517854316
ACH-000041,-0.16116993552617792
ACH-000042,-0.16902662563571516
ACH-000045,-0.14721720919120354
ACH-000047,-0.10009195133957917
ACH-000052,-0.05743274137749805
ACH-000053,-0.0811411639350158
ACH-000054,-0.14924275203770862
ACH-000055,-0.25083684881912244
ACH-000060,-0.1105550919957114
ACH-000067,-0.2610157967394546
ACH-000070,-0.004193806126416622
ACH-000075,-0.058823374877705364
ACH-000078,-0.1130130524261536
ACH-000082,-0.08584640139079383
ACH-000085,-0.033902270893144584
ACH-000086,-0.19466551852607347
ACH-000087,-0.1728858285989082
ACH-000092,-0.10241786391662323
ACH-000095,-0.09702465195993884
ACH-000097,-0.1309572313764091
ACH-000098,-0.04669654241352605
ACH-000099,-0.12701732589263198
ACH-000108,-0.08704417670493915
ACH-000113,-0.1455410542474027
ACH-000116,-0.09143104938853308
ACH-000118,-0.11514449042243287
ACH-000120,-0.17048197267436987
ACH-000123,-0.1438101502525949
ACH-000127,-0.15544578292754924
ACH-000128,-0.13026950510093566
ACH-000132,-0.10700323875839762
ACH-000133,-0.2098965758049428
ACH-000137,-0.2679865141386641
ACH-000138,-0.14977859116536354
ACH-000142,-0.17190909445014638
ACH-000143,-0.14150881953098002
ACH-000146,-0.1152323621714226
ACH-000148,-0.1891432660840562
ACH-000150,-0.1852796022641727
ACH-000152,-0.13997211442269206
ACH-000153,0.022205780625755782
ACH-000159,-0.20886348280607173
ACH-000160,-0.20152052555169
ACH-000163,-0.1965731033128368
ACH-000167,-0.2408883842995818
ACH-000168,-0.1196680479635202
ACH-000169,-0.24417215277548976
ACH-000178,-0.13761272600447685
ACH-000183,-0.16801377749936292
ACH-000188,-0.09144532850532316
ACH-000189,-0.10619715313894997
ACH-000190,-0.3440873920791877
ACH-000198,-0.17477798721003193
ACH-000203,0.02706811436661361
ACH-000204,-0.15420627330405695
ACH-000206,-0.1628278967236578
ACH-000207,-0.22403640689854368
ACH-000208,-0.2974294123526342
ACH-000210,-0.011933018705200884
ACH-000211,-0.17240764034435274
ACH-000215,-0.19758835994073465
ACH-000221,-0.145676979741831
ACH-000222,-0.13363404650851354
ACH-000223,-0.12881521570890142
ACH-000226,-0.20242756602470666
ACH-000227,-0.13159264969550896
ACH-000228,-0.2131337182861652
ACH-000231,-0.0879067522188036
ACH-000232,-0.20597307940025145
ACH-000233,-0.09334255222565507
ACH-000234,-0.14133926161486274
ACH-000235,-0.14022695197856622
ACH-000237,-0.12434246771194755
ACH-000238,-0.12057281783505285
ACH-000242,-0.011519331718405352
ACH-000243,-0.11398610684816762
ACH-000244,-0.09780587146922584
ACH-000246,-0.1016074333465332
ACH-000248,-0.028706755910866362
ACH-000250,-0.12391378316555345
ACH-000251,-0.19690374592981028
ACH-000252,0.007725516850796141
ACH-000253,-0.15125503651219702
ACH-000255,-0.05963940128704355
ACH-000256,-0.17606054705030802
ACH-000257,0.0200945525559531
ACH-000258,0.010973951315510391
ACH-000259,-0.18094223486344269
