,NISCH (11188)
ACH-000004,-0.4118000423770857
ACH-000005,-0.4401300613167281
ACH-000007,-0.4124101026422592
ACH-000009,-0.32067547294885845
ACH-000011,-0.17175301463317655
ACH-000012,-0.3810188770942616
ACH-000013,-0.279411882066783
ACH-000014,-0.3086027384673664
ACH-000015,-0.3249107063849947
ACH-000017,-0.33956038259297355
ACH-000018,-0.5240777360613393
ACH-000019,-0.08566238961210458
ACH-000021,-0.3295671940145148
ACH-000022,-0.4022281020827315
ACH-000025,-0.4386136706541996
ACH-000028,-0.2411177008157324
ACH-000030,-0.2920370825940309
ACH-000035,-0.4164221953047485
ACH-000036,-0.4541191035873216
ACH-000037,-0.4434882790453692
ACH-000039,-0.4866618836625281
ACH-000040,-0.4017599697896773
ACH-000041,-0.378912613036174
ACH-000042,-0.4813842039075334
ACH-000045,-0.3853633561383176
ACH-000047,-0.3234897346364606
ACH-000052,-0.3149063848339711
ACH-000053,-0.3225501851816562
ACH-000054,-0.3775326247709393
ACH-000055,-0.2785122595842935
ACH-000060,-0.4455714581829219
ACH-000067,-0.3518442489697028
ACH-000070,-0.3312266474460233
ACH-000075,-0.3615352688289431
ACH-000078,-0.3827137757226784
ACH-000082,-0.16682058059361768
ACH-000085,-0.4738331921678371
ACH-000086,-0.41251149676993215
ACH-000087,-0.32895708769089804
ACH-000092,-0.2717029985859398
ACH-000095,-0.3365699846892418
ACH-000097,-0.2251354319768928
ACH-000098,-0.3101420236808155
ACH-000099,-0.44989946061817854
ACH-000108,-0.3930359031890206
ACH-000113,-0.3080718755048615
ACH-000116,-0.4385831863876357
ACH-000118,-0.4072083146864216
ACH-000120,-0.2463940808421667
ACH-000123,-0.4978552880076981
ACH-000127,-0.2868277674203799
ACH-000128,-0.4753897484403841
ACH-000132,-0.2451941698419258
ACH-000133,-0.4404153141228966
ACH-000137,-0.3692730533936993
ACH-000138,-0.3766853268574332
ACH-000142,-0.5076651052214837
ACH-000143,-0.3972588968389111
ACH-000146,-0.342294387588023
ACH-000148,-0.2498078580200859
ACH-000150,-0.6022326093686722
ACH-000152,-0.4597995103547733
ACH-000153,-0.07852061116705396
ACH-000159,-0.26848024341285404
ACH-000160,-0.2957845297306025
ACH-000163,-0.1995894076394188
ACH-000167,-0.08875449280431037
ACH-000168,-0.3609045438444858
ACH-000169,-0.21285858811907932
ACH-000178,-0.2804040215598543
ACH-000183,-0.4748841684088676
ACH-000188,-0.5160480993355653
ACH-000189,-0.5952329001787705
ACH-000190,-0.6004146463072931
ACH-000198,-0.2674743878912608
ACH-000203,0.5754964096575401
ACH-000204,-0.188287573899128
ACH-000206,-0.4042621215789412
ACH-000207,-0.3237927490835081
ACH-000208,-0.40197182793282615
ACH-000210,-0.2016863219929443
ACH-000211,-0.4702998757758609
ACH-000215,-0.2661344254475997
ACH-000221,-0.390933205862308
ACH-000222,-0.5038537880934562
ACH-000223,-0.2500710323598754
ACH-000226,-0.275166015998933
ACH-000227,-0.310089323095183
ACH-000228,-0.3397037917949748
ACH-000231,-0.3747982455056406
ACH-000232,-0.24156859457499005
ACH-000233,-0.3532115587759811
ACH-000234,-0.3245680808950356
ACH-000235,-0.3812471373105673
ACH-000237,-0.2889873691746804
ACH-000238,-0.44060740485948935
ACH-000242,-0.3629152128255253
ACH-000243,-0.35520288424738033
ACH-000244,-0.1892194166117257
ACH-000246,-0.25116968638487497
ACH-000248,-0.3660225359500812
ACH-000250,-0.3307219801750005
ACH-000251,-0.28115815681491163
ACH-000252,-0.36439740147325256
ACH-000253,-0.41258582646753067
ACH-000255,-0.3461167742667296
ACH-000256,-0.3001353978664355
ACH-000257,-0.4517816848855895
ACH-000258,-0.3704445049764459
ACH-000259,-0.35476631085949434
ACH-000260,-0.3231338567276838
ACH-000261,-0.3848884607928055
ACH-000262,-0.15048142256208996
ACH-000263,-0.5815874788209341
ACH-000264,-0.28990259287224746
ACH-000265,-0.4103660417463715
ACH-000266,-0.2989976680638853
ACH-000272,-0.37110001651369945
ACH-000274,-0.4075219752036956
ACH-000277,-0.3950338318890732
ACH-000278,-0.2488652427690768
ACH-000279,-0.3596425993403754
