,GGCX (2677)
ACH-000004,-0.1475376319711198
ACH-000005,-0.4268347961427574
ACH-000007,-0.11786285061007434
ACH-000009,-0.08505201271162566
ACH-000011,-0.24612962437922786
ACH-000012,-0.1481592613707612
ACH-000013,-0.21300921909940695
ACH-000014,-0.23645357492855915
ACH-000015,-0.16279505334311656
ACH-000017,-0.07678033800161188
ACH-000018,-0.3833224030908163
ACH-000019,-0.10983793192793134
ACH-000021,-0.2780839032758905
ACH-000022,-0.2078077354296765
ACH-000025,-0.15275553528271954
ACH-000028,-0.3602931064280019
ACH-000030,-0.2382207798440519
ACH-000035,-0.3146656913826107
ACH-000036,-0.16990843762776167
ACH-000037,-0.2386026170177609
ACH-000039,-0.060634432623172266
ACH-000040,-0.15558647703146725
ACH-000041,-0.12627633533264976
ACH-000042,-0.277072692965699
ACH-000045,-0.16476255761166944
ACH-000047,-0.15544252116931104
ACH-000052,-0.2950774460269481
ACH-000053,-0.16616533645912324
ACH-000054,-0.2174051258758409
ACH-000055,-0.18445520638400334
ACH-000060,-0.2884939900455418
ACH-000067,-0.31676366687220026
ACH-000070,-0.16647406981849805
ACH-000075,-0.4069049215112421
ACH-000078,-0.15000144016571584
ACH-000082,-0.14598261756830516
ACH-000085,-0.3497543245591627
ACH-000086,-0.2766267310737843
ACH-000087,-0.3218132720000356
ACH-000092,-0.287165109928786
ACH-000095,-0.16102754164823072
ACH-000097,-0.24593969509214195
ACH-000098,-0.24844610598285624
ACH-000099,-0.2290130960237035
ACH-000108,-0.16069612017105211
ACH-000113,-0.1869690282770481
ACH-000116,-0.24440867300819494
ACH-000118,-0.22131635077795328
ACH-000120,-0.16528426753869058
ACH-000123,-0.3639423275162588
ACH-000127,-0.2843382483526484
ACH-000128,-0.0998056953384006
ACH-000132,-0.23743946135903085
ACH-000133,-0.202725177929782
ACH-000137,-0.211872123181091
ACH-000138,-0.09079580855325588
ACH-000142,-0.3005805819623404
ACH-000143,-0.2404526435293424
ACH-000146,-0.15322322504237812
ACH-000148,-0.06789819458823391
ACH-000150,-0.16051952221759624
ACH-000152,-0.3097586245930836
ACH-000153,-0.2305247744233561
ACH-000159,-0.2571919080728894
ACH-000160,-0.2754335602561021
ACH-000163,-0.2165221485414136
ACH-000167,-0.3608127074680644
ACH-000168,-0.2358298103344719
ACH-000169,-0.17407982511802855
ACH-000178,-0.12862270899385028
ACH-000183,-0.10335441455229577
ACH-000188,-0.3690285624229201
ACH-000189,-0.2527860302401068
ACH-000190,-0.027124346593412868
ACH-000198,-0.1545589360599747
ACH-000203,-0.16015044097548167
ACH-000204,-0.2052359884328914
ACH-000206,-0.15695375096982994
ACH-000207,-0.013099041128017751
ACH-000208,-0.1209876548209204
ACH-000210,-0.2957132455454673
ACH-000211,-0.27734505119160197
ACH-000215,-0.17405841654821014
ACH-000221,-0.3986699556930348
ACH-000222,-0.1982013264690181
ACH-000223,-0.20814244669548126
ACH-000226,-0.25441645316262396
ACH-000227,-0.17703088220456425
ACH-000228,-0.3889153852990577
ACH-000231,-0.21733522234320454
ACH-000232,-0.3043793247037909
ACH-000233,0.007363719899418883
ACH-000234,-0.1658898065013856
ACH-000235,-0.1787515154688581
ACH-000237,-0.2358470430748317
ACH-000238,-0.3006650090835711
ACH-000242,-0.34556547341268823
ACH-000243,-0.3553216913579166
ACH-000244,-0.3547425008561189
ACH-000246,-0.19256469435138926
ACH-000248,-0.272133134440256
ACH-000250,-0.2484764410560315
ACH-000251,-0.3584371206208043
ACH-000252,-0.4723070552091327
ACH-000253,-0.1576523381571652
ACH-000255,-0.20870971868819696
ACH-000256,-0.4175209936178631
ACH-000257,-0.134552611000981
ACH-000258,-0.23278657181366785
ACH-000259,-0.1583504761300928
ACH-000260,-0.2844478371696987
ACH-000261,-0.13267391900680245
ACH-000262,-0.11268951351028555
ACH-000263,-0.1977122250083472
ACH-000264,-0.241465013367636
