,MIEN1 (84299)
ACH-000004,-0.17800747272379785
ACH-000005,-0.1130044330651604
ACH-000007,-0.5680661626379352
ACH-000009,-0.3813208349446465
ACH-000011,-0.3730394121195931
ACH-000012,-0.4436153125208438
ACH-000013,-0.15503540112037803
ACH-000014,-0.15703719253776754
ACH-000015,-0.1442668620053659
ACH-000017,-0.5453332375027214
ACH-000018,-0.2837215482699027
ACH-000019,-0.22376576906977705
ACH-000021,-0.2351075920147351
ACH-000022,-0.32595659779883457
ACH-000025,-0.05885022904619273
ACH-000028,-0.35601996591898066
ACH-000030,-0.34434665999332725
ACH-000035,-0.29598264190515217
ACH-000036,-0.12871194081468235
ACH-000037,-0.0016123244924944634
ACH-000039,-0.4317146224199653
ACH-000040,-0.29398122942401866
ACH-000041,-0.4543566157537886
ACH-000042,-0.19968738277919207
ACH-000045,-0.4312262923347537
ACH-000047,-0.4027798392485834
ACH-000052,-0.2294841635384063
ACH-000053,-0.34831649121961633
ACH-000054,-0.2653374864058579
ACH-000055,-0.29525028884184923
ACH-000060,-0.25680052763290506
ACH-000067,-0.3033725969853632
ACH-000070,-0.34659016037595697
ACH-000075,-0.5199152065893793
ACH-000078,-0.3208756764732953
ACH-000082,-0.2500456421624621
ACH-000085,-0.35157563022392835
ACH-000086,-0.2412935806449029
ACH-000087,-0.2292482118240203
ACH-000092,-0.13138840287504872
ACH-000095,-0.3616727871709934
ACH-000097,-0.37984928975551374
ACH-000098,-0.3976448265465679
ACH-000099,-0.3342875630442924
ACH-000108,-0.18362765291206304
ACH-000113,-0.17810950107365736
ACH-000116,-0.3953978414719593
ACH-000118,-0.30757551191529064
ACH-000120,-0.31193643833142964
ACH-000123,-0.2341442189172573
ACH-000127,-0.1612090015268515
ACH-000128,-0.2771753772295556
ACH-000132,-0.3927309350562998
ACH-000133,-0.1990895827945521
ACH-000137,-0.039730923586245095
ACH-000138,-0.561789903951621
ACH-000142,-0.32459404931601515
ACH-000143,-0.21022104115924245
ACH-000146,-0.19952000166904496
ACH-000148,-0.3429452331189022
ACH-000150,-0.12322505688154625
ACH-000152,-0.30865310877366403
ACH-000153,-0.4357516666818773
ACH-000159,-0.2102553770046021
ACH-000160,-0.33524917288772416
ACH-000163,-0.3049434771589321
ACH-000167,-0.32655269347067056
ACH-000168,-0.14388991379068775
ACH-000169,-0.18970959281526387
ACH-000178,-0.31754386041704746
ACH-000183,-0.3882030595502663
ACH-000188,-0.2259722773379425
ACH-000189,-0.4194562662191239
ACH-000190,-0.4222760897960112
ACH-000198,-0.21818472390326954
ACH-000203,-0.5511477673616244
ACH-000204,-0.33693334852840623
ACH-000206,-0.4458833335759983
ACH-000207,-0.2175816596033553
ACH-000208,-0.22024445586714445
ACH-000210,0.22096789625362914
ACH-000211,-0.31475241179262314
ACH-000215,-0.3527641864414157
ACH-000221,-0.13321922334804834
ACH-000222,-0.3124068336705058
ACH-000223,-0.22900821743547706
ACH-000226,-0.3506492120881975
ACH-000227,-0.3249115307603377
ACH-000228,-0.3072054055797172
ACH-000231,-0.32785330918164657
ACH-000232,-0.338962428182834
ACH-000233,-0.23991240240596365
ACH-000234,-0.3272844891670579
ACH-000235,-0.2544012483069611
ACH-000237,-0.2311450977120267
ACH-000238,-0.3525887372089902
ACH-000242,-0.01984332791194998
ACH-000243,-0.4753137670632545
ACH-000244,-0.463907379105694
ACH-000246,-0.099712821517898
ACH-000248,-0.28798229497378464
ACH-000250,-0.2846385000130498
ACH-000251,-0.6279542411743724
ACH-000252,-0.17486404187150942
ACH-000253,-0.2496110422419261
ACH-000255,-0.3904655663621888
ACH-000256,-0.3500272081434711
ACH-000257,-0.12870574258890474
ACH-000258,-0.14788213486762586
ACH-000259,-0.16913194947718607
ACH-000260,-0.3685112685452001
ACH-000261,-0.22962021959851564
ACH-000262,-0.16004164528979145
ACH-000263,-0.2139530475385455
ACH-000264,-0.2557714801888579
ACH-000265,-0.3073126739461975
ACH-000266,-0.2538262999946702
ACH-000272,-0.3669926086570462
ACH-000274,-0.23290080746998776
ACH-000277,-0.8206565358993597
ACH-000278,-0.2681151971078301
ACH-000279,-0.2701407436535203
ACH-000280,-0.3737256131628676
ACH-000281,-0.1351994536408056
ACH-000288,-0.22874853864392464
ACH-000291,-0.3298760570145705
ACH-000293,-0.3306724986639678
ACH-000294,-0.2581026991966171
ACH-000295,-0.36505038569788895
ACH-000296,-0.4264618117810606
ACH-000302,-0.18705048764991486
ACH-000304,-0.0703805379396432
ACH-000307,-0.3760942165264792
ACH-000308,-0.2526579664482785
ACH-000310,-0.2919648857057988
ACH-000311,-0.2043254806057216
ACH-000312,-0.23023868105475345
ACH-000315,-0.3751082644568756
ACH-000316,-0.3685357335966571
ACH-000317,-0.2684077049732081
ACH-000318,-0.3145192275040853
ACH-000319,-0.23843897240856116
ACH-000320,-0.0817937897929707
ACH-000322,-0.15631263557610792
ACH-000323,-0.07616286727316818
ACH-000324,-0.4518878822101666
ACH-000329,-0.20525234915597185
ACH-000330,-0.29259589950607817
ACH-000331,-0.3239455902780352
ACH-000332,-0.33002902980982074
ACH-000334,-0.4969824731456169
ACH-000335,-0.6367718194596952
ACH-000336,-0.34315339127327193
ACH-000337,-0.3813067909717687
ACH-000338,-0.6573211789984902
ACH-000339,-0.31528529753201623
ACH-000341,-0.1141253433754388
ACH-000348,-0.2772910473871427
ACH-000350,-0.2365987954594819
ACH-000352,-0.24534036665384945
ACH-000356,-0.3630510530128173
ACH-000361,-0.2988609993971685
ACH-000362,-0.07288708524457267
ACH-000363,-0.17928327893872456
ACH-000364,-0.4875865492773394
ACH-000365,-0.3052576603317969
ACH-000366,-0.1410289270602987
ACH-000368,-0.10834409171587188
ACH-000374,-0.2674080967979656
ACH-000375,-0.05682031602008759
ACH-000376,-0.2509163979471565
ACH-000381,-0.3774251653412951
ACH-000383,-0.32700074792572825
ACH-000387,-0.15657399056744065
ACH-000389,-0.40405811314612505
ACH-000390,-0.2484645317837861
ACH-000393,-0.23636617003834706
ACH-000395,-0.4256502640148717
ACH-000396,0.02012313604566696
ACH-000397,-0.4900496861180539
ACH-000401,-0.29595160749202337
ACH-000402,-0.628891677504418
ACH-000403,-0.3075981603892585
ACH-000404,-0.5050017776226811
ACH-000406,-0.2097107842829468
ACH-000407,-0.1926058702255164
ACH-000408,-0.3338814094692777
ACH-000410,-0.2949436687422827
ACH-000411,-0.4049252222109858
ACH-000414,-0.14427341885270945
ACH-000415,-0.3405779571595701
ACH-000416,-0.21921866168497786
ACH-000420,-0.15305767165571532
ACH-000421,-0.3202161908127246
ACH-000424,-0.19613184248240306
ACH-000425,-0.3078146207795298
ACH-000426,-0.2537568553951981
ACH-000427,-0.6481683375593922
ACH-000433,-0.3820532937036322
ACH-000435,-0.3455062141733921
ACH-000436,-0.3492676397886527
ACH-000444,-0.19357388871409004
ACH-000445,-0.10314136073870013
ACH-000448,-0.29714447757342266
ACH-000450,-0.29792906905208605
ACH-000452,-0.2807021285325728
ACH-000454,-0.027537348515079742
ACH-000458,-0.181985072845094
ACH-000459,-0.17267555197985315
ACH-000460,-0.2186374192413363
ACH-000461,-0.32508614810747155
ACH-000463,-0.3764535957773729
ACH-000464,-0.18811521696199496
