,P4HA3 (283208)
ACH-000004,-0.0036236903140291774
ACH-000005,-0.5368916925776662
ACH-000007,0.0476550923040857
ACH-000009,-0.04418235914171923
ACH-000011,-0.032220753027411723
ACH-000012,-0.08014225024028822
ACH-000013,-0.11399094742104847
ACH-000014,0.09404412566036467
ACH-000015,-0.06235232865378033
ACH-000017,-0.02480688366724373
ACH-000018,-0.16932545516772346
ACH-000019,-0.2317105270886821
ACH-000021,-0.15346632946706193
ACH-000022,-0.12301332043706725
ACH-000025,-0.04210533427653162
ACH-000028,-0.15233063118262552
ACH-000030,-0.1428927712303035
ACH-000035,-0.07749541864454837
ACH-000036,-0.04466273986567182
ACH-000037,-0.1501947440834279
ACH-000039,-0.06094969712752937
ACH-000040,-0.10239848807124452
ACH-000041,-0.18676042379899574
ACH-000042,-0.15832529785846874
ACH-000045,0.0023259417329570932
ACH-000047,-0.1412078800171319
ACH-000052,-0.08616006608956088
ACH-000053,-0.07904518223985894
ACH-000054,-0.021735819158961344
ACH-000055,0.021172270166264433
ACH-000060,-0.0556101428130641
ACH-000067,0.12539914644725367
ACH-000070,-0.1825104127246201
ACH-000075,-0.19392059334549974
ACH-000078,-0.093717181833289
ACH-000082,-0.13337368097025493
ACH-000085,-0.17829955568381178
ACH-000086,-0.16088974028895295
ACH-000087,-0.01260964983545238
ACH-000092,-0.08728557854183253
ACH-000095,-0.06590951367018341
ACH-000097,-0.1697239801930286
ACH-000098,0.02692315500704891
ACH-000099,-0.10127612839407957
ACH-000108,-0.04642728644974005
ACH-000113,-0.18752510503832293
ACH-000116,-0.16476283310311768
ACH-000118,-0.14014848484370304
ACH-000120,-0.10737662177844184
ACH-000123,-0.009024685798811587
ACH-000127,-0.09063065714717716
ACH-000128,0.029932412989196727
ACH-000132,-0.0960333847489624
ACH-000133,-0.03106465698879168
ACH-000137,-0.415269898113659
ACH-000138,-0.10128969163700184
ACH-000142,-0.056141054293338336
ACH-000143,-0.03880840689114095
ACH-000146,-0.10351997814743412
ACH-000148,-0.11982924385405318
ACH-000150,-0.08311463494417723
ACH-000152,-0.0935224771168794
ACH-000153,-0.2822330696720465
ACH-000159,-0.03540078185872584
ACH-000160,0.11479237403677013
ACH-000163,0.04160001162436425
ACH-000167,0.4063548445379831
ACH-000168,-0.2569239058514428
ACH-000169,0.08964113487622444
ACH-000178,-0.11520900737052744
ACH-000183,-0.1669121815365492
ACH-000188,-0.17626249012047324
ACH-000189,-0.11756948181609013
ACH-000190,0.18565835998604627
ACH-000198,-0.15373504339269564
ACH-000203,-0.0890396809347477
ACH-000204,0.0468111519683076
ACH-000206,0.013600594234506007
ACH-000207,-0.43875437276587204
ACH-000208,-0.1451021859241647
ACH-000210,-0.1704030331850504
ACH-000211,0.06969022774550973
ACH-000215,-0.0979341452544662
ACH-000221,-0.16914751264504493
ACH-000222,-0.058537666535911664
ACH-000223,-0.06664893087241333
ACH-000226,-0.046578926849508435
ACH-000227,-0.03064429303603972
ACH-000228,-0.2175313911368279
ACH-000231,-0.07160897018553186
ACH-000232,-0.07229567162703057
ACH-000233,-0.08039019643641145
ACH-000234,-0.046662096932139366
ACH-000235,-0.091270914138087
ACH-000237,-0.2988022282457476
ACH-000238,-0.23100032881476956
ACH-000242,-0.2729283949940343
ACH-000243,-0.014229384571901024
ACH-000244,-0.4069644126427969
ACH-000246,-0.061702738055926964
ACH-000248,0.13362448308296526
ACH-000250,-0.04864873831543685
ACH-000251,-0.07496588308855683
ACH-000252,-0.03950598861293416
