,PKHD1 (5314)
ACH-000004,-0.17786820904636333
ACH-000005,-0.1426158916562547
ACH-000007,0.002118013642262499
ACH-000009,-0.0838581462570803
ACH-000011,-0.05338185226463342
ACH-000012,-0.07882002024515794
ACH-000013,-0.11768634678255788
ACH-000014,-0.162465245900676
ACH-000015,0.028612169066322506
ACH-000017,0.053900666192019664
ACH-000018,-0.05932434582194726
ACH-000019,-0.11119422650800967
ACH-000021,-0.09656957275486802
ACH-000022,-0.07135537317244929
ACH-000025,-0.08085830768070466
ACH-000028,-0.1323350207536781
ACH-000030,-0.1504449305539187
ACH-000035,-0.2925760064490416
ACH-000036,-0.1687739564710008
ACH-000037,-0.2621846087330369
ACH-000039,-0.09520270835648448
ACH-000040,0.04794732145090587
ACH-000041,-0.11422102169186304
ACH-000042,-0.07794571402124248
ACH-000045,-0.20162999954346936
ACH-000047,-0.1912397012152079
ACH-000052,-0.3548115058232569
ACH-000053,-0.11486860857751895
ACH-000054,-0.059996213488571475
ACH-000055,-0.015746431514697432
ACH-000060,-0.15541508568609802
ACH-000067,-0.3258641355375139
ACH-000070,0.03328304331442188
ACH-000075,-0.016410464719485717
ACH-000078,-0.3851890448027871
ACH-000082,-0.18044064100644305
ACH-000085,-0.0010476312452266938
ACH-000086,-0.08006535224286353
ACH-000087,-0.1473689877403719
ACH-000092,-0.0849066765223939
ACH-000095,-0.10860056894858633
ACH-000097,-0.12892548449785052
ACH-000098,-0.10989813094375148
ACH-000099,-0.2204262386434476
ACH-000108,-0.06329776029625556
ACH-000113,-0.19554084616936626
ACH-000116,-0.025102011299092918
ACH-000118,-0.06623557240604418
ACH-000120,-0.009684321966911196
ACH-000123,-0.08123557799944539
ACH-000127,-0.16263838407904618
ACH-000128,-0.11979705223346272
ACH-000132,-0.07546479473960332
ACH-000133,-0.15366347841265346
ACH-000137,0.08971054923063163
ACH-000138,-0.0877708278497207
ACH-000142,-0.18810780110978745
ACH-000143,0.1903647931773585
ACH-000146,-0.08055345072347568
