,LAMC1 (3915)
ACH-000004,0.13757135867647752
ACH-000005,-0.13996254699261526
ACH-000007,-0.13435634125247964
ACH-000009,0.004892089662831391
ACH-000011,0.05268315873579765
ACH-000012,0.05753545399110399
ACH-000013,-0.04181342526251074
ACH-000014,0.1368477803565918
ACH-000015,-0.0004903280685588668
ACH-000017,0.04676885988603527
ACH-000018,-0.024676610131074656
ACH-000019,0.10111449178226503
ACH-000021,0.13224157962697825
ACH-000022,0.20425385930131632
ACH-000025,-0.06374367859802912
ACH-000028,0.06195676214735979
ACH-000030,0.04027685560137737
ACH-000035,-0.10954547211988183
ACH-000036,0.046081683258790564
ACH-000037,-0.002988516516190719
ACH-000039,0.055513716771740516
ACH-000040,0.11625490455853338
ACH-000041,0.001578014633523638
ACH-000042,0.13678830707109027
ACH-000045,-0.07319102391458229
ACH-000047,0.09902223799179848
ACH-000052,0.1333248813516104
ACH-000053,0.15178794251413458
ACH-000054,0.03270840781104546
ACH-000055,0.04302721892247202
ACH-000060,-0.04339780382256698
ACH-000067,0.004011556546673468
ACH-000070,-0.1719947973566873
ACH-000075,0.1399236357048397
ACH-000078,0.17305078474462868
ACH-000082,0.027282949943579483
ACH-000085,0.16767380204688512
ACH-000086,0.008210216264428525
ACH-000087,0.2825141284328785
ACH-000092,0.019703839212833592
ACH-000095,-0.04248756365606757
ACH-000097,0.1013082382835155
ACH-000098,-0.062209964040155274
ACH-000099,0.10726353773534612
ACH-000108,0.09227240432675038
ACH-000113,0.08131292209388033
ACH-000116,0.11495217799213868
ACH-000118,0.16902862414663547
ACH-000120,0.1700268423277297
ACH-000123,0.1087255077689201
ACH-000127,0.049676084872576964
ACH-000128,-0.010527687330079707
ACH-000132,-0.0069131413778491775
ACH-000133,0.07080907857208191
ACH-000137,-0.009057709609315909
ACH-000138,0.12941436964184755
ACH-000142,0.20379957732678605
ACH-000143,-0.2959582346067621
ACH-000146,0.10585858359589262
ACH-000148,-0.018206998866112142
ACH-000150,0.03756326939969852
ACH-000152,0.08012459408222898
ACH-000153,-0.02030914362094761
ACH-000159,0.06808654992260091
ACH-000160,-0.04364843548529139
ACH-000163,0.10920587151709052
ACH-000167,-0.07806581096767473
ACH-000168,0.17973950486680298
ACH-000169,0.12883724269251348
ACH-000178,0.0581924705955029
ACH-000183,-0.08591051840351062
ACH-000188,0.16833754940597956
ACH-000189,0.07927930601596841
ACH-000190,0.16668175513398426
ACH-000198,0.06398659129721815
ACH-000203,0.06402799226747204
ACH-000204,-0.06538311059989088
ACH-000206,0.12323926907908694
ACH-000207,0.20127681172125655
ACH-000208,0.02493607414988874
ACH-000210,0.2385252251893729
ACH-000211,-0.008093633814955151
ACH-000215,0.11019273234967188
ACH-000221,0.07910119569366866
ACH-000222,0.10808542033732887
ACH-000223,-0.08161146443587812
ACH-000226,0.05528816295621258
ACH-000227,-0.10784368670594363
ACH-000228,0.13488081545391367
ACH-000231,0.060821450148018874
ACH-000232,0.11325564267255248
ACH-000233,-0.026437183058425483
ACH-000234,-0.05940879488460204
ACH-000235,0.06790491802195638
ACH-000237,0.06275060910538592
ACH-000238,0.0942174676990627
ACH-000242,0.26908040698115177
ACH-000243,0.079049367908875
ACH-000244,0.3791406225086105
ACH-000246,0.008272903866080266
ACH-000248,0.21218741878618735
ACH-000250,0.1042793949834566
ACH-000251,-0.030713039239838837
ACH-000252,0.22438382202677493
ACH-000253,0.1413296213666187
ACH-000255,0.037240847269444134
ACH-000256,0.017724561277472732
ACH-000257,-0.08978507017464721
ACH-000258,0.2799740370549972
ACH-000259,0.16341658903299155
ACH-000260,0.09912559291892807
ACH-000261,0.11192922996008144
ACH-000262,0.12321167462639215
ACH-000263,-0.14836937466729444
ACH-000264,0.019458500793810528
ACH-000265,0.11335409255565362
ACH-000266,0.1028272079600376
ACH-000272,0.09686987264176077
ACH-000274,0.11238086256991717
ACH-000277,0.11819927943838107
ACH-000278,-0.020003777638709096
ACH-000279,0.040959382236690135
ACH-000280,0.12311633858848807
ACH-000281,-0.09369631862538573
ACH-000288,0.048204005152887086
ACH-000291,0.023671120212048587
ACH-000293,0.1240556834549362
ACH-000294,0.048125605347463234
ACH-000295,0.2447412156879471
ACH-000296,0.0037395805090332493
ACH-000302,0.06683250587086931
ACH-000304,0.2702131167747049
ACH-000307,0.1422504361883143
ACH-000308,0.1258267755778323
ACH-000310,0.035056935854295944
ACH-000311,0.10928579495018187
ACH-000312,0.13378030261870613
ACH-000315,0.31649127304885444
ACH-000316,0.019388170025681658
ACH-000317,-0.03898286754223044
ACH-000318,0.10763572109867438
ACH-000319,0.10927459216926494
ACH-000320,0.05717392833023501
ACH-000322,0.056318248782657176
ACH-000323,0.06497285126800036
ACH-000324,-0.058846218070694685
ACH-000329,0.054695410622436325
ACH-000330,0.09129463642005556
ACH-000331,-0.010136849457987577
ACH-000332,0.1156304100470701
ACH-000334,0.04067663858255687
ACH-000335,0.03214478469978624
ACH-000336,0.2638121878818022
ACH-000337,0.20284767618546395
ACH-000338,0.2736953360504771
ACH-000339,0.192099416181444
ACH-000341,0.015973086351542664
ACH-000348,0.21988057096586247
ACH-000350,0.1280966525594997
ACH-000352,0.1748834732845712
ACH-000356,0.05812892338861352
ACH-000361,0.17827239286506924
ACH-000362,-0.004628173048650359
ACH-000363,0.05230388798653339
ACH-000364,0.15796689768771274
ACH-000365,0.13992600386509724
ACH-000366,0.026442029386433863
ACH-000368,0.10331263009373766
