,UBXN6 (80700)
ACH-000004,-0.18985275412993974
ACH-000005,-0.3301107720475045
ACH-000007,-0.10594865322889736
ACH-000009,-0.07827807705811393
ACH-000011,-0.15775204029868342
ACH-000012,-0.08257833301800227
ACH-000013,-0.18188896993880008
ACH-000014,-0.07727212551520088
ACH-000015,-0.21873624990835672
ACH-000017,-0.16933382115804038
ACH-000018,-0.0545942153168749
ACH-000019,-0.15323603276783515
ACH-000021,-0.2568006802351471
ACH-000022,-0.2589697948135617
ACH-000025,-0.17567250874722615
ACH-000028,-0.1737143987172363
ACH-000030,-0.11086025222894882
ACH-000035,-0.25560773022751154
ACH-000036,-0.13849344484712514
ACH-000037,-0.06987859638984255
ACH-000039,-0.21949727967722826
ACH-000040,-0.1256596568282344
ACH-000041,-0.148016398091442
ACH-000042,-0.0959481487803836
ACH-000045,-0.2632162171250194
ACH-000047,-0.1200457012347764
ACH-000052,-0.40045369135591613
ACH-000053,-0.12275666954287565
ACH-000054,-0.16391402756224924
ACH-000055,-0.0972315244302918
ACH-000060,0.2074245165090723
ACH-000067,0.021231069002587696
ACH-000070,-0.053779790846862435
ACH-000075,-0.2117646722645048
ACH-000078,-0.08137994875588778
ACH-000082,-0.3298195178783327
ACH-000085,0.0876343276796023
ACH-000086,-0.2277158363193003
ACH-000087,-0.131706117769799
ACH-000092,-0.1962730279166962
ACH-000095,-0.215704932307936
ACH-000097,-0.13245625527545532
ACH-000098,-0.15137257081807226
ACH-000099,-0.06749924502115097
ACH-000108,-0.2507579673879054
ACH-000113,-0.18259474847671986
ACH-000116,-0.15866930933693624
ACH-000118,-0.100905204023435
ACH-000120,0.03100602534185002
ACH-000123,-0.21355006414932404
ACH-000127,-0.1789417430989305
ACH-000128,-0.052365115021893
ACH-000132,-0.0059228993005552575
ACH-000133,-0.2692880774848302
ACH-000137,-0.31828688937040484
ACH-000138,-0.051864252675145696
ACH-000142,-0.21270244264648847
ACH-000143,-0.05395965338260289
ACH-000146,-0.09955610286438372
ACH-000148,-0.1259470654041865
ACH-000150,-0.08930252611562386
ACH-000152,-0.06947974874776318
ACH-000153,-0.040442577310072815
ACH-000159,-0.21351793647104064
ACH-000160,0.007274693199023509
ACH-000163,-0.17900277233658102
ACH-000167,-0.008767576132856822
ACH-000168,-0.014877113599140816
ACH-000169,-0.08392225286462404
ACH-000178,-0.06180908497619428
ACH-000183,-0.2924176324683332
ACH-000188,-0.19845951551710905
ACH-000189,-0.25087760700491396
