,ITGA2B (3674)
ACH-000004,-0.12880578961488254
ACH-000005,-0.1601067586253862
ACH-000007,-0.04056206316863201
ACH-000009,-0.14355578579540731
ACH-000011,-0.10902427910277307
ACH-000012,-0.11331054047579354
ACH-000013,-0.242772122902454
ACH-000014,-0.21533787402735396
ACH-000015,-0.15832424820281046
ACH-000017,-0.07807270763265341
ACH-000018,-0.07355758665191484
ACH-000019,-0.04100641672990249
ACH-000021,-0.1553301601661956
ACH-000022,-0.053629157001777936
ACH-000025,-0.2633215626736891
ACH-000028,-0.1005995268236019
ACH-000030,-0.2793064783845076
ACH-000035,-0.08477242784655245
ACH-000036,-0.1487485765924492
ACH-000037,-0.04703676522438316
ACH-000039,-0.07024548702224194
ACH-000040,-0.1804812638429681
ACH-000041,-0.07693649267440805
ACH-000042,-0.20466155590670426
ACH-000045,-0.03647635765219913
ACH-000047,-0.1650935460602598
ACH-000052,-0.1885746201467874
ACH-000053,-0.14426300407231982
ACH-000054,-0.06621648950004211
ACH-000055,-0.2090510501017682
ACH-000060,-0.2857876342487056
ACH-000067,-0.2764446884156281
ACH-000070,-0.1517993199278357
ACH-000075,-0.15840892119493308
ACH-000078,-0.1835385546528573
ACH-000082,-0.12420992858987685
ACH-000085,-0.17683748943943173
ACH-000086,-0.21164747525607214
ACH-000087,-0.12883530923681358
ACH-000092,-0.20945111034674746
ACH-000095,-0.2153687122656248
ACH-000097,-0.19317289492398002
ACH-000098,-0.19611146960262532
ACH-000099,-0.13509540602688574
ACH-000108,-0.07586067581734651
ACH-000113,-0.192061727944562
ACH-000116,-0.17921396756144914
ACH-000118,-0.13691198752291026
ACH-000120,-0.1278089916958612
ACH-000123,-0.2460308713114745
ACH-000127,-0.1948527370123885
ACH-000128,-0.18054177427269674
ACH-000132,-0.14848287991332873
ACH-000133,-0.1597803563587306
ACH-000137,-0.1758017310468695
ACH-000138,-0.31920739105746354
ACH-000142,-0.3919177186577818
ACH-000143,-0.17324582560946333
ACH-000146,-0.10297112373048188
ACH-000148,-0.26388733048769936
ACH-000150,-0.28366928438243416
ACH-000152,-0.3071964306743919
ACH-000153,-0.0740596105522779
ACH-000159,0.07786488860003124
ACH-000160,-0.06308813544879169
ACH-000163,-0.2217950591437542
ACH-000167,-0.4949043653858455
ACH-000168,-0.2326974409811159
ACH-000169,-0.14834826448215166
ACH-000178,-0.12786305483032756
ACH-000183,-0.1940895771733918
ACH-000188,-0.159373037264921
ACH-000189,-0.33510853761496723
ACH-000190,-0.16042063242592894
ACH-000198,-0.14326419991587336
ACH-000203,-0.1932228577452805
ACH-000204,-0.0556077820958842
ACH-000206,-0.13006059061747044
ACH-000207,-0.1357683217304414
ACH-000208,-0.06859307345042705
ACH-000210,-0.15782282135261924
ACH-000211,-0.3328751585929693
ACH-000215,-0.16826681551013775
ACH-000221,-0.15451476390319208
ACH-000222,-0.2733137039340822
ACH-000223,-0.17747866947723656
ACH-000226,-0.17137059755726008
ACH-000227,-0.21843699827227556
ACH-000228,-0.19492692372751008
ACH-000231,-0.2466038856422471
ACH-000232,-0.13446841835289167
ACH-000233,-0.20404430594652095
ACH-000234,-0.2591448198816427
ACH-000235,-0.21744074316785456
ACH-000237,-0.15978541249899336
ACH-000238,-0.3469449630827781
ACH-000242,-0.17734490110564585
ACH-000243,-0.281505937084204
ACH-000244,-0.3529170484009404
ACH-000246,-0.13369379471305465
ACH-000248,-0.23238118845863684
ACH-000250,-0.10678586098485347
ACH-000251,-0.3768457236781965
ACH-000252,-0.3257868358279146
ACH-000253,-0.22288107346131208
ACH-000255,-0.16470840790856697
ACH-000256,-0.2319476436158092
ACH-000257,0.007481263630244461
ACH-000258,-0.1371209304617165
ACH-000259,-0.2748024310545382
ACH-000260,-0.23235873473887814
ACH-000261,-0.24670383035844695
ACH-000262,-0.2110115096876912
ACH-000263,0.05182302401996367
ACH-000264,-0.14333509802089694
ACH-000265,-0.2026567361951791
ACH-000266,-0.1333857165821962
ACH-000272,-0.11236730220032687
ACH-000274,-0.26893947597989937
ACH-000277,-0.16476640566817707
ACH-000278,-0.09802488137012064
ACH-000279,-0.2416053922003097
ACH-000280,-0.20756211500229213
ACH-000281,-0.15111911480692358
ACH-000288,-0.3720926036765279
ACH-000291,-0.07490289083196518
ACH-000293,-0.2947828235821119
ACH-000294,-0.263834150072805
ACH-000295,-0.17873598286564327
ACH-000296,-0.12526137267563733
ACH-000302,-0.15021825651733547
ACH-000304,-0.3158200444682374
ACH-000307,-0.1660230837550523
ACH-000308,-0.1227069046478588
ACH-000310,-0.3049285317413785
ACH-000311,-0.13544830023018994
ACH-000312,-0.2525829420102333
ACH-000315,-0.025936357882947767
ACH-000316,-0.2399348553192714
ACH-000317,-0.014657577440897396
ACH-000318,-0.2701885594164762
ACH-000319,-0.2120905885041818
ACH-000320,-0.10384803115623456
