,RAD9A (5883)
ACH-000004,-1.4775507892714956
ACH-000005,-1.563810568229624
ACH-000007,-1.0707565932930578
ACH-000009,-0.5069440133975972
ACH-000011,-1.29889808119454
ACH-000012,-0.7690893779753057
ACH-000013,-1.176186084719446
ACH-000014,-1.1788294043567304
ACH-000015,-0.9351981169024244
ACH-000017,-1.0648764244089972
ACH-000018,-0.8130968137230654
ACH-000019,-0.6841847904144795
ACH-000021,-1.043888175113382
ACH-000022,-1.207753590942565
ACH-000025,-1.2343595660180111
ACH-000028,-0.8859420842756539
ACH-000030,-0.9075738205511426
ACH-000035,-1.1127937313341216
ACH-000036,-0.7640042265524599
ACH-000037,-0.9668527054453008
ACH-000039,-0.932310395163905
ACH-000040,-0.7992507754896591
ACH-000041,-1.1581532247183506
ACH-000042,-0.5531721694051887
ACH-000045,-0.9390957285327834
ACH-000047,-1.0828552190529916
ACH-000052,-0.9631598122244219
ACH-000053,-1.011666132219903
ACH-000054,-0.5574653872620108
ACH-000055,-0.8805206214085286
ACH-000060,-0.7269748979445162
ACH-000067,-0.6886357458809879
ACH-000070,-0.9526245919674726
ACH-000075,-0.967221745854379
ACH-000078,-0.6421273977280159
ACH-000082,-0.5853419817934771
ACH-000085,-0.35799440682816963
ACH-000086,-1.1443261051685027
ACH-000087,-0.8099127355799528
ACH-000092,-0.5994061562021238
ACH-000095,-0.6593556991517301
ACH-000097,-0.3607957426670956
ACH-000098,-0.5582234422419912
ACH-000099,-0.9513807940169215
ACH-000108,-0.5840323565313095
ACH-000113,-0.8703432108759883
ACH-000116,-1.053217016477338
ACH-000118,-0.8694655772991179
ACH-000120,-1.13030068071824
ACH-000123,-0.7740304944672816
ACH-000127,-1.1020657227745478
ACH-000128,-0.7574278933790279
ACH-000132,-1.207662927278821
ACH-000133,-0.9660236624110208
ACH-000137,-1.1261468264597545
ACH-000138,-0.7548115515514793
ACH-000142,-0.8673706945228399
ACH-000143,-1.2665540450009554
ACH-000146,-1.3984200981292298
ACH-000148,-1.2148029093374568
ACH-000150,-1.0843050592142869
ACH-000152,-0.6660261287938373
ACH-000153,-0.6834100112275933
ACH-000159,-0.8840625473353112
ACH-000160,-1.071872453290303
ACH-000163,-0.7947004880998867
ACH-000167,-1.3334624483342008
ACH-000168,-0.9624209709684036
ACH-000169,-0.9058103510384364
ACH-000178,-1.0542313641674137
ACH-000183,-1.0300730578510078
ACH-000188,-1.338001444368401
ACH-000189,-1.0563045378989715
ACH-000190,-1.0724102244130524
ACH-000198,-0.7103745062538536
ACH-000203,-1.333731655908016
ACH-000204,-0.986102081136492
ACH-000206,-1.1243883185351775
ACH-000207,-0.8700857730795603
ACH-000208,-1.125846812022269
ACH-000210,-0.99878720115353
ACH-000211,-1.2208459948295387
ACH-000215,-1.0546850641715355
ACH-000221,-1.3537624624444555
ACH-000222,-1.0524956425772378
ACH-000223,-0.9138131988688172
ACH-000226,-0.9296853451244488
ACH-000227,-1.2444941088918693
ACH-000228,-1.0791730174979897
ACH-000231,-1.2253276641596142
ACH-000232,-1.0524756897811152
ACH-000233,-1.2387865076882452
ACH-000234,-0.7032921630433979
ACH-000235,-0.7530183981886264
ACH-000237,-1.2128602580660874
ACH-000238,-1.1194274994326698
ACH-000242,-0.8121741605366531
ACH-000243,-0.9698938750094216
ACH-000244,-0.98558587206548
ACH-000246,-1.0836407429550088
ACH-000248,-0.8347751927100939
ACH-000250,-0.9609575854728236
ACH-000251,-0.7549434775439299
ACH-000252,-1.083329144623284
ACH-000253,-0.4958710628566611
ACH-000255,-1.1214921611347657
ACH-000256,-1.2083369022393855
ACH-000257,-0.8926865173947222
ACH-000258,-0.4441999663909164
ACH-000259,-1.1228039715911322
ACH-000260,-1.2388706964222718
ACH-000261,-0.9284156338145972
ACH-000262,-0.9556789592280028
ACH-000263,-0.6738549480645856
ACH-000264,-0.7286345177863258
ACH-000265,-1.1452986106254313
ACH-000266,-0.5307613858468453
ACH-000272,-0.9778849495372134
ACH-000274,-0.6045966445576583
ACH-000277,-0.5989907363484808
ACH-000278,-0.8116122839289404
ACH-000279,-1.2663487623318508
ACH-000280,-0.8493675554828315
ACH-000281,-0.720390804891604
ACH-000288,-0.8667207779966715
ACH-000291,-0.9711894081830196
ACH-000293,-1.3446905895452077
ACH-000294,-1.4234912664168602
ACH-000295,-1.4303119414555163
ACH-000296,-1.384863203636736
ACH-000302,-1.0534728475754822
ACH-000304,-0.9794211890918284
ACH-000307,-0.4884123974011971
ACH-000308,-0.8792095789915219
ACH-000310,-0.7652107409975032
ACH-000311,-1.1539148026600978
ACH-000312,-0.7515441373672137
ACH-000315,-0.7366674319908938
ACH-000316,-1.049738024192114
ACH-000317,-1.6784569870201522
ACH-000318,-1.327440099999475
ACH-000319,-0.9291472354032476
ACH-000320,-0.7412854666188221
ACH-000322,-1.1342533798142291
ACH-000323,-0.6863651880876513
ACH-000324,-1.1271124441579141
ACH-000329,-1.0418059613672133
ACH-000330,-0.4545200767433973
ACH-000331,-0.7817487457022141
ACH-000332,-0.5034666414825
ACH-000334,-0.5927266449958104
ACH-000335,-1.1977280131448378
ACH-000336,-1.3261539882923967
ACH-000337,-1.0321299154040795
ACH-000338,-0.4607328503571734
ACH-000339,-1.277580758568967
ACH-000341,-0.6728209952527752
ACH-000348,-1.0653479726883803
ACH-000350,-0.5862136529048585
ACH-000352,-0.6816907764230712
ACH-000356,-0.7480863976912249
ACH-000361,-0.970910985239436
ACH-000362,-1.0599842770302217
ACH-000363,-0.4251633107149789
ACH-000364,-1.2738189021654225
ACH-000365,-0.9257647068197792
ACH-000366,-1.2123399549603353
ACH-000368,-0.5518793221704839
ACH-000374,-1.2000297744460091
ACH-000375,-0.8968212627365049
ACH-000376,-0.9549164667011466
ACH-000381,-1.1515510588936728
ACH-000383,-1.1425114381591892
ACH-000387,-1.2562200007924482
ACH-000389,-1.0478476866266095
ACH-000390,-1.480495629399779
ACH-000393,-0.9274551481771756
ACH-000395,-0.7136297855638677
ACH-000396,-1.404411450739369
ACH-000397,-1.091879027174984
ACH-000401,-1.0027133255021965
ACH-000402,-1.0031556027265636
ACH-000403,-0.5518340008165886
ACH-000404,-1.0997930721119993
ACH-000406,-1.041247379660542
ACH-000407,-1.0304285069179786
ACH-000408,-1.1195136561966583
ACH-000410,-0.7355605354222111
ACH-000411,-1.1323466043359576
ACH-000414,-1.207649110750168
ACH-000415,-1.3749408963571743
ACH-000416,-0.7913563390435686
ACH-000420,-0.5861027260177194
