,INPP5E (56623)
ACH-000004,-0.2925869234110157
ACH-000005,-0.4785941961354862
ACH-000007,-0.026889679622014488
ACH-000009,-0.1173011248942933
ACH-000011,-0.08684544160248032
ACH-000012,-0.10655506779635177
ACH-000013,-0.06685051822101765
ACH-000014,-0.3500708889940674
ACH-000015,-0.15899726616315776
ACH-000017,-0.24056949897946026
ACH-000018,-0.0588480606712507
ACH-000019,-0.16370910037337133
ACH-000021,0.023094479065195118
ACH-000022,-0.11815784705184837
ACH-000025,-0.061047881499517925
ACH-000028,0.07700442950389767
ACH-000030,-0.057982781304748765
ACH-000035,0.12827901430281158
ACH-000036,-0.2363520738272007
ACH-000037,0.028471955505719727
ACH-000039,-0.1915159327645999
ACH-000040,-0.10713691246007696
ACH-000041,-0.12422166767116027
ACH-000042,-0.3279470928711372
ACH-000045,-0.1261390016418493
ACH-000047,-0.06321812509053404
ACH-000052,-0.3496272684367106
ACH-000053,-0.15817717309521093
ACH-000054,-0.15690836787290088
ACH-000055,-0.08012224710189125
ACH-000060,0.002754044270340868
ACH-000067,0.05358167222077858
ACH-000070,0.003910603887995013
ACH-000075,-0.1039906189287782
ACH-000078,0.07062239856557531
ACH-000082,-0.05978165563605901
ACH-000085,0.05015375056497303
ACH-000086,-0.06134648221588687
ACH-000087,0.1365987867821999
ACH-000092,-0.2255517437273171
ACH-000095,-0.10331929905190984
ACH-000097,-0.006590071710966831
ACH-000098,0.048051589831457145
ACH-000099,-0.1086341446932989
ACH-000108,-0.10189795491258262
ACH-000113,-0.14493464730321162
ACH-000116,-0.1318147971720724
ACH-000118,0.04760562266948537
ACH-000120,-0.22351846093948555
ACH-000123,-0.12261230975315295
ACH-000127,0.015157252423463113
ACH-000128,0.15180309453053353
ACH-000132,-0.09544046464142067
ACH-000133,0.01660199920475371
ACH-000137,-0.07313550156494544
ACH-000138,-0.07260849387997055
ACH-000142,-0.15297289120705151
ACH-000143,-0.4362163520457917
ACH-000146,-0.05316294073004918
ACH-000148,-0.08681352939360856
ACH-000150,-0.1529813066937715
ACH-000152,-0.1501250722010582
ACH-000153,0.008658161106182808
ACH-000159,-0.07238546924933295
ACH-000160,0.020345176141715614
ACH-000163,-0.0356865469516471
ACH-000167,-0.3492128141506929
ACH-000168,-0.16137852661088872
ACH-000169,-0.06261758496295748
ACH-000178,-0.17072559586323002
ACH-000183,0.16720721669523633
ACH-000188,-0.22244107379886846
ACH-000189,-0.5292354176352946
ACH-000190,-0.016769257270280172
ACH-000198,-0.21556531024943434
ACH-000203,0.21623942909597402
ACH-000204,-0.14474224129978172
ACH-000206,-0.07870497308063548
ACH-000207,-0.3092107129939892
ACH-000208,-0.27579475445065843
ACH-000210,0.2959091138536715
ACH-000211,-0.08326916503285693
ACH-000215,-0.10136188838166453
ACH-000221,-0.08610635162974603
ACH-000222,0.11158147127976968
ACH-000223,-0.09638544414052416
ACH-000226,0.004058029645158329
ACH-000227,-0.010984977870486341
ACH-000228,-0.04694087120407234
ACH-000231,-0.06841611377396041
ACH-000232,-0.0964437307093838
ACH-000233,-0.005079290841131501
ACH-000234,-0.3190114282287649
ACH-000235,-0.06129594842396055
ACH-000237,-0.051635403093754084
ACH-000238,-0.08221434332325203
ACH-000242,-0.01811593725996102
ACH-000243,-0.01680866021338305
ACH-000244,-0.3059669397278493
ACH-000246,-0.07119615137185666
ACH-000248,0.0903095392752042
ACH-000250,0.0271332440451176
ACH-000251,-0.039464811290308814
ACH-000252,-0.2296650795485659
ACH-000253,-0.14304941315568856
ACH-000255,-0.03790158174370528
ACH-000256,0.014547600624960869
ACH-000257,-0.16838670642002587
ACH-000258,-0.03898788707902511
ACH-000259,-0.028320008938256626
ACH-000260,0.02471911190352289
ACH-000261,-0.16806417475255933
ACH-000262,-0.5106763957305329
ACH-000263,-0.280382740089032
ACH-000264,-0.01969045817203353
ACH-000265,-0.01628710536236315
ACH-000266,-0.04437830940238503
ACH-000272,-0.23010899514413624
ACH-000274,-0.0774048161697565
ACH-000277,-0.15376555791807991
ACH-000278,-0.03324404334798013
ACH-000279,-0.07342387971193305
ACH-000280,-0.18149563219197326
ACH-000281,0.05495673040684194
ACH-000288,-0.02578691995343913
ACH-000291,-0.08983833272568449
ACH-000293,0.12266158808482425
ACH-000294,-0.02568333489003127
ACH-000295,0.03290910018261222
ACH-000296,0.03992177670724585
ACH-000302,0.06395510891513026
ACH-000304,-0.28010237858128245
ACH-000307,-0.11327735991607901
ACH-000308,-0.04126035621512473
ACH-000310,-0.0569280621718093
ACH-000311,-0.09368988342272702
ACH-000312,-0.016574239065239832
ACH-000315,0.1136100621502899
ACH-000316,-0.14962339507411376
ACH-000317,0.16193841494641958
ACH-000318,-0.07727810955712514
ACH-000319,-0.0445828186393306
ACH-000320,-0.015014656366865787
ACH-000322,-0.29581017138272353
ACH-000323,0.04538836287590838
ACH-000324,-0.2528845284115391
ACH-000329,-0.015174556334081248
ACH-000330,-0.10437716730361712
ACH-000331,-0.017033401595727967
ACH-000332,-0.008416018602445353
ACH-000334,-0.009793332073252338
ACH-000335,-0.06603540033393658
ACH-000336,-0.22688004047988194
ACH-000337,0.2322645234345328
ACH-000338,0.2537775918282411
ACH-000339,-0.13713489940464926
ACH-000341,0.017704190608316437
ACH-000348,-0.05447072085818689
ACH-000350,-0.04699629392503829
ACH-000352,-0.020229857168683696
ACH-000356,-0.039211836593113336
ACH-000361,-0.11543801270515837
ACH-000362,-0.06027014486759796
ACH-000363,-0.2742048294067964
ACH-000364,-0.11826611043029905
ACH-000365,-0.1745328001067425
ACH-000366,0.02426081371543597
ACH-000368,-0.14465156537386772
ACH-000374,0.1298141448087101
ACH-000375,-0.02542068802328408
ACH-000376,-0.0003081934347923965
ACH-000381,-0.2324441825291251
ACH-000383,-0.08204626272106405
ACH-000387,-0.04560135951965814
ACH-000389,-0.19998596404531785
ACH-000390,-0.03498430494330322
ACH-000393,0.0124119927470334
ACH-000395,-0.4496223737600029
ACH-000396,0.4398227573413017
ACH-000397,-0.2372953880195225
ACH-000401,-0.0529521874916047
ACH-000402,0.2305008386773144
ACH-000403,-0.22319162970656492
ACH-000404,-0.11115889584264484
ACH-000406,-0.041286327603802526
ACH-000407,0.04462665256380369
ACH-000408,0.08269458794156377
ACH-000410,-0.1143221718584728
ACH-000411,-0.1984314205272652
ACH-000414,-0.03965488233369641
ACH-000415,0.02759998584549186
ACH-000416,-0.07627031784379798
