,NCALD (83988)
ACH-000004,-0.4383845731829473
ACH-000005,-0.12946031514054265
ACH-000007,-0.20204717369238664
ACH-000009,-0.14892113866273107
ACH-000011,-0.30290770993280075
ACH-000012,0.007100098487604101
ACH-000013,-0.1131716767433902
ACH-000014,-0.14696520895052653
ACH-000015,-0.09623398463900198
ACH-000017,-0.21836070686379536
ACH-000018,-0.13524670993601506
ACH-000019,-0.20008683604760805
ACH-000021,-0.13203270092935926
ACH-000022,-0.19958252994740275
ACH-000025,-0.14434482945363067
ACH-000028,-0.16861608378768042
ACH-000030,-0.10923755575673648
ACH-000035,-0.14136931219110374
ACH-000036,0.00204793103626225
ACH-000037,-0.08667445896679714
ACH-000039,-0.28122631149489674
ACH-000040,-0.002289548705592109
ACH-000041,-0.2639221917233082
ACH-000042,-0.1627754083144687
ACH-000045,-0.187383034691048
ACH-000047,-0.3288231315557267
ACH-000052,-0.18787222527678976
ACH-000053,-0.10058637257730893
ACH-000054,-0.2575463196809104
ACH-000055,-0.2543969823755342
ACH-000060,-0.4346029305310121
ACH-000067,-0.049001572752289536
ACH-000070,-0.03966299117584001
ACH-000075,0.0923294957617775
ACH-000078,-0.01145303015748843
ACH-000082,-0.1363754110693986
ACH-000085,-0.2465587384880317
ACH-000086,-0.06955333144098401
ACH-000087,0.19357793778786134
ACH-000092,-0.17915880135791654
ACH-000095,0.01070561405973419
ACH-000097,-0.03266718737838468
ACH-000098,-0.11050726000399057
ACH-000099,-0.15947864625156213
ACH-000108,-0.052600818787051834
ACH-000113,-0.13528983196683414
ACH-000116,-0.04939626588555719
ACH-000118,-0.16832737719166835
ACH-000120,-0.10465408181488986
ACH-000123,-0.028158289936979882
ACH-000127,-0.2008866137663894
ACH-000128,-0.07345268891515473
ACH-000132,-0.09072587657367953
ACH-000133,-0.1300804248405279
ACH-000137,-0.012942034107029292
ACH-000138,-0.05473097670040137
ACH-000142,-0.07459367611408177
ACH-000143,-0.17184141245311596
ACH-000146,-0.17243280458161084
ACH-000148,-0.05774406905685965
ACH-000150,-0.1912857207574015
ACH-000152,-0.09454862218743018
ACH-000153,-0.25706993456855176
ACH-000159,-0.1556986402650557
ACH-000160,-0.05085103700815087
ACH-000163,-0.2179967125342849
ACH-000167,0.060998709503742435
ACH-000168,-0.10588344054054656
ACH-000169,-0.031893145833362585
ACH-000178,-0.10725516925308523
ACH-000183,-0.028138391778123332
ACH-000188,-0.1752785040688159
ACH-000189,-0.1515577494144938
ACH-000190,-0.22134431879323055
ACH-000198,-0.0812365558829085
ACH-000203,-0.026103982844737708
ACH-000204,-0.15534725109022438
ACH-000206,-0.14660108053759194
ACH-000207,-0.33229323737797417
ACH-000208,-0.11606770800703682
ACH-000210,-0.2512468649325537
ACH-000211,-0.05454948393652735
ACH-000215,-0.08262818720166076
ACH-000221,-0.21875557498050102
ACH-000222,-0.15733429716066194
ACH-000223,-0.1381258291928632
ACH-000226,-0.15978730113289322
ACH-000227,-0.10588666184979204
ACH-000228,-0.01625313823217606
ACH-000231,-0.0794899121649759
ACH-000232,-0.14997562874664788
ACH-000233,-0.12574930315758376
ACH-000234,-0.13893556740081467
ACH-000235,-0.14065026424024699
ACH-000237,-0.10111897055233286
ACH-000238,-0.0917096865609002
ACH-000242,-0.2875195261363729
ACH-000243,-0.04542163007986762
ACH-000244,-0.09517549079567184
ACH-000246,-0.11699293631579573
ACH-000248,-0.21421326489015893
ACH-000250,-0.21213646364636607
ACH-000251,0.09209584913584527
ACH-000252,-0.14050657833381658
ACH-000253,-0.11460516352922165
ACH-000255,0.030004042323076564
ACH-000256,-0.21403929176845965
ACH-000257,-0.2153298671077349
ACH-000258,0.006387369819060981
ACH-000259,-0.12376657062813146
ACH-000260,-0.08650377720901138
ACH-000261,-0.030835004967543062
ACH-000262,-0.33551952531537665
ACH-000263,-0.2826847141411134
ACH-000264,-0.2252864359212388
ACH-000265,-0.06452391237674658
ACH-000266,-0.0730514449568109
ACH-000272,-0.1397090579262793
ACH-000274,-0.0853685866367497
ACH-000277,-0.34397671900362226
ACH-000278,-0.08949736944259856
ACH-000279,-0.12301714070955827
ACH-000280,-0.14018595439266465
ACH-000281,-0.14111933951209946
ACH-000288,0.008012550255910286
ACH-000291,-0.257582582015123
ACH-000293,-0.011269629859876732
ACH-000294,-0.241471939069698
ACH-000295,-0.017075293807926887
ACH-000296,-0.01169758266030515
ACH-000302,-0.10911510386815752
ACH-000304,-0.13488523435825794
ACH-000307,-0.17416940123805225
ACH-000308,-0.040681719502706964
ACH-000310,0.04772927512631256
ACH-000311,-0.11187216446964526
ACH-000312,-0.039696136659071006
ACH-000315,-0.0799412371816078
ACH-000316,-0.03522891914932425
ACH-000317,0.03585080957252747
ACH-000318,-0.14906430729973075
ACH-000319,0.015453895298876556
