,CLRN2 (645104)
ACH-000004,-0.12002054109800285
ACH-000005,-0.04008749463043499
ACH-000007,0.002171687444443403
ACH-000009,-0.02990491691510285
ACH-000011,-0.1763461045792122
ACH-000012,-0.04168530811971407
ACH-000013,0.046220640203147666
ACH-000014,-0.06275954622894593
ACH-000015,-0.11082252500828507
ACH-000017,-0.009966031675487158
ACH-000018,-0.15630736090801362
ACH-000019,-0.06530547154510041
ACH-000021,0.05624368115680228
ACH-000022,-0.22292377251266154
ACH-000025,0.0506219029751933
ACH-000028,-0.02252133320448825
ACH-000030,-0.06754514786768663
ACH-000035,0.030742689712716344
ACH-000036,-0.11841821243165875
ACH-000037,-0.12300812513708048
ACH-000039,-0.06744030303018281
ACH-000040,-0.054474841131352585
ACH-000041,-0.2501738325934301
ACH-000042,-0.0006494370861367113
ACH-000045,0.07412076618138333
ACH-000047,-0.17677561049690332
ACH-000052,-0.020910612388198604
ACH-000053,-0.0691565528732681
ACH-000054,-0.022578185276315256
ACH-000055,-0.10166972282907798
ACH-000060,-0.12021022802310136
ACH-000067,-0.1493252284358271
ACH-000070,-0.08979326087264046
ACH-000075,0.0103837478458799
ACH-000078,-0.09443352636318283
ACH-000082,-0.10547466222138724
ACH-000085,-0.13746185865731966
ACH-000086,-0.24117128944648425
ACH-000087,-0.26408072643575675
ACH-000092,-0.030606511890250286
ACH-000095,-0.16972548723042866
ACH-000097,0.023621601157753955
ACH-000098,0.08431215896438604
ACH-000099,-0.12892576868154718
ACH-000108,-0.012773057946872095
ACH-000113,-0.09150248601843626
ACH-000116,-0.045507001380798766
ACH-000118,-0.20169296129819028
ACH-000120,-0.03710070242640776
ACH-000123,-0.0663166253795292
ACH-000127,-0.08207555526461867
ACH-000128,-0.025922620289325626
ACH-000132,-0.12334908883471128
ACH-000133,-0.1412044199589871
ACH-000137,-0.1867572833454416
ACH-000138,-0.08192430754773454
ACH-000142,0.04177540908947993
ACH-000143,-0.00478535157187835
ACH-000146,0.01868914715982333
ACH-000148,-0.14236695291438328
ACH-000150,-0.18863209626275307
ACH-000152,-0.11746071201100575
ACH-000153,-0.029028001305389867
ACH-000159,0.0234092835771116
ACH-000160,-0.08451961411590081
ACH-000163,-0.0725730381627672
ACH-000167,-0.039664355966614925
ACH-000168,-0.07951428155394474
ACH-000169,-0.19711019821993336
ACH-000178,0.02007248842950489
ACH-000183,-0.030606939391899724
ACH-000188,-0.02138373947194905
ACH-000189,-0.2978539499767247
ACH-000190,-0.04485085104907307
ACH-000198,-0.018602088527807082
ACH-000203,0.3382736491398365
ACH-000204,-0.2443597693825863
ACH-000206,0.04598777327980005
ACH-000207,0.18670215007746174
ACH-000208,-0.1891332117049357
ACH-000210,-0.05277194961717442
ACH-000211,-0.06383575928982937
ACH-000215,-0.1484619835957457
ACH-000221,-0.03604298131264157
ACH-000222,-0.09677680298427532
ACH-000223,-0.11728165231061025
ACH-000226,0.0006304382253044135
ACH-000227,-0.06126046896678529
ACH-000228,-0.0920216505795445
ACH-000231,-0.0781314720769799
ACH-000232,0.00017259845628102318
ACH-000233,-0.01388402005176315
ACH-000234,0.0847869152322382
ACH-000235,0.022617471305199567
ACH-000237,-0.09288460340574614
ACH-000238,-0.1411610519933902
ACH-000242,-0.053522982520077575
ACH-000243,-0.08008883079302911
ACH-000244,-0.1133838454215539
ACH-000246,-0.08861227781280627
ACH-000248,-0.16808819765744326
ACH-000250,-0.09417596555884973
ACH-000251,-0.05758214305588667
ACH-000252,-0.057639787798008116
ACH-000253,-0.09461762031924613
ACH-000255,-0.015741080649292326
ACH-000256,-0.007165351530381756
ACH-000257,-0.2137334302857292
ACH-000258,0.09219453012592296
ACH-000259,-0.026168543845766
ACH-000260,-0.11081036255960336
ACH-000261,-0.08180784780910877
ACH-000262,-0.12119809677548556
ACH-000263,-0.06836574731192739
ACH-000264,-0.07402461785908274
ACH-000265,-0.060967139048217
ACH-000266,-0.043921348938685295
ACH-000272,-0.05264584689453077
ACH-000274,-0.1111605878284208
ACH-000277,-0.2360865510046217
ACH-000278,-0.02576804575248446
ACH-000279,-0.1292663378854601
ACH-000280,-0.09061366106373654
ACH-000281,-0.12740808117889266
ACH-000288,-0.0615558755258805
ACH-000291,-0.009896616375325035
ACH-000293,-0.09937298088695587
ACH-000294,0.10287634264047728
ACH-000295,-0.08490978273168821
ACH-000296,0.17749067944445074
ACH-000302,-0.09238768599580124
ACH-000304,0.0604575119908297
ACH-000307,0.06451368111208902
ACH-000308,-0.11325320793232532
ACH-000310,-0.09986613283410424
ACH-000311,-0.03344293897674181
ACH-000312,-0.06760049173102642
ACH-000315,-0.1752182460834228
ACH-000316,-0.039080083286808016
ACH-000317,-0.0858906503732879
ACH-000318,0.014715537077511059
ACH-000319,-0.08706532906002089
ACH-000320,-0.08205132814903728
ACH-000322,-0.047818779810730544
ACH-000323,-0.13291394441689613
ACH-000324,-0.14008535688958934
ACH-000329,-0.09416817490233108
ACH-000330,-0.1783282981183054
