,HSPA1B (3304)
ACH-000004,-0.4312516259903847
ACH-000005,-0.4717376994093364
ACH-000007,-0.26410571896058754
ACH-000009,-0.2363380329211201
ACH-000011,-0.13523790912732328
ACH-000012,-0.32118749546024594
ACH-000013,-0.2813340674208397
ACH-000014,-0.25951987025802004
ACH-000015,-0.1870049366722719
ACH-000017,-0.18944141593795627
ACH-000018,-0.2544947440305317
ACH-000019,0.0003991341730469104
ACH-000021,-0.1859503657158441
ACH-000022,-0.22895127901705
ACH-000025,-0.17430102717543838
ACH-000028,-0.20988427605644716
ACH-000030,-0.2306591426617057
ACH-000035,-0.2289415956966207
ACH-000036,-0.22395843533476226
ACH-000037,-0.280144642895219
ACH-000039,-0.3169995879695889
ACH-000040,-0.17736546677883794
ACH-000041,-0.21477113021785896
ACH-000042,-0.21595062304787174
ACH-000045,-0.21646561074283294
ACH-000047,-0.26892137355682105
ACH-000052,-0.23687931182092206
ACH-000053,-0.19363243753952009
ACH-000054,-0.37714934347644496
ACH-000055,-0.08233019680822752
ACH-000060,-0.1971877521823968
ACH-000067,-0.19135861739409168
ACH-000070,-0.15458866648931974
ACH-000075,-0.2130232966678602
ACH-000078,-0.3627549078609872
ACH-000082,-0.2558471730296219
ACH-000085,-0.03550492528111411
ACH-000086,-0.2667100902076075
ACH-000087,-0.2795441899431988
ACH-000092,-0.2207771909984964
ACH-000095,-0.2124229755194227
ACH-000097,-0.19420599676638986
ACH-000098,-0.3058105263201315
ACH-000099,-0.16811431740738486
ACH-000108,-0.2935014510922544
ACH-000113,-0.04028769540557391
ACH-000116,-0.23347484235330726
ACH-000118,-0.2571063799004834
ACH-000120,-0.24019348620644904
ACH-000123,-0.22994085954703655
ACH-000127,-0.2062709966560439
ACH-000128,-0.09111433777961506
ACH-000132,-0.19167731131947854
ACH-000133,-0.15583903072742106
ACH-000137,-0.07188916646436275
ACH-000138,-0.16406651155621352
ACH-000142,-0.3230723169985398
ACH-000143,-0.2667163271047891
ACH-000146,-0.2420319527790218
ACH-000148,-0.17800576548567065
ACH-000150,-0.16068221476719186
ACH-000152,-0.09493305803035072
ACH-000153,-0.5481918669828283
ACH-000159,-0.24474437199909135
ACH-000160,-0.23473956067303314
ACH-000163,-0.1647530152203538
ACH-000167,-0.998634199807366
ACH-000168,-0.14252668142247885
ACH-000169,-0.1069289129482358
ACH-000178,-0.254852164975075
ACH-000183,-0.17703928934607469
ACH-000188,-0.21750707473543013
ACH-000189,-0.5294940923526258
ACH-000190,-0.19171765283567005
ACH-000198,-0.23985677766516905
ACH-000203,-0.8561346136479631
ACH-000204,-0.28495122615714
ACH-000206,-0.4130248592827906
ACH-000207,-0.2762964479072575
ACH-000208,-0.2527637631568928
ACH-000210,-0.09152300616143932
ACH-000211,-0.2738316393001745
ACH-000215,-0.2421070490706435
ACH-000221,-0.14546235632485774
ACH-000222,-0.29303054716528665
ACH-000223,-0.26575567047917764
ACH-000226,-0.2155192712578337
ACH-000227,-0.2540074225105736
ACH-000228,-0.1771193167613042
ACH-000231,-0.3211893713181348
ACH-000232,-0.13409326765921034
ACH-000233,-0.2398489202362826
ACH-000234,-0.19397531669667367
ACH-000235,-0.29593034192842205
ACH-000237,-0.3086842936208349
ACH-000238,-0.32823038208029026
ACH-000242,-0.5180682619523066
ACH-000243,-0.1834199201795593
ACH-000244,-0.3172255951964312
ACH-000246,-0.23686081091676825
ACH-000248,-0.0946101164927825
ACH-000250,-0.34786431630609066
